Rk,Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,League,Season,TeamID
71,RB Leipzig,23,34.0,57,489,173,35.4,14.38,5.09,0.11,0.31,17.2,22,4,5,54.2,50.5,0.1,2.8,3.5,Bundesliga,2017-2018,68159208261559796
72,Real Madrid,24,38.0,91,706,266,37.7,18.58,7.0,0.12,0.31,16.2,28,8,10,83.3,75.6,0.11,7.7,7.4,La Liga,2017-2018,29627131003986350
73,Real Sociedad,27,38.0,64,518,170,32.8,13.63,4.47,0.12,0.35,17.3,20,4,5,55.0,51.2,0.1,9.0,8.8,La Liga,2017-2018,57299950304530590
74,Rennes,28,38.0,48,474,146,30.8,12.47,3.84,0.09,0.29,18.8,30,6,8,49.4,43.5,0.09,-1.4,-1.5,Ligue 1,2017-2018,96819424452761337
75,Roma,27,38.0,56,667,202,30.3,17.55,5.32,0.08,0.26,17.4,28,3,6,69.3,64.9,0.1,-13.3,-11.9,Serie A,2017-2018,764736481564168
76,Saint-Étienne,30,38.0,45,443,147,33.2,11.66,3.87,0.09,0.26,17.5,19,7,11,52.0,44.1,0.1,-7.0,-6.1,Ligue 1,2017-2018,56226069621228236
77,Sampdoria,27,38.0,56,474,164,34.6,12.47,4.32,0.1,0.3,17.8,27,7,8,51.3,45.2,0.1,4.7,3.8,Serie A,2017-2018,89407679695143145
78,Sassuolo,28,38.0,28,496,132,26.6,13.05,3.47,0.05,0.18,18.3,18,4,10,49.4,41.8,0.09,-21.4,-17.8,Serie A,2017-2018,79200252522790650
79,Schalke 04,24,34.0,50,397,155,39.0,11.68,4.56,0.1,0.26,17.4,7,10,10,47.8,40.2,0.1,2.2,-0.2,Bundesliga,2017-2018,24345039935475884
80,Sevilla,31,38.0,48,519,178,34.3,13.66,4.68,0.08,0.25,16.9,16,4,5,56.5,52.8,0.1,-8.5,-8.8,La Liga,2017-2018,22702270477938803
81,Southampton,26,38.0,36,448,138,30.8,11.79,3.63,0.07,0.24,17.7,11,3,3,42.2,39.9,0.09,-6.2,-6.9,Premier League,2017-2018,21037626007536306
82,SPAL,29,38.0,37,374,109,29.1,9.84,2.87,0.09,0.29,18.4,23,5,6,37.9,33.3,0.09,-0.9,-1.3,Serie A,2017-2018,73622612860183040
