Rk,Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,League,Season,TeamID
60,Metz,29,12.0,12,119,44,37.0,9.92,3.67,0.09,0.25,19.7,5,1,1,10.2,9.4,0.08,1.8,1.6,Ligue 1,2021-2022,14635757597311544
61,Milan,26,11.0,24,154,43,27.9,14.0,3.91,0.14,0.49,18.7,7,3,4,19.3,16.3,0.11,4.7,4.7,Serie A,2021-2022,59378513948613436
62,Monaco,25,12.0,17,117,34,29.1,9.75,2.83,0.12,0.41,15.9,6,3,3,15.7,13.4,0.12,1.3,0.6,Ligue 1,2021-2022,79093238158793616
63,Montpellier,22,12.0,19,160,58,36.3,13.33,4.83,0.11,0.31,19.3,15,1,1,14.3,13.5,0.09,4.7,4.5,Ligue 1,2021-2022,32434714471076965
64,Nantes,21,12.0,15,130,42,32.3,10.83,3.5,0.1,0.31,16.4,6,2,2,14.2,12.6,0.1,0.8,0.4,Ligue 1,2021-2022,25802633648495862
65,Napoli,25,11.0,23,166,56,33.7,15.09,5.09,0.11,0.34,18.3,10,4,7,20.3,14.8,0.09,2.7,4.2,Serie A,2021-2022,10516137814401134
66,Newcastle Utd,22,10.0,10,113,30,26.5,11.3,3.0,0.09,0.33,17.0,3,0,0,9.8,9.8,0.09,0.2,0.2,Premier League,2021-2022,29528772732587842
67,Nice,23,12.0,23,152,56,36.8,12.67,4.67,0.13,0.36,15.6,3,3,5,24.6,21.0,0.14,-1.6,-1.0,Ligue 1,2021-2022,11720969662561653
68,Norwich City,22,10.0,3,103,22,21.4,10.3,2.2,0.02,0.09,19.9,10,1,1,7.9,7.1,0.07,-4.9,-5.1,Premier League,2021-2022,42809968147687487
69,Osasuna,26,12.0,14,133,36,27.1,11.08,3.0,0.08,0.31,18.5,2,3,4,13.2,10.4,0.08,0.8,0.6,La Liga,2021-2022,83352675823776457
70,Paris S-G,27,12.0,25,161,50,31.1,13.42,4.17,0.14,0.46,16.7,9,2,2,21.2,19.8,0.12,3.8,3.2,Ligue 1,2021-2022,11177590892093073
71,Rayo Vallecano,25,12.0,18,137,44,32.1,11.42,3.67,0.12,0.36,18.1,8,2,2,13.6,12.1,0.09,4.4,3.9,La Liga,2021-2022,75203699329351977
72,RB Leipzig,23,10.0,21,153,57,37.3,15.3,5.7,0.11,0.3,15.7,7,4,4,21.6,18.8,0.12,-0.6,-1.8,Bundesliga,2021-2022,68159208261559796
73,Real Madrid,25,11.0,26,179,63,35.2,16.27,5.73,0.14,0.4,17.8,6,1,1,17.1,16.4,0.09,8.9,8.6,La Liga,2021-2022,29627131003986350
74,Real Sociedad,27,12.0,17,140,50,35.7,11.67,4.17,0.1,0.28,18.4,9,3,4,16.8,13.8,0.1,0.2,0.2,La Liga,2021-2022,57299950304530590
75,Reims,25,12.0,14,133,46,34.6,11.08,3.83,0.1,0.28,18.7,1,1,1,11.1,10.3,0.08,2.9,2.7,Ligue 1,2021-2022,67732085073987538
76,Rennes,26,12.0,18,165,52,31.5,13.75,4.33,0.11,0.35,15.3,4,0,0,16.2,16.2,0.1,1.8,1.8,Ligue 1,2021-2022,96819424452761337
77,Roma,24,11.0,18,195,50,25.6,17.73,4.55,0.09,0.34,15.7,4,1,2,19.3,17.7,0.09,-1.3,-0.7,Serie A,2021-2022,764736481564168
78,Saint-Étienne,28,12.0,12,149,48,32.2,12.42,4.0,0.06,0.19,20.1,6,3,3,14.1,11.9,0.08,-2.1,-2.9,Ligue 1,2021-2022,56226069621228236
79,Salernitana,25,11.0,9,126,36,28.6,11.45,3.27,0.06,0.22,16.4,3,1,1,11.6,10.8,0.09,-2.6,-2.8,Serie A,2021-2022,63444195793016658
80,Sampdoria,22,11.0,12,122,34,27.9,11.09,3.09,0.09,0.32,17.9,5,1,1,11.4,10.7,0.09,0.6,0.3,Serie A,2021-2022,89407679695143145
81,Sassuolo,22,11.0,13,149,56,37.6,13.55,5.09,0.08,0.21,17.5,5,1,1,15.0,14.2,0.1,-2.0,-2.2,Serie A,2021-2022,79200252522790650
82,Sevilla,26,11.0,19,147,52,35.4,13.36,4.73,0.12,0.35,17.0,1,1,1,16.0,15.3,0.1,3.0,2.7,La Liga,2021-2022,22702270477938803
83,Southampton,21,10.0,8,126,31,24.6,12.6,3.1,0.05,0.19,17.8,5,2,2,14.7,13.2,0.11,-6.7,-7.2,Premier League,2021-2022,21037626007536306
84,Spezia,26,11.0,11,129,39,30.2,11.73,3.55,0.09,0.28,19.7,5,0,0,11.0,11.0,0.09,0.0,0.0,Serie A,2021-2022,41730244034743257
85,Strasbourg,23,12.0,20,118,39,33.1,9.83,3.25,0.15,0.46,15.4,3,2,2,16.0,14.4,0.13,4.0,3.6,Ligue 1,2021-2022,92234479374253707
86,Stuttgart,28,10.0,15,136,52,38.2,13.6,5.2,0.11,0.29,16.7,4,0,0,12.2,12.2,0.09,2.8,2.8,Bundesliga,2021-2022,81761661302668293
87,Torino,26,11.0,15,153,43,28.1,13.91,3.91,0.1,0.35,16.4,3,0,0,13.8,13.8,0.09,1.2,1.2,Serie A,2021-2022,21846272194836439
88,Tottenham,21,10.0,8,104,37,35.6,10.4,3.7,0.07,0.19,17.9,8,1,1,10.3,9.5,0.09,-2.3,-2.5,Premier League,2021-2022,22006624071753704
89,Troyes,28,12.0,12,124,49,39.5,10.33,4.08,0.1,0.24,17.3,3,0,0,12.6,12.6,0.1,-0.6,-0.6,Ligue 1,2021-2022,57069542099991496
