Rk,Squad,# Pl,90s,Att,Pass Types: Live,Pass Types: Dead,Pass Types: FK,Pass Types: TB,Pass Types: Press,Pass Types: Sw,Pass Types: Crs,Pass Types: CK,Corner Kicks: In,Corner Kicks: Out,Corner Kicks: Str,Height: Ground,Height: Low,Height: High,Body Parts: Left,Body Parts: Right,Body Parts: Head,Body Parts: TI,Body Parts: Other,Outcomes: Cmp,Outcomes: Off,Outcomes: Out,Outcomes: Int,Outcomes: Blocks,League,Season,TeamID
11,Betis,25,38.0,22819,21007,1812,616,60,3395,593,452,187,19,27,6,17055,2630,3134,9068,11943,642,645,292,19506,66,290,362,440,La Liga,2018-2019,9423348454032625
12,Bologna,29,38.0,16034,14024,2010,549,32,2553,443,471,201,46,10,14,9736,2275,4023,3970,9588,842,824,312,12116,68,346,256,480,Serie A,2018-2019,23275147453355121
13,Bordeaux,33,38.0,18550,16628,1922,533,29,3187,533,407,171,39,12,0,12412,2507,3631,4502,11793,850,821,224,14650,46,315,345,462,Ligue 1,2018-2019,12683680850395737
14,Bournemouth,28,38.0,17433,15487,1946,513,35,2861,415,453,189,28,33,7,11493,2358,3582,5103,9973,855,823,280,13480,52,388,441,497,Premier League,2018-2019,36088947257895306
15,Brighton,21,38.0,15704,13887,1817,333,22,2433,700,408,154,51,35,6,8881,2492,4331,3678,9471,928,871,207,11586,87,395,369,415,Premier League,2018-2019,49072214318111932
16,Burnley,23,38.0,14609,12729,1880,397,30,2617,496,453,138,63,13,9,7264,2316,5029,4349,7415,1076,890,182,10157,96,440,281,394,Premier League,2018-2019,21823480134907726
17,Caen,27,38.0,15493,13537,1956,539,17,2688,639,368,125,8,15,3,8973,2159,4361,4170,8883,859,885,261,11523,39,408,255,382,Ligue 1,2018-2019,21277886218272520
18,Cagliari,30,38.0,18873,16877,1996,537,14,3283,554,491,189,24,30,6,11294,2720,4859,3592,12596,976,817,343,14565,55,374,286,469,Serie A,2018-2019,32968728316179674
19,Cardiff City,25,38.0,11620,9803,1817,429,18,2166,355,381,167,56,27,8,5328,1713,4579,2691,6332,930,794,107,7220,70,407,306,370,Premier League,2018-2019,69924771535350567
20,Celta Vigo,28,38.0,18785,16952,1833,544,29,2808,526,447,159,22,15,6,12575,2528,3682,5231,11383,882,686,232,15122,81,327,306,394,La Liga,2018-2019,14218303985450920
21,Chelsea,24,38.0,26480,24699,1781,463,61,3789,687,494,215,52,48,10,20227,2923,3330,4977,19508,693,753,298,22838,75,322,539,503,Premier League,2018-2019,58172670324373785
22,Chievo,36,38.0,16534,14685,1849,522,23,2616,570,461,128,9,17,1,9760,2403,4371,4502,9701,880,748,254,12555,66,377,292,438,Serie A,2018-2019,83748145049842906
23,Crystal Palace,26,38.0,16642,14750,1892,442,44,2749,403,402,205,46,35,16,10820,2180,3642,5204,9308,634,808,242,12739,69,322,394,472,Premier League,2018-2019,15352059381074619
24,Dijon,26,38.0,16945,15080,1865,474,30,2806,537,375,165,16,21,14,10749,2157,4039,4680,9984,777,803,255,13058,51,389,225,433,Ligue 1,2018-2019,59239312409540653
25,Dortmund,23,34.0,22100,20430,1670,443,27,2819,501,332,167,18,13,4,17215,2278,2607,6957,13215,692,746,264,18845,54,289,328,451,Bundesliga,2018-2019,6921931827204601
26,Düsseldorf,24,34.0,14589,12923,1666,453,40,2105,614,374,145,17,18,4,8976,2092,3521,4898,7646,841,640,218,11146,42,288,250,391,Bundesliga,2018-2019,6414184432322702
27,Eibar,25,38.0,18279,16170,2109,531,29,2883,754,677,224,8,43,6,9543,2868,5868,4383,10542,1387,1033,252,13129,85,440,316,570,La Liga,2018-2019,67267904110326262
28,Eint Frankfurt,30,34.0,14853,13147,1706,447,28,2462,402,501,179,18,20,6,8505,2300,4048,4285,7977,1084,765,230,10628,76,316,299,450,Bundesliga,2018-2019,37929111009288632
29,Empoli,29,38.0,18406,16475,1931,525,43,2796,634,434,187,16,17,11,12500,2311,3595,5775,10687,611,768,312,14685,65,370,313,451,Serie A,2018-2019,77726683749984272
30,Espanyol,25,38.0,17703,15818,1885,564,51,2816,509,385,175,15,25,5,11494,2527,3682,6163,9410,827,730,209,13998,73,321,273,489,La Liga,2018-2019,71314269182841176
31,Everton,23,38.0,18085,16052,2033,501,32,3241,600,514,215,39,84,17,11451,2483,4151,4651,10778,932,943,227,13829,67,449,471,495,Premier League,2018-2019,57482013681231466
32,Fiorentina,27,38.0,17251,15342,1909,545,40,2440,531,505,233,25,30,10,11233,2202,3816,4950,10124,839,753,250,13356,40,411,280,420,Serie A,2018-2019,24325362613855847
33,Freiburg,28,34.0,14967,13272,1695,445,16,2483,537,334,150,34,3,4,9422,1973,3572,4866,8034,843,678,235,11490,41,315,244,363,Bundesliga,2018-2019,17577284562417651
34,Frosinone,33,38.0,15516,13578,1938,577,17,2388,505,508,160,33,20,4,9124,2170,4222,4839,8542,714,742,332,11524,67,314,239,475,Serie A,2018-2019,87953309350363757
35,Fulham,28,38.0,19223,17410,1813,415,28,3244,456,379,160,34,34,11,12746,2341,4136,5956,10892,882,765,253,15179,84,377,437,415,Premier League,2018-2019,19227944656237519
36,Genoa,31,38.0,15296,13370,1926,534,26,2735,467,538,186,17,35,11,8882,2147,4267,4115,8915,798,774,190,11178,59,317,264,424,Serie A,2018-2019,87033800759594150
37,Getafe,26,38.0,12884,10790,2094,609,17,2131,574,460,157,8,28,7,5428,2512,4944,2814,7096,1152,977,131,8264,93,424,291,510,La Liga,2018-2019,23789167582387071
38,Girona,26,38.0,17104,15230,1874,576,29,2578,628,524,134,18,26,3,10487,2564,4053,4776,10015,868,754,286,13258,53,402,325,390,La Liga,2018-2019,12545195302828957
39,Guingamp,30,38.0,15709,13738,1971,485,13,2677,480,502,191,27,16,4,9039,2283,4387,3998,9043,1045,893,195,11408,51,438,301,478,Ligue 1,2018-2019,16872092436156260
40,Hannover 96,32,34.0,15090,13327,1763,476,24,2440,417,305,143,11,27,7,9194,2235,3661,4067,8720,966,740,248,11428,49,306,250,436,Bundesliga,2018-2019,10121335889457780
41,Hertha BSC,26,34.0,16161,14467,1694,440,27,2928,444,426,145,15,19,7,10093,2058,4010,4093,9733,963,713,220,12472,65,325,281,359,Bundesliga,2018-2019,59737400018465050
42,Hoffenheim,29,34.0,17950,16345,1605,406,39,2524,464,480,181,20,28,12,12229,2538,3183,4556,11347,788,687,318,14499,58,307,277,446,Bundesliga,2018-2019,29322720181807625
43,Huddersfield,31,38.0,17503,15584,1919,439,25,3362,459,509,162,43,35,9,10533,2343,4627,4584,10198,973,927,162,13030,56,402,437,507,Premier League,2018-2019,70397411865897550
44,Huesca,30,38.0,14817,12898,1919,534,21,2097,525,541,172,18,17,4,8188,2332,4297,3363,9106,934,805,149,10778,84,335,289,406,La Liga,2018-2019,16593090704373522
45,Inter,23,38.0,23416,21461,1955,533,37,3411,709,764,303,37,35,12,16678,2735,4003,6223,15039,779,793,305,19563,50,347,321,483,Serie A,2018-2019,53198597771575973
46,Juventus,31,38.0,21842,20114,1728,481,48,3074,887,621,239,18,18,9,15403,2646,3793,7512,12329,740,662,283,18393,64,318,349,404,Serie A,2018-2019,19371054131726661
47,Lazio,30,38.0,19761,18052,1709,423,40,3332,548,485,226,22,29,10,13624,2329,3808,4828,12717,856,714,282,15879,88,314,362,417,Serie A,2018-2019,90751438076496109
48,Leganés,29,38.0,15033,13198,1835,454,20,2541,555,538,142,18,24,5,8037,2530,4466,4926,7296,1153,859,198,10787,69,440,269,405,La Liga,2018-2019,20237473683555152
49,Leicester City,25,38.0,19012,17086,1926,455,43,3153,673,499,212,45,57,13,12147,2607,4258,4102,12364,981,858,195,14787,66,419,463,503,Premier League,2018-2019,18776461863573874
50,Levante,26,38.0,14737,12796,1941,527,32,2174,508,427,201,45,21,4,8716,2555,3466,4014,8825,678,720,227,10953,77,396,302,460,La Liga,2018-2019,1566092639264277
51,Leverkusen,21,34.0,22030,20388,1642,444,62,3388,587,452,188,24,28,6,16124,2523,3383,6404,13519,835,720,260,18327,58,311,340,483,Bundesliga,2018-2019,36794408106212849
52,Lille,25,38.0,18207,16299,1908,557,40,2845,449,370,163,17,30,2,12895,2022,3290,5697,10423,678,846,272,14573,35,350,268,435,Ligue 1,2018-2019,85603837513355486
53,Liverpool,23,38.0,25260,23395,1865,446,90,3520,780,502,247,40,36,6,18156,2696,4408,6310,16458,944,900,287,21110,71,383,420,557,Premier League,2018-2019,41956650829873911
54,Lyon,25,38.0,22496,20720,1776,460,90,3182,609,495,226,30,17,9,17034,2526,2936,6599,13912,690,746,257,19060,86,313,422,450,Ligue 1,2018-2019,87005642993871754
55,M'Gladbach,22,34.0,19034,17440,1594,412,20,2945,607,384,188,11,31,7,14076,2038,2920,4320,12919,643,659,253,15778,64,328,306,382,Bundesliga,2018-2019,81611584009946193
56,Mainz 05,28,34.0,15264,13567,1697,393,45,2232,517,432,149,9,28,5,9404,2149,3711,4796,8336,766,768,260,11555,74,263,247,418,Bundesliga,2018-2019,71158960989778912
57,Manchester City,21,38.0,28095,26470,1625,342,107,4069,676,606,296,49,68,14,22149,2746,3200,11588,14463,764,739,265,24631,85,325,389,481,Premier League,2018-2019,74026506610392765
58,Manchester Utd,28,38.0,20648,18733,1915,436,54,3357,635,463,199,40,40,21,14118,2604,3926,5962,12361,768,856,231,16807,80,304,422,458,Premier League,2018-2019,29078730489839024
59,Marseille,24,38.0,19932,17989,1943,504,36,3249,496,539,224,18,32,8,13587,2532,3813,5554,12012,847,886,250,16031,35,379,275,492,Ligue 1,2018-2019,66190039714113630
60,Milan,23,38.0,20973,19076,1897,522,70,3225,649,511,230,40,14,4,15199,2297,3477,7140,11943,581,757,289,17532,54,294,344,424,Serie A,2018-2019,59378513948613436
61,Monaco,42,38.0,17930,15936,1994,562,30,3060,537,497,189,36,29,11,11964,2618,3348,5146,10558,750,894,253,14093,51,371,299,494,Ligue 1,2018-2019,79093238158793616
62,Montpellier,25,38.0,17663,15734,1929,511,21,3082,661,505,169,25,25,4,10707,2466,4490,4739,10290,931,891,335,13580,50,365,258,485,Ligue 1,2018-2019,32434714471076965
63,Nantes,33,38.0,17605,15626,1979,506,37,3204,518,502,182,20,11,4,10887,2688,4030,5223,9809,1024,899,251,13301,68,393,337,473,Ligue 1,2018-2019,25802633648495862
64,Napoli,26,38.0,24768,22988,1780,465,84,3376,755,553,255,35,26,7,17957,3044,3767,7546,15361,654,720,251,21121,72,321,351,479,Serie A,2018-2019,10516137814401134
65,Newcastle Utd,24,38.0,15031,13225,1806,389,24,2758,562,437,181,38,48,10,8371,2073,4587,4076,8514,911,828,235,10819,51,336,299,471,Premier League,2018-2019,29528772732587842
66,Nice,30,38.0,21069,19286,1783,560,31,3262,576,367,170,17,18,9,16187,2030,2852,7215,12183,532,669,258,17888,37,341,313,405,Ligue 1,2018-2019,11720969662561653
67,Nîmes,23,38.0,15518,13416,2102,535,30,2692,514,419,202,17,29,16,9073,2451,3994,3968,9061,878,981,220,11435,38,414,262,440,Ligue 1,2018-2019,83514802313158576
68,Nürnberg,27,34.0,14082,12417,1665,411,17,2192,466,271,148,11,30,2,8735,1879,3468,4223,7847,808,674,203,10598,45,312,247,353,Bundesliga,2018-2019,10689243141507842
69,Paris S-G,30,38.0,25097,23483,1614,451,180,4053,460,477,234,34,14,3,20258,2525,2314,7889,15621,541,621,241,21972,86,300,367,430,Ligue 1,2018-2019,11177590892093073
70,Parma,31,38.0,13626,11751,1875,450,26,2389,426,311,144,23,18,4,7828,2098,3700,4867,6755,708,716,213,9996,83,327,268,415,Serie A,2018-2019,62695319081093388
71,Rayo Vallecano,29,38.0,16257,14326,1931,568,17,2462,598,507,184,24,34,5,10352,2338,3567,4149,9969,785,783,267,12606,58,393,246,436,La Liga,2018-2019,75203699329351977
72,RB Leipzig,23,34.0,16647,14814,1833,515,61,2579,361,439,187,16,38,5,10308,2671,3668,3280,10743,1092,848,248,12507,81,333,311,457,Bundesliga,2018-2019,68159208261559796
73,Real Madrid,27,38.0,24065,22187,1878,600,74,3518,894,603,218,12,24,16,17763,2921,3381,6319,15830,647,735,318,20684,95,281,306,523,La Liga,2018-2019,29627131003986350
74,Real Sociedad,30,38.0,18446,16468,1978,595,38,3013,587,402,177,26,24,4,12261,2518,3667,5958,10199,842,841,207,14700,80,333,269,473,La Liga,2018-2019,57299950304530590
75,Reims,27,38.0,15559,13697,1862,487,30,2470,501,394,164,17,18,11,9576,2402,3581,5766,7556,801,844,190,11618,73,383,269,445,Ligue 1,2018-2019,67732085073987538
76,Rennes,28,38.0,17791,15901,1890,481,37,3052,595,454,190,32,10,6,12177,2255,3359,4093,11571,706,855,225,14207,59,392,286,464,Ligue 1,2018-2019,96819424452761337
77,Roma,26,38.0,19067,17191,1876,494,49,3239,574,589,224,23,35,3,12635,2764,3668,5319,11467,801,775,283,15367,42,347,318,432,Serie A,2018-2019,764736481564168
78,Saint-Étienne,29,38.0,19136,17171,1965,504,40,3147,560,485,218,26,32,10,12980,2623,3533,4901,12064,751,850,230,15174,61,368,274,485,Ligue 1,2018-2019,56226069621228236
79,Sampdoria,24,38.0,21150,19273,1877,616,43,3162,556,463,167,31,13,5,15031,2708,3411,6607,12435,806,695,315,17188,66,321,422,515,Serie A,2018-2019,89407679695143145
80,Sassuolo,29,38.0,20036,18102,1934,617,34,2812,493,413,186,19,31,11,14320,2375,3341,7051,11161,556,723,253,16500,65,333,318,480,Serie A,2018-2019,79200252522790650
81,Schalke 04,32,34.0,14430,12770,1660,442,18,2148,449,304,154,5,39,6,8926,2063,3441,4369,7977,826,726,214,10900,69,311,251,372,Bundesliga,2018-2019,24345039935475884
82,Sevilla,27,38.0,18654,16747,1907,552,40,3478,630,587,221,34,25,12,11896,2848,3910,5399,10967,924,756,276,14612,95,351,329,537,La Liga,2018-2019,22702270477938803
83,Southampton,30,38.0,15886,14106,1780,404,41,2944,489,407,193,69,34,15,9471,2264,4151,3370,10057,997,796,179,11581,48,414,366,484,Premier League,2018-2019,21037626007536306
84,SPAL,28,38.0,17861,15894,1967,643,16,2999,436,552,194,24,21,5,11966,2322,3573,5053,10766,732,705,257,14319,32,347,266,456,Serie A,2018-2019,73622612860183040
85,Strasbourg,26,38.0,18663,16763,1900,441,26,3306,845,440,156,15,15,8,12246,2588,3829,5541,10818,718,883,310,14802,41,396,249,509,Ligue 1,2018-2019,92234479374253707
86,Stuttgart,26,34.0,15160,13403,1757,466,25,2305,449,444,169,23,20,7,9098,2347,3715,4812,8061,964,720,203,11309,57,340,212,411,Bundesliga,2018-2019,81761661302668293
87,Torino,25,38.0,17023,15055,1968,607,20,2588,625,622,174,17,17,1,10149,2364,4510,4105,10306,992,791,230,12929,66,406,234,458,Serie A,2018-2019,21846272194836439
88,Tottenham,28,38.0,22717,20848,1869,460,43,3229,624,450,194,39,56,7,16074,2727,3916,6295,14094,846,851,263,18764,66,312,452,517,Premier League,2018-2019,22006624071753704
89,Toulouse,29,38.0,16950,15026,1924,510,23,2938,432,428,158,24,23,5,10668,2420,3862,4863,9765,819,804,257,12939,63,392,327,408,Ligue 1,2018-2019,94523000561782573
90,Udinese,31,38.0,15160,13289,1871,498,24,2469,528,366,162,14,34,3,9361,2176,3623,3762,9338,685,716,228,11534,50,321,245,412,Serie A,2018-2019,48393495896639342
91,Valencia,25,38.0,17600,15759,1841,562,44,2542,613,501,195,14,23,8,11563,2612,3425,4382,11057,837,713,268,13821,64,341,341,467,La Liga,2018-2019,65158650443085242
92,Valladolid,28,38.0,16171,14236,1935,569,11,2377,596,502,200,23,26,10,9726,2393,4052,4008,10016,802,731,253,12149,84,367,247,478,La Liga,2018-2019,44089518275887893
93,Villarreal,26,38.0,17509,15718,1791,491,41,2523,560,433,167,22,30,5,11397,2454,3658,5782,9590,808,746,218,13853,91,310,323,455,La Liga,2018-2019,63335634096533483
94,Watford,25,38.0,16904,15078,1826,490,36,2829,491,423,177,46,37,2,10193,2565,4146,4590,9888,902,754,210,12735,77,294,482,445,Premier League,2018-2019,73743918793554398
95,Werder Bremen,24,34.0,18269,16549,1720,445,35,2749,548,458,166,27,15,2,12206,2612,3451,6369,9681,910,720,259,14504,35,326,318,494,Bundesliga,2018-2019,59303898890876434
96,West Ham,26,38.0,17892,15981,1911,504,53,2948,564,435,188,44,46,3,11498,2618,3776,5236,10452,718,819,247,13900,68,356,417,482,Premier League,2018-2019,57680956417459581
97,Wolfsburg,25,34.0,17041,15295,1746,480,31,2693,822,461,173,19,26,4,10756,2356,3929,6483,8291,905,737,285,13200,58,419,284,450,Bundesliga,2018-2019,85159484018358879
98,Wolves,21,38.0,18030,16255,1775,365,28,3285,743,461,195,32,58,9,10893,2793,4344,3468,12069,983,839,195,14054,66,393,382,441,Premier League,2018-2019,24001928852251903
1,Alavés,30,38.0,13461,11966,1495,412,16,2750,415,371,130,2,2,0,7657,1615,4189,4691,6405,1191,648,173,9346,90,439,300,420,La Liga,2017-2018,37745278530914180
2,Amiens,30,38.0,15245,13659,1586,412,20,2520,381,395,132,0,0,0,9323,1440,4482,4413,8432,1188,704,148,10940,60,470,371,410,Ligue 1,2017-2018,20069478421376018
3,Angers,27,38.0,16446,14843,1603,384,34,2661,424,434,164,0,0,0,10706,1324,4416,4967,9146,1088,805,225,12407,51,369,398,472,Ligue 1,2017-2018,66587352409382849
4,Arsenal,30,38.0,24882,23132,1750,434,48,3257,679,419,225,114,59,17,18042,3346,3494,9604,12935,804,751,358,20840,85,322,726,468,Premier League,2017-2018,5838645288327307
5,Atalanta,25,38.0,20966,19111,1855,473,21,3404,731,489,228,59,68,19,13731,2959,4276,5773,12867,829,828,279,16813,68,441,375,509,Serie A,2017-2018,87465877057901989
6,Athletic Club,26,38.0,17079,15649,1430,397,12,3110,548,538,182,0,0,0,10595,1985,4499,4347,10240,1332,610,157,12708,93,425,283,510,La Liga,2017-2018,4823083458145023
7,Atlético Madrid,26,38.0,18218,16868,1350,364,15,3182,398,350,157,0,0,0,12383,1989,3846,5093,11033,999,587,176,14162,98,339,347,485,La Liga,2017-2018,74713976168286555
8,Augsburg,27,34.0,14251,12529,1722,421,13,2533,508,456,174,45,52,13,7120,2708,4423,4161,7616,958,791,252,10179,63,352,231,444,Bundesliga,2017-2018,82828683183786310
9,Barcelona,25,38.0,24812,23560,1252,351,44,4331,574,383,199,7,13,4,19986,2103,2723,8121,15032,723,532,204,21306,112,270,442,559,La Liga,2017-2018,81744823723090567
10,Bayern Munich,28,34.0,23840,22367,1473,404,60,3869,770,605,220,48,61,20,16852,3235,3753,6875,14915,851,639,256,20441,60,304,287,389,Bundesliga,2017-2018,7510926916741648
11,Benevento,41,38.0,17812,16066,1746,490,16,2907,509,422,163,48,24,12,11931,2262,3619,6316,9705,544,665,281,14168,75,370,257,428,Serie A,2017-2018,38159059008947812
12,Betis,29,38.0,21045,19826,1219,374,25,3127,589,375,123,0,0,0,15695,1629,3721,8281,10908,943,480,200,17395,53,430,325,411,La Liga,2017-2018,9423348454032625
13,Bologna,30,38.0,17602,15743,1859,496,17,2898,538,303,149,79,10,10,10642,2690,4270,4608,10552,891,787,262,13638,60,422,262,459,Serie A,2017-2018,23275147453355121
14,Bordeaux,31,38.0,17958,16471,1487,349,47,2633,554,476,165,0,0,0,12406,1742,3810,5149,10578,1085,728,201,14055,62,363,397,451,Ligue 1,2017-2018,12683680850395737
15,Bournemouth,22,38.0,17678,15635,2043,540,25,2787,472,464,218,87,65,20,11109,2679,3890,5269,9963,792,857,319,13512,47,371,572,469,Premier League,2017-2018,36088947257895306
16,Brighton,24,38.0,16139,14409,1730,333,11,2829,720,434,163,67,61,26,9233,2539,4367,3766,9818,806,792,261,11951,88,422,480,401,Premier League,2017-2018,49072214318111932
17,Burnley,24,38.0,14963,13088,1875,475,18,2868,493,432,167,63,59,27,7587,2454,4922,4074,8094,977,825,237,10495,90,434,376,380,Premier League,2017-2018,21823480134907726
18,Caen,26,38.0,15797,14179,1618,396,20,2502,627,602,193,0,0,0,9265,1536,4996,3633,9466,1441,758,175,11292,67,464,392,465,Ligue 1,2017-2018,21277886218272520
19,Cagliari,29,38.0,16636,14680,1956,496,13,2616,554,446,177,44,54,13,8712,2708,5216,3436,10462,1014,835,319,12167,75,394,246,431,Serie A,2017-2018,32968728316179674
20,Celta Vigo,23,38.0,20569,19301,1268,365,8,3645,549,465,142,1,2,0,14286,2113,4170,5317,13031,1215,532,175,16520,81,435,315,411,La Liga,2017-2018,14218303985450920
21,Chelsea,26,38.0,22867,21103,1764,452,53,2915,648,530,228,50,81,12,16315,3080,3472,4692,15950,690,747,333,18953,95,300,609,462,Premier League,2017-2018,58172670324373785
22,Chievo,25,38.0,16824,14979,1845,498,10,2494,588,522,146,52,31,24,9444,2571,4809,4053,10436,869,749,294,12575,95,374,244,417,Serie A,2017-2018,83748145049842906
23,Crotone,29,38.0,14840,13039,1801,472,9,2431,410,391,132,49,13,14,7272,2781,4787,5191,7112,1006,766,212,10311,77,412,234,486,Serie A,2017-2018,33431629624225246
24,Crystal Palace,28,38.0,15897,13948,1949,461,24,2679,477,439,210,83,74,33,9324,2494,4079,4412,9025,715,869,219,11832,47,386,475,425,Premier League,2017-2018,15352059381074619
25,Dijon,26,38.0,16820,15333,1487,381,21,2563,646,404,142,0,0,0,10820,1679,4321,4035,10483,1096,711,256,12787,57,439,357,400,Ligue 1,2017-2018,59239312409540653
26,Dortmund,30,34.0,20322,18599,1723,493,33,2765,454,394,161,39,44,10,14091,2651,3580,5029,13061,890,765,260,16586,74,347,257,388,Bundesliga,2017-2018,6921931827204601
27,Eibar,27,38.0,17675,15964,1711,411,5,2908,776,622,222,0,0,0,9660,2352,5663,3986,10584,1608,857,228,12513,68,666,329,530,La Liga,2017-2018,67267904110326262
28,Eint Frankfurt,28,34.0,15528,13789,1739,528,33,2351,581,388,155,37,58,6,8546,2638,4344,3436,9649,983,764,259,11441,83,374,264,454,Bundesliga,2017-2018,37929111009288632
29,Espanyol,25,38.0,16797,15331,1466,400,11,2783,483,459,157,3,4,0,10431,1941,4425,5407,8973,1271,633,197,12349,66,444,324,516,La Liga,2017-2018,71314269182841176
30,Everton,30,38.0,16282,14419,1863,425,24,2683,546,395,150,63,68,8,9179,2698,4405,3388,10277,847,853,238,11989,72,393,433,437,Premier League,2017-2018,57482013681231466
31,Fiorentina,27,38.0,19375,17622,1753,421,22,2972,558,486,210,30,79,21,12230,2967,4178,5625,11372,896,802,283,15290,69,415,266,460,Serie A,2017-2018,24325362613855847
32,Freiburg,29,34.0,14766,13081,1685,462,25,2728,409,313,127,34,41,8,8474,2307,3985,3650,8732,939,710,214,11014,36,328,206,432,Bundesliga,2017-2018,17577284562417651
33,Genoa,33,38.0,17522,15699,1823,462,20,2485,493,464,179,54,34,16,10565,2366,4591,6313,8842,884,777,236,13218,79,391,286,480,Serie A,2017-2018,87033800759594150
34,Getafe,32,38.0,13094,11349,1745,485,17,2308,495,379,174,0,0,0,6438,1805,4851,2419,8066,1289,756,146,8463,92,451,304,461,La Liga,2017-2018,23789167582387071
35,Girona,25,38.0,15587,14195,1392,402,4,3029,730,547,164,0,0,0,9201,1772,4614,5071,8046,1321,568,194,11412,68,439,276,406,La Liga,2017-2018,12545195302828957
36,Guingamp,23,38.0,17284,15748,1536,382,24,3271,454,498,180,0,0,0,11700,1400,4184,4278,10817,1065,692,180,13225,88,490,397,445,Ligue 1,2017-2018,16872092436156260
37,Hamburger SV,29,34.0,15037,13124,1913,508,30,2712,489,436,199,51,60,18,7921,2767,4349,5771,6567,1049,890,242,10768,59,351,267,502,Bundesliga,2017-2018,42905483414913667
38,Hannover 96,26,34.0,14890,13061,1829,532,11,2481,371,357,134,39,39,17,7661,2917,4312,2865,9271,1133,801,266,10882,48,375,242,439,Bundesliga,2017-2018,10121335889457780
39,Hellas Verona,32,38.0,15515,13725,1790,411,8,2432,581,405,139,23,33,16,8526,2826,4163,4572,8689,781,748,325,11493,69,405,244,457,Serie A,2017-2018,45227680351245381
40,Hertha BSC,25,34.0,15389,13773,1616,483,18,2387,407,339,126,14,51,18,9026,2423,3940,4121,9051,893,672,198,11673,45,315,240,408,Bundesliga,2017-2018,59737400018465050
41,Hoffenheim,26,34.0,17276,15705,1571,466,34,2672,423,390,154,41,45,13,11150,2621,3505,4394,10913,723,645,291,13769,65,307,284,398,Bundesliga,2017-2018,29322720181807625
42,Huddersfield,25,38.0,16536,14570,1966,476,16,2936,458,477,165,88,37,14,9510,2516,4510,3686,10128,882,922,189,12081,53,436,514,461,Premier League,2017-2018,70397411865897550
43,Inter,22,38.0,22639,20919,1720,387,21,3462,636,691,275,59,55,37,15709,3085,3845,4231,16232,782,726,364,18750,83,334,332,489,Serie A,2017-2018,53198597771575973
44,Juventus,24,38.0,23398,21895,1503,423,25,3135,917,484,175,21,46,12,16564,3083,3751,8817,12579,788,661,256,20058,73,297,264,428,Serie A,2017-2018,19371054131726661
45,Köln,31,34.0,15704,14019,1685,484,23,2544,459,381,171,33,58,15,8918,2611,4175,5022,8363,983,656,144,11700,69,327,262,446,Bundesliga,2017-2018,39731782814123330
46,La Coruña,32,38.0,16487,15098,1389,352,16,2901,509,570,174,0,0,0,10543,1919,4025,5556,8690,1162,593,173,12284,83,453,283,444,La Liga,2017-2018,31828180925314031
47,Las Palmas,36,38.0,19085,17665,1420,421,13,3193,485,413,158,0,0,0,13504,1914,3667,4459,12589,940,601,257,15166,73,425,402,417,La Liga,2017-2018,33189055458748528
48,Lazio,24,38.0,20211,18624,1587,342,42,3064,616,489,212,41,41,9,13516,2770,3925,4247,13804,840,697,306,16308,87,316,325,501,Serie A,2017-2018,90751438076496109
49,Leganés,28,38.0,14621,13025,1596,472,11,2537,458,476,148,0,0,0,8208,1771,4642,5279,6785,1273,688,155,10185,77,459,274,454,La Liga,2017-2018,20237473683555152
50,Leicester City,27,38.0,16782,14791,1991,428,36,2583,654,493,203,118,37,12,9533,2799,4450,4313,9644,954,952,209,12332,80,436,537,427,Premier League,2017-2018,18776461863573874
51,Levante,33,38.0,14379,12849,1530,387,13,2810,419,455,170,0,2,1,8827,1647,3905,3366,8941,936,675,146,10471,63,454,273,450,La Liga,2017-2018,1566092639264277
52,Leverkusen,24,34.0,18413,16702,1711,492,41,2995,571,471,171,58,40,10,12103,2638,3672,5054,11140,842,744,251,14642,52,361,330,480,Bundesliga,2017-2018,36794408106212849
53,Lille,25,38.0,19286,18007,1279,275,32,3168,484,445,159,0,0,0,14410,1398,3478,6773,10666,782,618,237,15564,79,392,446,449,Ligue 1,2017-2018,85603837513355486
54,Liverpool,27,38.0,24345,22550,1795,394,50,2840,621,503,230,103,74,16,17601,2851,3893,6265,15657,802,894,307,20257,61,343,613,430,Premier League,2017-2018,41956650829873911
55,Lyon,26,38.0,20273,18932,1341,323,48,2759,522,429,171,0,0,0,15400,1596,3277,7288,11025,874,655,189,16846,62,342,413,425,Ligue 1,2017-2018,87005642993871754
56,M'Gladbach,27,34.0,17948,16298,1650,427,34,2875,476,303,168,25,64,10,11953,2454,3541,4064,11869,743,722,210,14496,65,309,250,431,Bundesliga,2017-2018,81611584009946193
57,Mainz 05,27,34.0,13929,12263,1666,427,17,2453,514,342,143,45,28,15,7601,2411,3917,3158,8489,815,769,257,10117,61,355,293,390,Bundesliga,2017-2018,71158960989778912
58,Málaga,37,38.0,15504,13931,1573,405,16,3018,461,479,148,0,0,0,8949,1876,4679,4796,8211,1291,704,137,11168,80,446,311,456,La Liga,2017-2018,79809637287620621
59,Manchester City,25,38.0,29601,27876,1725,423,68,3173,664,570,284,22,131,12,23736,2984,2881,9365,18202,654,783,273,26108,60,343,688,482,Premier League,2017-2018,74026506610392765
60,Manchester Utd,27,38.0,21650,19802,1848,456,42,2892,609,524,219,102,71,6,15260,2675,3715,6065,13382,605,809,248,17775,76,275,538,443,Premier League,2017-2018,29078730489839024
