Rk,Squad,# Pl,90s,Att,Pass Types: Live,Pass Types: Dead,Pass Types: FK,Pass Types: TB,Pass Types: Press,Pass Types: Sw,Pass Types: Crs,Pass Types: CK,Corner Kicks: In,Corner Kicks: Out,Corner Kicks: Str,Height: Ground,Height: Low,Height: High,Body Parts: Left,Body Parts: Right,Body Parts: Head,Body Parts: TI,Body Parts: Other,Outcomes: Cmp,Outcomes: Off,Outcomes: Out,Outcomes: Int,Outcomes: Blocks,League,Season,TeamID
5,Aston Villa,28,38.0,15353,13360,1993,558,20,2717,590,492,200,106,37,13,8757,2527,4069,5444,7695,697,788,253,11530,60,379,218,402,Premier League,2019-2020,14348480492050895
6,Atalanta,30,38.0,21650,19792,1858,574,50,3290,562,486,248,69,116,31,15276,2960,3414,6428,13169,665,713,282,18078,39,320,272,487,Serie A,2019-2020,87465877057901989
7,Athletic Club,26,38.0,16607,14664,1943,518,30,2732,652,474,178,60,63,22,9260,3033,4314,4000,9898,929,874,277,12589,70,437,210,417,La Liga,2019-2020,4823083458145023
8,Atlético Madrid,30,38.0,17595,15679,1916,514,49,2731,429,420,183,46,86,20,10695,2609,4291,4090,10967,914,836,226,13709,100,314,222,420,La Liga,2019-2020,74713976168286555
9,Augsburg,28,34.0,12212,10465,1747,443,36,2242,420,285,133,39,55,24,6265,2321,3626,2948,7139,710,772,226,8618,71,325,213,437,Bundesliga,2019-2020,82828683183786310
10,Barcelona,28,38.0,28212,26484,1728,576,109,3916,571,362,185,90,30,3,21537,3652,3023,10123,16258,640,637,307,24981,78,259,419,509,La Liga,2019-2020,81744823723090567
11,Bayern Munich,29,34.0,24240,22533,1707,444,67,3599,703,648,239,72,84,35,17276,3477,3487,6844,15299,707,769,323,20739,68,316,352,488,Bundesliga,2019-2020,7510926916741648
12,Betis,27,38.0,19618,17546,2072,701,35,3058,632,454,185,53,50,9,13183,2895,3540,7646,9874,674,802,275,16291,67,336,222,463,La Liga,2019-2020,9423348454032625
13,Bologna,31,38.0,18276,16296,1980,618,37,2905,503,468,228,131,26,23,12220,2500,3556,4700,11420,692,737,302,14641,77,344,274,494,Serie A,2019-2020,23275147453355121
14,Bordeaux,26,28.0,14986,13606,1380,393,22,2851,364,234,137,60,44,23,10567,1787,2632,3217,10278,488,543,161,12356,35,241,221,295,Ligue 1,2019-2020,12683680850395737
15,Bournemouth,27,38.0,15973,14132,1841,456,47,3017,355,398,194,92,55,16,9058,2918,3997,4711,8799,888,791,253,11943,54,363,241,496,Premier League,2019-2020,36088947257895306
16,Brescia,32,38.0,14650,12578,2072,649,17,2415,521,428,160,23,76,23,8448,2573,3629,3575,9086,557,781,321,11010,60,335,265,460,Serie A,2019-2020,24926529561002350
17,Brest,24,28.0,13961,12482,1479,339,23,2409,499,374,115,56,30,5,8729,2323,2909,3434,8819,483,719,221,11090,29,275,226,340,Ligue 1,2019-2020,27328509848090670
18,Brighton,25,38.0,19549,17758,1791,397,29,3508,644,492,178,65,66,31,12239,3308,4002,3985,13135,792,849,339,15696,66,372,308,507,Premier League,2019-2020,49072214318111932
19,Burnley,22,38.0,14227,12383,1844,421,28,2763,476,410,170,151,5,4,6869,2503,4855,4411,7168,847,861,255,9925,79,394,179,412,Premier League,2019-2020,21823480134907726
20,Cagliari,33,38.0,16870,14943,1927,566,28,2380,576,488,154,50,61,22,10195,2570,4105,4371,10530,621,750,261,13303,49,321,224,432,Serie A,2019-2020,32968728316179674
21,Celta Vigo,30,38.0,18402,16451,1951,598,30,3381,495,414,176,51,70,22,11967,2691,3744,5916,10346,692,750,240,14692,60,317,239,504,La Liga,2019-2020,14218303985450920
22,Chelsea,27,38.0,24532,22698,1834,399,41,4316,740,567,248,85,87,22,17110,3396,4026,4351,17936,723,868,255,20665,61,321,262,517,Premier League,2019-2020,58172670324373785
23,Crystal Palace,25,38.0,15940,13980,1960,509,16,3107,435,364,177,105,46,11,9554,2586,3800,3945,9627,677,873,279,12142,49,337,279,463,Premier League,2019-2020,15352059381074619
24,Dijon,28,28.0,12893,11455,1438,384,19,2235,397,277,121,34,54,16,8103,1931,2859,3537,7649,457,617,252,10176,28,236,225,313,Ligue 1,2019-2020,59239312409540653
25,Dortmund,27,34.0,24010,22415,1595,410,51,3544,632,366,188,48,77,18,17836,3349,2825,6454,15710,625,693,291,20781,44,292,363,469,Bundesliga,2019-2020,6921931827204601
26,Düsseldorf,28,34.0,15049,13318,1731,496,23,2672,651,441,149,29,79,18,8553,2649,3847,4089,8777,770,731,262,11476,52,348,220,419,Bundesliga,2019-2020,6414184432322702
27,Eibar,26,38.0,15315,13212,2103,539,16,2740,711,556,189,71,87,12,6949,2787,5579,3509,8562,1239,1012,220,10623,64,515,171,426,La Liga,2019-2020,67267904110326262
28,Eint Frankfurt,27,34.0,16463,14655,1808,458,25,3002,484,561,214,56,112,18,9227,3028,4208,4907,9105,863,811,244,12408,47,332,255,532,Bundesliga,2019-2020,37929111009288632
29,Espanyol,31,38.0,16181,14262,1919,551,36,2533,519,441,155,49,63,19,8778,2859,4544,4884,8689,968,803,242,12032,53,406,203,427,La Liga,2019-2020,71314269182841176
30,Everton,24,38.0,17176,15298,1878,463,42,2854,608,501,203,92,79,18,10253,2893,4030,4826,9869,775,842,266,13239,48,377,260,540,Premier League,2019-2020,57482013681231466
31,Fiorentina,33,38.0,17131,15272,1859,575,32,2622,590,467,211,67,94,20,11298,2482,3351,4350,10941,530,705,331,13792,37,316,235,445,Serie A,2019-2020,24325362613855847
32,Freiburg,26,34.0,15509,13684,1825,461,25,2825,483,387,151,87,32,13,9266,2630,3613,4574,8789,688,765,281,12120,50,292,220,448,Bundesliga,2019-2020,17577284562417651
33,Genoa,34,38.0,18085,16124,1961,559,21,3162,531,486,166,40,71,12,11736,2523,3826,4305,11625,647,783,265,14405,49,259,223,480,Serie A,2019-2020,87033800759594150
34,Getafe,30,38.0,13358,11109,2249,642,12,2476,620,558,183,39,66,9,5274,2821,5263,3437,6677,1205,1092,128,8444,97,448,196,544,La Liga,2019-2020,23789167582387071
35,Granada,27,38.0,13965,11990,1975,583,18,2640,530,405,162,54,55,15,7190,2429,4346,3782,7685,852,822,219,9933,56,454,188,458,La Liga,2019-2020,45137124328012624
36,Hellas Verona,30,38.0,17453,15523,1930,560,38,2947,438,495,207,87,87,24,10511,2909,4033,4830,10404,795,730,189,13381,85,380,257,500,Serie A,2019-2020,45227680351245381
37,Hertha BSC,32,34.0,14845,13188,1657,428,23,2503,560,382,125,31,73,9,8715,2520,3610,4366,8365,650,741,258,11480,49,283,200,426,Bundesliga,2019-2020,59737400018465050
38,Hoffenheim,31,34.0,17961,16235,1726,473,39,3394,413,362,174,43,97,20,11735,2799,3427,4186,11702,678,698,318,14589,51,299,215,432,Bundesliga,2019-2020,29322720181807625
39,Inter,29,38.0,20754,18987,1767,471,40,3014,668,542,234,79,55,25,14000,3273,3481,4972,13863,565,700,355,17321,85,242,279,526,Serie A,2019-2020,53198597771575973
40,Juventus,30,38.0,23375,21586,1789,511,55,3134,701,440,235,67,93,23,17145,3291,2939,7967,13608,494,711,347,20306,67,271,260,487,Serie A,2019-2020,19371054131726661
41,Köln,29,34.0,14923,13131,1792,479,26,2897,456,429,175,74,67,18,8449,2464,4010,5176,7611,742,737,183,11292,65,321,237,412,Bundesliga,2019-2020,39731782814123330
42,Lazio,27,38.0,19310,17661,1649,449,60,2832,642,512,218,72,88,19,13312,2736,3262,5112,12440,589,608,262,16035,61,224,287,447,Serie A,2019-2020,90751438076496109
43,Lecce,30,38.0,17086,15243,1843,568,20,2578,598,582,183,7,31,6,10731,2698,3657,5775,9595,487,594,330,13757,59,252,242,455,Serie A,2019-2020,92912790925867566
44,Leganés,29,38.0,14585,12591,1994,569,28,2460,577,521,157,36,85,10,7346,2604,4635,4206,7742,927,885,244,10467,69,417,201,415,La Liga,2019-2020,20237473683555152
45,Leicester City,24,38.0,21149,19239,1910,490,63,3443,566,475,221,55,106,21,14241,3153,3755,4775,14115,721,878,254,17329,55,361,291,518,Premier League,2019-2020,18776461863573874
46,Levante,29,38.0,16087,14156,1931,546,52,2468,626,444,189,75,47,19,9578,2893,3616,4417,9649,677,748,274,12463,78,391,187,431,La Liga,2019-2020,1566092639264277
47,Leverkusen,24,34.0,22816,21030,1786,476,55,3927,549,426,215,100,66,31,16081,3373,3362,7615,13160,610,784,312,19160,79,291,344,519,Bundesliga,2019-2020,36794408106212849
48,Lille,25,28.0,14068,12613,1455,388,25,2324,375,321,154,62,62,8,9374,2055,2639,4468,7926,506,658,211,11307,55,266,199,356,Ligue 1,2019-2020,85603837513355486
49,Liverpool,24,38.0,25110,23231,1879,437,92,3723,882,569,256,60,122,13,16785,3604,4721,5544,17096,885,877,270,20887,48,390,303,541,Premier League,2019-2020,41956650829873911
50,Lyon,27,28.0,15881,14547,1334,355,26,2647,492,356,129,66,28,3,11066,2243,2572,3736,10538,481,603,227,13379,22,220,224,318,Ligue 1,2019-2020,87005642993871754
51,M'Gladbach,25,34.0,17921,16164,1757,489,56,2907,444,387,171,50,55,36,11629,2975,3317,4216,11725,605,740,249,14479,79,231,314,445,Bundesliga,2019-2020,81611584009946193
52,Mainz 05,25,34.0,13844,12065,1779,440,32,2466,447,383,174,57,92,16,8041,2365,3438,3717,8113,556,752,330,10302,57,268,222,403,Bundesliga,2019-2020,71158960989778912
53,Mallorca,32,38.0,15603,13645,1958,576,10,3022,452,454,171,58,57,11,9363,2527,3713,3421,9881,699,789,302,11932,51,345,224,455,La Liga,2019-2020,96459977719332900
54,Manchester City,24,38.0,27673,26098,1575,353,106,4129,807,617,297,101,63,26,21037,3349,3287,10236,15451,682,686,289,24266,63,274,347,535,Premier League,2019-2020,74026506610392765
55,Manchester Utd,29,38.0,21170,19343,1827,470,43,3648,614,392,202,72,70,20,15138,2857,3175,5731,13433,596,817,249,17542,52,308,337,564,Premier League,2019-2020,29078730489839024
