Rk,Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,League,Season,TeamID
48,Leganés,29,38.0,104.0,4.0,2,542,398,75,538,326,417,2,4,1,3523,721,592,54.9,La Liga,2018-2019,20237473683555152
49,Leicester City,25,38.0,60.0,5.0,3,359,381,72,499,418,445,6,5,0,3640,717,586,55.0,Premier League,2018-2019,18776461863573874
50,Levante,26,38.0,107.0,7.0,5,501,487,85,427,302,377,6,9,3,3292,325,427,43.2,La Liga,2018-2019,1566092639264277
51,Leverkusen,21,34.0,50.0,1.0,0,377,387,69,452,293,371,3,6,3,3494,404,375,51.9,Bundesliga,2018-2019,36794408106212849
52,Lille,25,38.0,70.0,4.0,1,484,522,41,370,267,434,10,10,0,3387,425,443,49.0,Ligue 1,2018-2019,85603837513355486
53,Liverpool,23,38.0,39.0,2.0,2,321,349,82,502,321,397,7,1,0,3860,493,469,51.2,Premier League,2018-2019,41956650829873911
54,Lyon,25,38.0,55.0,3.0,2,446,476,95,495,315,389,9,4,4,3372,468,391,54.5,Ligue 1,2018-2019,87005642993871754
55,M'Gladbach,22,34.0,43.0,0.0,0,334,365,71,384,261,322,4,2,0,2869,294,392,42.9,Bundesliga,2018-2019,81611584009946193
56,Mainz 05,28,34.0,56.0,0.0,0,439,366,83,432,286,300,3,4,0,3464,427,416,50.7,Bundesliga,2018-2019,71158960989778912
57,Manchester City,21,38.0,44.0,1.0,0,333,302,102,606,325,361,4,4,0,3460,457,420,52.1,Premier League,2018-2019,74026506610392765
58,Manchester Utd,28,38.0,75.0,4.0,2,436,400,90,463,380,375,11,6,3,3354,622,466,57.2,Premier League,2018-2019,29078730489839024
59,Marseille,24,38.0,82.0,8.0,1,506,459,55,539,271,444,2,11,0,3582,525,498,51.3,Ligue 1,2018-2019,66190039714113630
60,Milan,23,38.0,80.0,5.0,2,458,484,64,511,286,453,2,5,1,3090,389,404,49.1,Serie A,2018-2019,59378513948613436
61,Monaco,42,38.0,91.0,6.0,1,536,514,56,497,295,453,5,8,2,3346,470,456,50.8,Ligue 1,2018-2019,79093238158793616
62,Montpellier,25,38.0,60.0,4.0,1,547,485,59,505,320,424,2,4,2,3588,559,562,49.9,Ligue 1,2018-2019,32434714471076965
63,Nantes,33,38.0,72.0,6.0,3,503,504,76,502,345,481,7,7,0,3772,497,478,51.0,Ligue 1,2018-2019,25802633648495862
64,Napoli,26,38.0,72.0,5.0,3,415,423,89,553,262,446,0,4,0,3278,334,365,47.8,Serie A,2018-2019,10516137814401134
65,Newcastle Utd,24,38.0,57.0,2.0,0,425,336,59,437,500,430,2,6,1,3628,654,824,44.2,Premier League,2018-2019,29528772732587842
66,Nice,30,38.0,72.0,5.0,1,428,527,41,367,325,385,7,5,1,3115,354,347,50.5,Ligue 1,2018-2019,11720969662561653
67,Nîmes,23,38.0,69.0,5.0,2,494,499,47,419,277,462,3,4,0,3606,511,613,45.5,Ligue 1,2018-2019,83514802313158576
68,Nürnberg,27,34.0,58.0,4.0,1,396,390,56,271,290,363,5,2,2,2967,409,468,46.6,Bundesliga,2018-2019,10689243141507842
69,Paris S-G,30,38.0,64.0,4.0,0,481,446,97,477,249,421,10,5,3,3170,317,257,55.2,Ligue 1,2018-2019,11177590892093073
70,Parma,31,38.0,82.0,3.0,2,505,440,94,311,314,366,5,8,4,2944,457,511,47.2,Serie A,2018-2019,62695319081093388
71,Rayo Vallecano,29,38.0,101.0,8.0,5,567,455,71,507,326,425,5,11,1,3294,418,433,49.1,La Liga,2018-2019,75203699329351977
72,RB Leipzig,23,34.0,61.0,1.0,0,470,401,89,439,321,394,3,6,1,3778,515,417,55.3,Bundesliga,2018-2019,68159208261559796
73,Real Madrid,27,38.0,79.0,6.0,4,446,545,112,603,322,418,8,6,0,3106,375,326,53.5,La Liga,2018-2019,29627131003986350
74,Real Sociedad,30,38.0,80.0,4.0,2,492,544,92,402,331,399,7,3,2,3360,549,526,51.1,La Liga,2018-2019,57299950304530590
75,Reims,27,38.0,67.0,2.0,0,535,472,83,394,344,453,2,7,2,3430,472,538,46.7,Ligue 1,2018-2019,67732085073987538
76,Rennes,28,38.0,68.0,3.0,2,498,490,60,454,285,378,9,4,1,3340,467,429,52.1,Ligue 1,2018-2019,96819424452761337
77,Roma,26,38.0,88.0,2.0,2,466,397,51,589,325,351,5,7,1,3382,591,417,58.6,Serie A,2018-2019,764736481564168
78,Saint-Étienne,29,38.0,63.0,7.0,4,462,457,63,485,304,427,4,9,1,3471,458,466,49.6,Ligue 1,2018-2019,56226069621228236
79,Sampdoria,24,38.0,89.0,3.0,3,496,514,74,463,224,411,7,7,1,3578,379,401,48.6,Serie A,2018-2019,89407679695143145
80,Sassuolo,29,38.0,87.0,8.0,3,535,534,76,413,299,378,4,7,2,3196,378,422,47.3,Serie A,2018-2019,79200252522790650
81,Schalke 04,32,34.0,72.0,5.0,1,461,403,86,304,285,384,7,6,1,3202,407,395,50.7,Bundesliga,2018-2019,24345039935475884
82,Sevilla,27,38.0,114.0,6.0,4,536,462,111,587,296,422,5,6,1,3548,493,570,46.4,La Liga,2018-2019,22702270477938803
83,Southampton,30,38.0,73.0,3.0,2,428,341,62,407,500,449,4,3,3,3684,654,757,46.4,Premier League,2018-2019,21037626007536306
84,SPAL,28,38.0,112.0,3.0,1,512,561,41,552,319,389,7,5,0,3019,469,461,50.4,Serie A,2018-2019,73622612860183040
85,Strasbourg,26,38.0,70.0,4.0,1,520,415,44,440,347,384,5,7,1,3329,470,469,50.1,Ligue 1,2018-2019,92234479374253707
86,Stuttgart,26,34.0,64.0,5.0,2,380,409,69,444,288,382,0,3,4,3366,503,455,52.5,Bundesliga,2018-2019,81761661302668293
87,Torino,25,38.0,88.0,4.0,1,623,577,77,622,389,469,4,5,0,3719,686,620,52.5,Serie A,2018-2019,21846272194836439
88,Tottenham,28,38.0,57.0,3.0,1,378,366,74,450,386,406,3,5,3,3589,539,563,48.9,Premier League,2018-2019,22006624071753704
89,Toulouse,29,38.0,75.0,5.0,2,563,477,69,428,300,459,8,5,1,3603,507,473,51.7,Ligue 1,2018-2019,94523000561782573
90,Udinese,31,38.0,90.0,4.0,2,515,478,69,366,343,427,7,7,1,3104,549,532,50.8,Serie A,2018-2019,48393495896639342
91,Valencia,25,38.0,88.0,3.0,2,463,514,75,501,357,381,6,8,2,3285,476,510,48.3,La Liga,2018-2019,65158650443085242
92,Valladolid,28,38.0,92.0,0.0,0,513,499,96,502,317,452,6,8,1,3365,471,652,41.9,La Liga,2018-2019,44089518275887893
93,Villarreal,26,38.0,115.0,3.0,3,518,412,95,433,302,425,3,4,3,3100,475,500,48.7,La Liga,2018-2019,63335634096533483
94,Watford,25,38.0,79.0,4.0,1,437,385,90,423,454,438,1,4,3,3605,694,761,47.7,Premier League,2018-2019,73743918793554398
95,Werder Bremen,24,34.0,61.0,3.0,3,445,354,42,458,305,337,4,5,0,3298,421,459,47.8,Bundesliga,2018-2019,59303898890876434
96,West Ham,26,38.0,59.0,1.0,0,338,393,73,435,491,469,5,5,1,3323,539,521,50.8,Premier League,2018-2019,57680956417459581
97,Wolfsburg,25,34.0,62.0,0.0,0,368,444,69,461,291,397,3,6,0,3304,429,418,50.6,Bundesliga,2018-2019,85159484018358879
98,Wolves,21,38.0,73.0,1.0,0,412,333,74,461,447,426,3,4,4,3538,717,646,52.6,Premier League,2018-2019,24001928852251903
1,Alavés,30,38.0,105.0,4.0,4,614,531,111,371,348,383,3,10,2,3509,376,381,49.7,La Liga,2017-2018,37745278530914180
2,Amiens,30,38.0,0.0,0.0,2,482,464,69,395,502,369,4,4,0,3671,289,314,47.9,Ligue 1,2017-2018,20069478421376018
3,Angers,27,38.0,0.0,0.0,2,443,439,60,434,402,357,3,6,4,3534,230,275,45.5,Ligue 1,2017-2018,66587352409382849
4,Arsenal,30,38.0,0.0,0.0,0,388,382,90,419,482,440,5,6,0,3647,721,765,48.5,Premier League,2017-2018,5838645288327307
5,Atalanta,25,38.0,0.0,0.0,3,470,475,82,489,338,469,9,2,0,3940,567,547,50.9,Serie A,2017-2018,87465877057901989
6,Athletic Club,26,38.0,93.0,0.0,0,538,495,107,538,354,373,7,6,3,3627,440,337,56.6,La Liga,2017-2018,4823083458145023
7,Atlético Madrid,26,38.0,93.0,5.0,3,541,483,110,350,358,463,3,4,0,3591,340,288,54.1,La Liga,2017-2018,74713976168286555
8,Augsburg,27,34.0,0.0,0.0,1,473,415,69,456,316,392,4,3,0,3550,639,663,49.1,Bundesliga,2017-2018,82828683183786310
9,Barcelona,25,38.0,67.0,2.0,0,390,528,136,383,353,345,4,2,0,3158,242,179,57.5,La Liga,2017-2018,81744823723090567
10,Bayern Munich,28,34.0,0.0,0.0,0,365,415,67,605,272,343,7,4,3,3384,477,400,54.4,Bundesliga,2017-2018,7510926916741648
11,Benevento,41,38.0,0.0,0.0,4,472,468,83,422,300,409,2,11,2,3271,364,464,44.0,Serie A,2017-2018,38159059008947812
12,Betis,29,38.0,90.0,3.0,1,474,498,63,375,336,321,1,1,4,3173,258,304,45.9,La Liga,2017-2018,9423348454032625
13,Bologna,30,38.0,0.0,0.0,4,476,466,65,303,248,446,2,4,3,3466,583,525,52.6,Serie A,2017-2018,23275147453355121
14,Bordeaux,31,38.0,0.0,0.0,1,510,475,79,476,432,412,5,6,1,3415,234,259,47.5,Ligue 1,2017-2018,12683680850395737
15,Bournemouth,22,38.0,0.0,0.0,1,339,424,53,464,465,331,2,3,1,3644,815,898,47.6,Premier League,2017-2018,36088947257895306
16,Brighton,24,38.0,0.0,0.0,0,414,284,101,434,554,447,7,3,5,3407,964,889,52.0,Premier League,2017-2018,49072214318111932
17,Burnley,24,38.0,0.0,0.0,0,352,423,104,432,526,349,0,5,1,3487,1102,1189,48.1,Premier League,2017-2018,21823480134907726
18,Caen,26,38.0,0.0,0.0,0,515,440,82,602,515,372,5,5,4,3930,343,311,52.4,Ligue 1,2017-2018,21277886218272520
19,Cagliari,29,38.0,0.0,0.0,4,580,462,90,446,273,442,5,12,1,3696,767,666,53.5,Serie A,2017-2018,32968728316179674
20,Celta Vigo,23,38.0,85.0,1.0,0,439,548,97,465,306,306,2,3,1,3569,306,289,51.4,La Liga,2017-2018,14218303985450920
21,Chelsea,26,38.0,0.0,0.0,2,364,410,112,530,508,445,3,2,2,3614,734,625,54.0,Premier League,2017-2018,58172670324373785
22,Chievo,25,38.0,0.0,0.0,1,449,458,95,522,303,391,2,7,4,3638,614,641,48.9,Serie A,2017-2018,83748145049842906
23,Crotone,29,38.0,0.0,0.0,1,478,474,85,391,362,409,2,7,0,3929,622,680,47.8,Serie A,2017-2018,33431629624225246
24,Crystal Palace,28,38.0,0.0,0.0,0,425,408,56,439,632,451,9,2,2,3487,886,837,51.4,Premier League,2017-2018,15352059381074619
25,Dijon,26,38.0,0.0,0.0,1,469,477,73,404,474,384,4,12,3,3443,219,289,43.1,Ligue 1,2017-2018,59239312409540653
26,Dortmund,30,34.0,0.0,0.0,1,402,427,85,394,274,395,4,1,0,3383,489,431,53.2,Bundesliga,2017-2018,6921931827204601
27,Eibar,27,38.0,84.0,3.0,2,507,449,83,622,386,330,3,4,3,4408,418,460,47.6,La Liga,2017-2018,67267904110326262
28,Eint Frankfurt,28,34.0,0.0,0.0,0,528,460,85,388,292,414,2,3,2,3698,572,617,48.1,Bundesliga,2017-2018,37929111009288632
29,Espanyol,25,38.0,87.0,1.0,1,530,538,80,459,346,353,3,6,2,3739,320,351,47.7,La Liga,2017-2018,71314269182841176
30,Everton,30,38.0,0.0,0.0,2,454,368,82,395,580,458,8,5,0,3568,962,1012,48.7,Premier League,2017-2018,57482013681231466
31,Fiorentina,27,38.0,0.0,0.0,3,509,444,83,486,334,496,6,3,0,3825,524,625,45.6,Serie A,2017-2018,24325362613855847
32,Freiburg,29,34.0,0.0,0.0,3,446,436,40,313,255,334,8,5,4,3272,664,677,49.5,Bundesliga,2017-2018,17577284562417651
33,Genoa,33,38.0,0.0,0.0,0,528,481,86,464,306,407,5,4,2,3716,572,608,48.5,Serie A,2017-2018,87033800759594150
34,Getafe,32,38.0,130.0,5.0,4,677,503,109,379,343,390,11,3,0,3912,341,405,45.7,La Liga,2017-2018,23789167582387071
35,Girona,25,38.0,102.0,0.0,0,625,500,82,547,340,317,6,5,3,3711,387,364,51.5,La Liga,2017-2018,12545195302828957
36,Guingamp,23,38.0,0.0,0.0,2,480,521,101,498,482,346,6,5,1,3460,268,255,51.2,Ligue 1,2017-2018,16872092436156260
37,Hamburger SV,29,34.0,0.0,0.0,3,489,470,62,436,247,394,3,4,1,3808,671,730,47.9,Bundesliga,2017-2018,42905483414913667
38,Hannover 96,26,34.0,0.0,0.0,0,487,515,57,357,283,365,5,4,0,3580,753,579,56.5,Bundesliga,2017-2018,10121335889457780
39,Hellas Verona,32,38.0,0.0,0.0,4,519,412,84,405,340,446,3,8,2,3422,493,531,48.1,Serie A,2017-2018,45227680351245381
40,Hertha BSC,25,34.0,0.0,0.0,0,487,473,48,339,301,358,5,7,1,3282,604,615,49.5,Bundesliga,2017-2018,59737400018465050
41,Hoffenheim,26,34.0,0.0,0.0,0,538,445,83,390,269,390,5,4,2,3284,378,467,44.7,Bundesliga,2017-2018,29322720181807625
42,Huddersfield,25,38.0,0.0,0.0,2,397,370,69,477,543,462,2,6,1,3718,922,939,49.5,Premier League,2017-2018,70397411865897550
43,Inter,22,38.0,0.0,0.0,0,440,402,97,691,262,443,6,2,3,3424,489,449,52.1,Serie A,2017-2018,53198597771575973
44,Juventus,24,38.0,0.0,0.0,1,424,503,82,484,283,370,5,4,2,3316,422,356,54.2,Serie A,2017-2018,19371054131726661
45,Köln,31,34.0,0.0,0.0,1,472,481,82,381,278,390,2,9,0,3496,587,628,48.3,Bundesliga,2017-2018,39731782814123330
46,La Coruña,32,38.0,99.0,2.0,1,516,443,96,570,321,377,5,5,2,3521,345,384,47.3,La Liga,2017-2018,31828180925314031
47,Las Palmas,36,38.0,88.0,3.0,1,490,677,81,413,324,373,5,3,1,3319,272,308,46.9,La Liga,2017-2018,33189055458748528
48,Lazio,24,38.0,0.0,0.0,3,409,359,98,489,316,437,9,10,2,3728,425,385,52.5,Serie A,2017-2018,90751438076496109
49,Leganés,28,38.0,102.0,5.0,3,596,510,103,476,470,420,2,7,0,3797,397,372,51.6,La Liga,2017-2018,20237473683555152
50,Leicester City,27,38.0,0.0,0.0,4,370,362,95,493,584,434,6,4,2,3640,961,847,53.2,Premier League,2017-2018,18776461863573874
51,Levante,33,38.0,108.0,6.0,3,556,449,71,455,381,345,5,3,3,3219,270,330,45.0,La Liga,2017-2018,1566092639264277
52,Leverkusen,24,34.0,0.0,0.0,1,445,489,61,471,263,371,4,5,0,3554,538,575,48.3,Bundesliga,2017-2018,36794408106212849
53,Lille,25,38.0,0.0,0.0,2,469,438,90,445,445,367,2,7,3,3431,217,177,55.1,Ligue 1,2017-2018,85603837513355486
54,Liverpool,27,38.0,0.0,0.0,0,349,308,74,503,522,449,3,6,0,3748,746,779,48.9,Premier League,2017-2018,41956650829873911
55,Lyon,26,38.0,0.0,0.0,1,473,538,80,429,437,362,6,8,3,3340,252,204,55.3,Ligue 1,2017-2018,87005642993871754
56,M'Gladbach,27,34.0,0.0,0.0,0,394,417,75,303,250,385,5,4,1,3095,491,455,51.9,Bundesliga,2017-2018,81611584009946193
57,Mainz 05,27,34.0,0.0,0.0,2,529,436,68,342,300,413,3,6,1,3470,607,569,51.6,Bundesliga,2017-2018,71158960989778912
58,Málaga,37,38.0,99.0,8.0,5,615,440,92,479,337,384,3,6,0,3699,373,434,46.2,La Liga,2017-2018,79809637287620621
59,Manchester City,25,38.0,0.0,0.0,2,343,359,68,570,472,406,8,2,2,3352,588,482,55.0,Premier League,2017-2018,74026506610392765
60,Manchester Utd,27,38.0,0.0,0.0,0,403,427,91,524,591,372,1,1,2,3416,761,641,54.3,Premier League,2017-2018,29078730489839024
61,Marseille,26,38.0,0.0,0.0,0,486,484,80,613,405,406,8,5,2,3622,275,269,50.6,Ligue 1,2017-2018,66190039714113630
62,Metz,36,38.0,0.0,0.0,2,509,441,57,498,416,401,2,5,2,3580,242,295,45.1,Ligue 1,2017-2018,14635757597311544
63,Milan,23,38.0,0.0,0.0,4,460,491,90,579,263,347,4,3,1,3470,357,405,46.9,Serie A,2017-2018,59378513948613436
64,Monaco,32,38.0,0.0,0.0,1,503,521,76,577,424,373,8,3,1,3472,249,257,49.2,Ligue 1,2017-2018,79093238158793616
65,Montpellier,23,38.0,0.0,0.0,0,433,535,87,578,415,373,2,6,0,3567,248,213,53.8,Ligue 1,2017-2018,32434714471076965
66,Nantes,30,38.0,0.0,0.0,5,460,413,88,587,457,403,4,4,1,3720,255,278,47.8,Ligue 1,2017-2018,25802633648495862
67,Napoli,23,38.0,0.0,0.0,1,348,377,82,472,262,426,7,1,0,3785,322,394,45.0,Serie A,2017-2018,10516137814401134
68,Newcastle Utd,27,38.0,0.0,0.0,1,407,375,64,396,556,410,1,6,3,3597,1020,1126,47.5,Premier League,2017-2018,29528772732587842
69,Nice,31,38.0,0.0,0.0,2,412,532,62,398,414,319,9,5,3,2837,177,157,53.0,Ligue 1,2017-2018,11720969662561653
70,Paris S-G,26,38.0,0.0,0.0,4,413,495,94,563,299,375,7,4,0,2968,171,115,59.8,Ligue 1,2017-2018,11177590892093073
71,RB Leipzig,23,34.0,0.0,0.0,3,446,496,90,364,279,373,4,5,0,3756,573,530,51.9,Bundesliga,2017-2018,68159208261559796
72,Real Madrid,24,38.0,65.0,4.0,2,440,522,119,749,335,391,10,3,2,3047,251,221,53.2,La Liga,2017-2018,29627131003986350
73,Real Sociedad,27,38.0,60.0,5.0,4,427,553,92,570,300,298,5,7,1,3415,280,256,52.2,La Liga,2017-2018,57299950304530590
74,Rennes,28,38.0,0.0,0.0,3,462,533,90,520,434,315,6,6,2,3595,273,257,51.5,Ligue 1,2017-2018,96819424452761337
75,Roma,27,38.0,0.0,0.0,1,371,444,73,624,287,383,4,3,0,3855,554,359,60.7,Serie A,2017-2018,764736481564168
76,Saint-Étienne,30,38.0,0.0,0.0,1,510,494,91,471,380,352,10,6,1,3393,265,245,52.0,Ligue 1,2017-2018,56226069621228236
77,Sampdoria,27,38.0,0.0,0.0,2,407,493,55,464,264,415,6,10,1,3596,447,551,44.8,Serie A,2017-2018,89407679695143145
78,Sassuolo,28,38.0,0.0,0.0,4,472,565,81,490,313,389,6,3,2,3735,553,493,52.9,Serie A,2017-2018,79200252522790650
79,Schalke 04,24,34.0,0.0,0.0,1,543,507,84,343,315,434,9,6,1,3202,500,463,51.9,Bundesliga,2017-2018,24345039935475884
80,Sevilla,31,38.0,97.0,3.0,2,566,505,137,474,317,384,3,5,1,3671,328,306,51.7,La Liga,2017-2018,22702270477938803
81,Southampton,26,38.0,0.0,0.0,1,415,382,77,516,519,481,3,2,0,3518,816,954,46.1,Premier League,2017-2018,21037626007536306
82,SPAL,29,38.0,0.0,0.0,2,455,653,99,413,332,423,5,11,4,3236,512,541,48.6,Serie A,2017-2018,73622612860183040
83,Stoke City,30,38.0,0.0,0.0,0,433,377,87,377,540,433,2,5,2,3374,1156,893,56.4,Premier League,2017-2018,55848606059653975
84,Strasbourg,25,38.0,0.0,0.0,1,496,443,78,490,473,442,6,6,0,3499,288,273,51.3,Ligue 1,2017-2018,92234479374253707
85,Stuttgart,26,34.0,0.0,0.0,2,489,433,72,402,302,388,2,6,0,3345,538,640,45.7,Bundesliga,2017-2018,81761661302668293
86,Swansea City,26,38.0,0.0,0.0,0,378,406,39,420,524,392,1,6,2,3119,803,956,45.7,Premier League,2017-2018,11897392087106032
87,Torino,27,38.0,0.0,0.0,4,537,514,76,418,314,366,2,7,0,3568,581,502,53.6,Serie A,2017-2018,21846272194836439
88,Tottenham,25,38.0,0.0,0.0,1,383,399,89,555,449,421,3,3,1,3844,728,758,49.0,Premier League,2017-2018,22006624071753704
89,Toulouse,25,38.0,0.0,0.0,1,553,504,78,564,430,338,8,5,1,3654,325,285,53.3,Ligue 1,2017-2018,94523000561782573
90,Troyes,25,38.0,0.0,0.0,2,484,397,62,454,446,317,3,4,1,3482,252,344,42.3,Ligue 1,2017-2018,57069542099991496
91,Udinese,27,38.0,0.0,0.0,0,482,403,66,459,283,407,5,6,5,3375,513,559,47.9,Serie A,2017-2018,48393495896639342
92,Valencia,25,38.0,103.0,5.0,4,522,551,84,441,347,388,7,5,0,3330,337,293,53.5,La Liga,2017-2018,65158650443085242
93,Villarreal,32,38.0,113.0,6.0,4,610,468,113,414,305,384,5,5,0,3314,310,328,48.6,La Liga,2017-2018,63335634096533483
94,Watford,29,38.0,0.0,0.0,1,440,389,78,500,590,457,6,6,1,3705,976,1043,48.3,Premier League,2017-2018,73743918793554398
95,Werder Bremen,25,34.0,0.0,0.0,0,534,447,74,413,282,353,0,4,2,3412,608,593,50.6,Bundesliga,2017-2018,59303898890876434
96,West Brom,24,38.0,0.0,0.0,0,440,355,80,472,630,400,0,1,2,3557,932,981,48.7,Premier League,2017-2018,26775906631723373
