Rk,Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,League,Season,TeamID
29,Espanyol,31,38.0,592,15.58,402,71,34,35,41,9,39,1.03,25,4,2,5,3,0,La Liga,2019-2020,71314269182841176
30,Everton,24,38.0,703,18.5,457,82,46,54,43,21,63,1.66,43,4,5,8,2,1,Premier League,2019-2020,57482013681231466
31,Fiorentina,33,38.0,904,23.79,634,82,64,45,65,14,82,2.16,45,7,6,13,8,3,Serie A,2019-2020,24325362613855847
32,Freiburg,26,34.0,671,19.74,449,83,40,37,53,9,72,2.12,36,9,7,5,13,2,Bundesliga,2019-2020,17577284562417651
33,Genoa,34,38.0,679,17.87,476,53,41,41,47,21,74,1.95,45,4,4,7,10,4,Serie A,2019-2020,87033800759594150
34,Getafe,30,38.0,610,16.05,411,73,33,24,59,10,73,1.92,44,6,11,4,7,1,La Liga,2019-2020,23789167582387071
35,Granada,27,38.0,567,14.92,370,75,27,30,48,17,77,2.03,44,7,3,8,9,6,La Liga,2019-2020,45137124328012624
36,Hellas Verona,30,38.0,699,18.39,505,71,39,42,32,10,73,1.92,48,5,5,5,7,3,Serie A,2019-2020,45227680351245381
37,Hertha BSC,32,34.0,564,16.59,390,57,46,29,31,11,77,2.26,49,7,11,6,4,0,Bundesliga,2019-2020,59737400018465050
38,Hoffenheim,31,34.0,709,20.85,481,76,49,43,49,11,81,2.38,53,7,7,10,3,1,Bundesliga,2019-2020,29322720181807625
39,Inter,29,38.0,997,26.24,727,74,64,60,50,22,140,3.68,100,8,7,10,13,2,Serie A,2019-2020,53198597771575973
40,Juventus,30,38.0,1119,29.45,828,81,70,58,62,20,117,3.08,75,7,11,10,11,3,Serie A,2019-2020,19371054131726661
41,Köln,29,34.0,639,18.79,438,73,41,34,41,12,79,2.32,49,7,8,8,7,0,Bundesliga,2019-2020,39731782814123330
42,Lazio,27,38.0,937,24.66,702,65,60,47,46,17,123,3.24,92,2,7,6,13,3,Serie A,2019-2020,90751438076496109
43,Lecce,30,38.0,843,22.18,648,65,35,33,47,15,89,2.34,53,9,5,8,12,2,Serie A,2019-2020,92912790925867566
44,Leganés,29,38.0,613,16.13,418,66,44,32,46,7,49,1.29,34,3,1,3,7,1,La Liga,2019-2020,20237473683555152
45,Leicester City,24,38.0,873,22.97,624,76,64,40,52,17,110,2.89,86,4,7,2,7,4,Premier League,2019-2020,18776461863573874
46,Levante,29,38.0,674,17.74,492,56,42,29,39,16,77,2.03,53,3,6,6,8,1,La Liga,2019-2020,1566092639264277
47,Leverkusen,24,34.0,780,22.94,568,81,55,41,25,10,103,3.03,76,8,9,4,5,1,Bundesliga,2019-2020,36794408106212849
48,Lille,25,28.0,563,20.11,374,59,56,31,31,12,59,2.11,37,5,4,4,5,4,Ligue 1,2019-2020,85603837513355486
49,Liverpool,24,38.0,911,23.97,672,72,73,37,39,18,136,3.58,93,10,14,8,9,2,Premier League,2019-2020,41956650829873911
50,Lyon,27,28.0,568,20.29,414,48,44,27,28,7,67,2.39,47,2,9,4,4,1,Ligue 1,2019-2020,87005642993871754
51,M'Gladbach,25,34.0,758,22.29,540,58,51,37,56,16,113,3.32,83,7,6,5,8,4,Bundesliga,2019-2020,81611584009946193
52,Mainz 05,25,34.0,681,20.03,483,71,60,25,38,4,71,2.09,49,5,8,5,4,0,Bundesliga,2019-2020,71158960989778912
53,Mallorca,32,38.0,659,17.34,458,68,44,26,58,5,63,1.66,39,1,7,5,11,0,La Liga,2019-2020,96459977719332900
54,Manchester City,24,38.0,1229,32.34,939,63,94,62,54,17,168,4.42,116,6,14,12,14,6,Premier League,2019-2020,74026506610392765
55,Manchester Utd,29,38.0,904,23.79,700,53,56,27,57,11,101,2.66,75,4,8,1,11,2,Premier League,2019-2020,29078730489839024
56,Marseille,23,28.0,589,21.04,402,69,32,30,43,13,58,2.07,40,4,4,4,5,1,Ligue 1,2019-2020,66190039714113630
57,Metz,24,28.0,497,17.75,336,42,58,16,30,15,43,1.54,27,5,6,3,0,2,Ligue 1,2019-2020,14635757597311544
58,Milan,32,38.0,1008,26.53,755,67,74,46,47,19,98,2.58,62,5,10,8,12,1,Serie A,2019-2020,59378513948613436
59,Monaco,28,28.0,588,21.0,403,48,58,34,34,11,73,2.61,47,5,8,7,6,0,Ligue 1,2019-2020,79093238158793616
60,Montpellier,27,28.0,518,18.5,351,60,25,29,43,10,51,1.82,36,3,2,4,5,1,Ligue 1,2019-2020,32434714471076965
61,Nantes,29,28.0,516,18.43,357,53,41,20,31,14,32,1.14,22,2,4,2,2,0,Ligue 1,2019-2020,25802633648495862
62,Napoli,25,38.0,1109,29.18,865,73,69,51,35,16,100,2.63,69,9,4,10,7,1,Serie A,2019-2020,10516137814401134
63,Newcastle Utd,28,38.0,596,15.68,417,60,45,30,31,13,61,1.61,40,6,3,6,3,3,Premier League,2019-2020,29528772732587842
64,Nice,31,28.0,531,18.96,359,46,46,30,39,11,63,2.25,43,5,2,6,6,1,Ligue 1,2019-2020,11720969662561653
65,Nîmes,28,28.0,503,17.96,342,55,37,25,29,15,44,1.57,29,4,3,4,3,1,Ligue 1,2019-2020,83514802313158576
66,Norwich City,30,38.0,651,17.13,467,50,48,37,33,16,38,1.0,27,2,3,2,1,3,Premier League,2019-2020,42809968147687487
67,Osasuna,31,38.0,700,18.42,504,84,31,33,34,14,68,1.79,46,7,2,5,5,3,La Liga,2019-2020,83352675823776457
68,Paderborn 07,27,34.0,647,19.03,441,62,55,34,37,18,57,1.68,37,3,5,9,2,1,Bundesliga,2019-2020,13210847894253626
69,Paris S-G,31,27.0,729,27.0,554,41,61,29,32,12,120,4.44,89,6,11,8,6,0,Ligue 1,2019-2020,11177590892093073
70,Parma,25,38.0,712,18.74,514,66,51,27,38,16,92,2.42,61,7,9,5,5,5,Serie A,2019-2020,62695319081093388
71,RB Leipzig,29,34.0,895,26.32,674,66,57,47,37,14,134,3.94,91,9,16,9,7,2,Bundesliga,2019-2020,68159208261559796
72,Real Madrid,26,38.0,917,24.13,708,63,56,34,40,16,120,3.16,87,6,5,4,17,1,La Liga,2019-2020,29627131003986350
73,Real Sociedad,27,38.0,684,18.0,512,58,36,26,38,14,88,2.32,62,5,5,7,3,6,La Liga,2019-2020,57299950304530590
74,Reims,26,28.0,502,17.93,365,51,29,15,29,13,41,1.46,24,6,3,1,6,1,Ligue 1,2019-2020,67732085073987538
75,Rennes,26,28.0,536,19.14,374,37,50,21,41,13,59,2.11,43,3,5,4,4,0,Ligue 1,2019-2020,96819424452761337
76,Roma,31,38.0,1037,27.29,742,90,77,53,57,18,122,3.21,85,7,7,8,12,3,Serie A,2019-2020,764736481564168
77,Saint-Étienne,31,28.0,469,16.75,311,52,41,18,31,16,50,1.79,29,8,2,5,5,1,Ligue 1,2019-2020,56226069621228236
78,Sampdoria,31,38.0,851,22.39,610,75,40,48,61,17,75,1.97,49,4,2,6,12,2,Serie A,2019-2020,89407679695143145
79,Sassuolo,31,38.0,893,23.5,663,49,73,40,49,19,110,2.89,78,0,14,9,9,0,Serie A,2019-2020,79200252522790650
80,Schalke 04,29,34.0,588,17.29,397,67,42,34,37,11,57,1.68,42,5,4,1,4,1,Bundesliga,2019-2020,24345039935475884
81,Sevilla,26,38.0,740,19.47,536,71,49,34,40,10,85,2.24,56,7,8,5,8,1,La Liga,2019-2020,22702270477938803
82,Sheffield Utd,26,38.0,549,14.45,402,61,34,27,17,8,55,1.45,42,2,5,5,1,0,Premier League,2019-2020,93216768512646707
83,Southampton,25,38.0,745,19.61,496,67,62,39,53,28,71,1.87,38,4,10,8,8,3,Premier League,2019-2020,21037626007536306
84,SPAL,34,38.0,712,18.74,496,82,48,29,48,9,41,1.08,22,3,5,4,5,2,Serie A,2019-2020,73622612860183040
85,Strasbourg,25,27.0,505,18.7,378,44,30,17,26,10,52,1.93,38,4,3,1,5,1,Ligue 1,2019-2020,92234479374253707
86,Torino,27,38.0,695,18.29,462,78,50,36,47,22,70,1.84,37,8,8,12,4,1,Serie A,2019-2020,21846272194836439
87,Tottenham,29,38.0,706,18.58,528,42,54,31,35,16,84,2.21,53,3,12,12,3,1,Premier League,2019-2020,22006624071753704
88,Toulouse,30,28.0,481,17.18,342,47,31,18,27,16,36,1.29,27,2,1,1,4,1,Ligue 1,2019-2020,94523000561782573
89,Udinese,25,38.0,766,20.16,592,62,45,25,21,21,60,1.58,43,4,6,4,1,2,Serie A,2019-2020,48393495896639342
90,Union Berlin,26,34.0,540,15.88,363,67,35,36,29,10,59,1.74,33,8,3,8,6,1,Bundesliga,2019-2020,71630543971501382
91,Valencia,28,38.0,548,14.42,397,52,31,14,43,11,77,2.03,55,4,9,1,8,0,La Liga,2019-2020,65158650443085242
92,Valladolid,30,38.0,584,15.37,407,44,44,24,53,12,53,1.39,33,2,3,6,7,2,La Liga,2019-2020,44089518275887893
93,Villarreal,25,38.0,783,20.61,590,56,48,36,39,14,106,2.79,70,2,9,11,13,1,La Liga,2019-2020,63335634096533483
94,Watford,26,38.0,642,16.89,445,54,42,35,42,24,53,1.39,30,4,2,4,8,5,Premier League,2019-2020,73743918793554398
95,Werder Bremen,30,34.0,667,19.62,467,61,42,42,32,23,69,2.03,41,4,4,11,5,4,Bundesliga,2019-2020,59303898890876434
96,West Ham,29,38.0,661,17.39,471,73,40,28,41,8,82,2.16,54,7,6,6,9,0,Premier League,2019-2020,57680956417459581
97,Wolfsburg,26,34.0,709,20.85,482,82,50,45,40,10,76,2.24,48,5,8,7,8,0,Bundesliga,2019-2020,85159484018358879
98,Wolves,21,38.0,703,18.5,476,62,70,32,42,21,83,2.18,47,7,8,8,8,5,Premier League,2019-2020,24001928852251903
1,Alavés,26,38.0,590,15.53,375,77,40,36,47,15,59,1.55,36,7,3,7,5,1,La Liga,2018-2019,37745278530914180
2,Amiens,26,38.0,607,15.97,442,54,31,22,44,14,52,1.37,38,3,4,2,3,2,Ligue 1,2018-2019,20069478421376018
3,Angers,24,38.0,726,19.11,481,77,47,42,65,14,65,1.71,45,4,4,6,6,0,Ligue 1,2018-2019,66587352409382849
4,Arsenal,28,38.0,769,20.24,607,49,44,30,23,16,116,3.05,92,6,4,5,7,2,Premier League,2018-2019,5838645288327307
5,Atalanta,27,38.0,1041,27.39,768,87,80,58,27,21,132,3.47,98,9,11,9,3,2,Serie A,2018-2019,87465877057901989
6,Athletic Club,27,38.0,575,15.13,400,62,35,33,32,13,61,1.61,40,3,3,7,6,2,La Liga,2018-2019,4823083458145023
7,Atlético Madrid,29,38.0,709,18.66,513,67,40,32,47,10,83,2.18,58,3,5,11,5,1,La Liga,2018-2019,74713976168286555
8,Augsburg,30,34.0,662,19.47,461,72,30,46,35,18,67,1.97,51,4,0,7,5,0,Bundesliga,2018-2019,82828683183786310
9,Barcelona,30,38.0,947,24.92,707,38,80,38,72,12,155,4.08,112,5,12,9,15,2,La Liga,2018-2019,81744823723090567
10,Bayern Munich,24,34.0,983,28.91,705,85,69,60,52,12,136,4.0,98,8,9,15,4,2,Bundesliga,2018-2019,7510926916741648
11,Betis,25,38.0,721,18.97,537,45,44,22,64,9,78,2.05,60,0,6,5,7,0,La Liga,2018-2019,9423348454032625
12,Bologna,29,38.0,753,19.82,532,78,36,50,44,13,77,2.03,54,10,2,4,5,2,Serie A,2018-2019,23275147453355121
13,Bordeaux,33,38.0,701,18.45,512,54,48,26,44,17,56,1.47,40,1,8,4,2,1,Ligue 1,2018-2019,12683680850395737
14,Bournemouth,28,38.0,659,17.34,475,65,39,28,43,9,96,2.53,63,7,8,6,10,2,Premier League,2018-2019,36088947257895306
15,Brighton,21,38.0,582,15.32,392,75,33,33,38,11,54,1.42,28,8,2,8,7,1,Premier League,2018-2019,49072214318111932
16,Burnley,23,38.0,518,13.63,343,76,14,39,36,10,62,1.63,40,8,1,10,2,1,Premier League,2018-2019,21823480134907726
17,Caen,27,38.0,468,12.32,305,60,23,26,40,14,44,1.16,27,3,3,4,7,0,Ligue 1,2018-2019,21277886218272520
18,Cagliari,30,38.0,642,16.89,454,80,22,41,30,15,53,1.39,34,7,4,4,4,0,Serie A,2018-2019,32968728316179674
19,Cardiff City,25,38.0,570,15.0,374,78,32,40,38,8,51,1.34,35,4,3,7,2,0,Premier League,2018-2019,69924771535350567
20,Celta Vigo,28,38.0,736,19.37,534,49,56,38,49,10,89,2.34,64,4,5,6,10,0,La Liga,2018-2019,14218303985450920
21,Chelsea,24,38.0,1003,26.39,791,58,53,37,51,13,111,2.92,79,7,11,6,7,1,Premier League,2018-2019,58172670324373785
22,Chievo,36,38.0,597,15.71,439,57,31,31,32,7,36,0.95,24,2,1,5,3,1,Serie A,2018-2019,83748145049842906
23,Crystal Palace,26,38.0,762,20.05,533,65,64,46,42,12,83,2.18,48,6,7,8,12,2,Premier League,2018-2019,15352059381074619
24,Dijon,26,38.0,687,18.08,465,71,51,42,43,15,48,1.26,33,3,3,7,1,1,Ligue 1,2018-2019,59239312409540653
25,Dortmund,23,34.0,730,21.47,535,63,35,39,45,13,147,4.32,106,6,10,11,11,3,Bundesliga,2018-2019,6921931827204601
26,Düsseldorf,24,34.0,649,19.09,458,69,33,35,37,17,79,2.32,55,4,9,4,4,3,Bundesliga,2018-2019,6414184432322702
27,Eibar,25,38.0,774,20.37,526,97,54,28,52,17,70,1.84,48,6,3,6,6,1,La Liga,2018-2019,67267904110326262
28,Eint Frankfurt,30,34.0,604,17.76,407,75,43,30,35,14,94,2.76,67,5,6,10,3,3,Bundesliga,2018-2019,37929111009288632
29,Empoli,29,38.0,696,18.32,518,51,45,38,28,16,78,2.05,56,4,7,6,4,1,Serie A,2018-2019,77726683749984272
30,Espanyol,25,38.0,733,19.29,529,48,45,54,42,15,66,1.74,45,2,1,11,5,2,La Liga,2018-2019,71314269182841176
31,Everton,23,38.0,732,19.26,477,80,55,52,51,17,81,2.13,53,4,11,10,2,1,Premier League,2018-2019,57482013681231466
32,Fiorentina,27,38.0,887,23.34,651,77,54,45,38,22,66,1.74,38,2,13,4,7,2,Serie A,2018-2019,24325362613855847
33,Freiburg,28,34.0,622,18.29,449,54,34,35,40,10,67,1.97,41,5,2,10,9,0,Bundesliga,2018-2019,17577284562417651
34,Frosinone,33,38.0,662,17.42,472,75,31,30,43,11,46,1.21,29,5,3,5,4,0,Serie A,2018-2019,87953309350363757
35,Fulham,28,38.0,710,18.68,535,57,49,38,21,10,58,1.53,40,3,7,5,3,0,Premier League,2018-2019,19227944656237519
36,Genoa,31,38.0,787,20.71,532,90,44,48,51,22,52,1.37,34,5,3,4,3,3,Serie A,2018-2019,87033800759594150
37,Getafe,26,38.0,586,15.42,367,85,41,26,51,16,72,1.89,46,6,7,4,9,0,La Liga,2018-2019,23789167582387071
38,Girona,26,38.0,607,15.97,399,74,41,35,55,3,64,1.68,42,5,2,7,7,1,La Liga,2018-2019,12545195302828957
39,Guingamp,30,38.0,647,17.03,446,72,41,31,43,14,47,1.24,28,7,2,4,6,0,Ligue 1,2018-2019,16872092436156260
40,Hannover 96,32,34.0,568,16.71,400,59,36,22,35,16,45,1.32,36,2,1,1,4,1,Bundesliga,2018-2019,10121335889457780
41,Hertha BSC,26,34.0,622,18.29,431,64,46,38,32,11,78,2.29,51,4,8,8,6,1,Bundesliga,2018-2019,59737400018465050
42,Hoffenheim,29,34.0,940,27.65,672,79,69,54,47,19,111,3.26,75,6,7,11,10,2,Bundesliga,2018-2019,29322720181807625
43,Huddersfield,31,38.0,588,15.47,418,68,20,29,33,20,31,0.82,21,5,0,2,2,1,Premier League,2018-2019,70397411865897550
44,Huesca,30,38.0,702,18.47,467,80,47,48,40,20,63,1.66,34,7,4,9,8,1,La Liga,2018-2019,16593090704373522
45,Inter,23,38.0,978,25.74,768,77,36,48,33,16,91,2.39,65,3,6,8,6,3,Serie A,2018-2019,53198597771575973
46,Juventus,31,38.0,969,25.5,712,80,46,57,53,21,99,2.61,64,5,1,16,8,5,Serie A,2018-2019,19371054131726661
47,Lazio,30,38.0,989,26.03,758,74,52,51,35,19,86,2.26,60,4,6,9,4,3,Serie A,2018-2019,90751438076496109
48,Leganés,29,38.0,610,16.05,432,70,32,25,38,13,54,1.42,38,6,3,5,2,0,La Liga,2018-2019,20237473683555152
49,Leicester City,25,38.0,769,20.24,536,75,50,43,42,23,80,2.11,54,2,7,6,9,2,Premier League,2018-2019,18776461863573874
50,Levante,26,38.0,637,16.76,435,51,58,25,55,13,89,2.34,55,11,9,5,9,0,La Liga,2018-2019,1566092639264277
51,Leverkusen,21,34.0,787,23.15,609,52,39,42,31,14,116,3.41,92,6,2,9,6,1,Bundesliga,2018-2019,36794408106212849
52,Lille,25,38.0,827,21.76,584,70,63,29,59,22,122,3.21,77,8,15,5,13,4,Ligue 1,2018-2019,85603837513355486
53,Liverpool,23,38.0,908,23.89,670,70,69,44,39,16,140,3.68,98,9,11,9,10,3,Premier League,2018-2019,41956650829873911
54,Lyon,25,38.0,1118,29.42,804,81,70,68,76,19,127,3.34,98,1,9,10,8,1,Ligue 1,2018-2019,87005642993871754
55,M'Gladbach,22,34.0,714,21.0,531,58,38,46,34,7,94,2.76,70,5,7,6,6,0,Bundesliga,2018-2019,81611584009946193
56,Mainz 05,28,34.0,736,21.65,547,56,51,35,35,12,71,2.09,49,2,12,2,3,3,Bundesliga,2018-2019,71158960989778912
57,Manchester City,21,38.0,1077,28.34,825,66,76,55,42,13,159,4.18,126,5,12,4,9,3,Premier League,2018-2019,74026506610392765
58,Manchester Utd,28,38.0,847,22.29,634,54,54,40,51,14,110,2.89,76,3,11,9,10,1,Premier League,2018-2019,29078730489839024
59,Marseille,24,38.0,817,21.5,569,105,39,46,45,13,99,2.61,68,8,6,15,2,0,Ligue 1,2018-2019,66190039714113630
60,Milan,23,38.0,976,25.68,747,60,70,37,38,24,84,2.21,61,3,6,7,5,2,Serie A,2018-2019,59378513948613436
61,Monaco,42,38.0,743,19.55,511,68,54,49,39,22,59,1.55,37,3,5,6,6,2,Ligue 1,2018-2019,79093238158793616
62,Montpellier,25,38.0,798,21.0,581,79,44,27,53,14,69,1.82,44,6,2,8,6,3,Ligue 1,2018-2019,32434714471076965
63,Nantes,33,38.0,828,21.79,561,100,37,47,66,17,71,1.87,49,3,4,8,7,0,Ligue 1,2018-2019,25802633648495862
64,Napoli,26,38.0,1170,30.79,951,54,58,52,29,26,126,3.32,90,5,10,13,4,4,Serie A,2018-2019,10516137814401134
65,Newcastle Utd,24,38.0,631,16.61,456,61,38,27,31,18,60,1.58,43,5,0,8,2,2,Premier League,2018-2019,29528772732587842
66,Nice,30,38.0,752,19.79,489,74,75,39,57,18,46,1.21,31,2,2,3,7,1,Ligue 1,2018-2019,11720969662561653
67,Nîmes,23,38.0,799,21.03,521,93,72,41,48,24,86,2.26,47,11,10,7,9,2,Ligue 1,2018-2019,83514802313158576
68,Nürnberg,27,34.0,506,14.88,342,59,22,31,41,11,38,1.12,23,4,0,8,3,0,Bundesliga,2018-2019,10689243141507842
69,Paris S-G,30,38.0,940,24.74,687,67,74,40,49,23,169,4.45,121,6,14,12,11,5,Ligue 1,2018-2019,11177590892093073
70,Parma,31,38.0,521,13.71,329,55,54,32,32,19,57,1.5,26,5,11,7,7,1,Serie A,2018-2019,62695319081093388
71,Rayo Vallecano,29,38.0,716,18.84,491,74,48,40,42,21,62,1.63,44,3,1,7,7,0,La Liga,2018-2019,75203699329351977
72,RB Leipzig,23,34.0,804,23.65,593,68,50,37,35,21,106,3.12,71,2,15,8,4,6,Bundesliga,2018-2019,68159208261559796
73,Real Madrid,27,38.0,975,25.66,727,71,65,49,46,17,103,2.71,66,6,7,12,10,2,La Liga,2018-2019,29627131003986350
74,Real Sociedad,30,38.0,660,17.37,464,61,44,36,41,14,71,1.87,44,5,3,7,10,2,La Liga,2018-2019,57299950304530590
75,Reims,27,38.0,615,16.18,423,62,56,35,31,8,62,1.63,41,3,9,2,4,3,Ligue 1,2018-2019,67732085073987538
76,Rennes,28,38.0,759,19.97,511,59,63,35,74,17,86,2.26,51,8,8,8,9,2,Ligue 1,2018-2019,96819424452761337
77,Roma,26,38.0,983,25.87,692,103,69,57,43,19,103,2.71,71,5,11,5,10,1,Serie A,2018-2019,764736481564168
78,Saint-Étienne,29,38.0,744,19.58,510,74,49,53,41,17,87,2.29,54,11,3,8,9,2,Ligue 1,2018-2019,56226069621228236
79,Sampdoria,24,38.0,720,18.95,551,47,32,32,41,17,99,2.61,75,3,7,6,8,0,Serie A,2018-2019,89407679695143145
80,Sassuolo,29,38.0,779,20.5,590,51,45,39,37,17,82,2.16,52,6,5,11,7,1,Serie A,2018-2019,79200252522790650
81,Schalke 04,32,34.0,630,18.53,397,89,34,38,56,16,59,1.74,32,4,6,7,7,3,Bundesliga,2018-2019,24345039935475884
82,Sevilla,27,38.0,812,21.37,622,57,51,30,35,17,106,2.79,80,4,8,8,5,1,La Liga,2018-2019,22702270477938803
83,Southampton,30,38.0,720,18.95,499,62,47,49,44,19,67,1.76,49,0,4,5,7,2,Premier League,2018-2019,21037626007536306
84,SPAL,28,38.0,710,18.68,517,74,31,27,46,15,74,1.95,47,11,2,5,9,0,Serie A,2018-2019,73622612860183040
85,Strasbourg,26,38.0,643,16.92,462,69,43,26,30,13,94,2.47,66,7,5,6,6,4,Ligue 1,2018-2019,92234479374253707
86,Stuttgart,26,34.0,624,18.35,448,65,39,27,32,13,49,1.44,36,4,4,4,1,0,Bundesliga,2018-2019,81761661302668293
87,Torino,25,38.0,807,21.24,562,77,54,46,48,20,70,1.84,43,7,5,5,6,4,Serie A,2018-2019,21846272194836439
88,Tottenham,28,38.0,847,22.29,599,71,65,46,43,23,102,2.68,68,7,8,10,8,1,Premier League,2018-2019,22006624071753704
89,Toulouse,29,38.0,643,16.92,410,77,52,40,47,17,53,1.39,27,6,5,8,7,0,Ligue 1,2018-2019,94523000561782573
90,Udinese,31,38.0,729,19.18,526,58,58,30,38,19,68,1.79,45,7,3,5,7,1,Serie A,2018-2019,48393495896639342
91,Valencia,25,38.0,763,20.08,564,67,43,35,43,11,85,2.24,61,6,5,5,7,1,La Liga,2018-2019,65158650443085242
92,Valladolid,28,38.0,641,16.87,450,62,42,25,49,13,47,1.24,30,4,3,2,8,0,La Liga,2018-2019,44089518275887893
93,Villarreal,26,38.0,756,19.89,545,63,58,43,26,21,75,1.97,45,7,7,10,4,2,La Liga,2018-2019,63335634096533483
94,Watford,25,38.0,646,17.0,466,51,41,30,39,19,82,2.16,53,8,11,4,3,3,Premier League,2018-2019,73743918793554398
95,Werder Bremen,24,34.0,708,20.82,544,48,41,34,26,15,91,2.68,63,2,9,8,7,2,Bundesliga,2018-2019,59303898890876434
96,West Ham,26,38.0,687,18.08,480,76,30,47,36,18,79,2.08,55,5,3,9,7,0,Premier League,2018-2019,57680956417459581
97,Wolfsburg,25,34.0,631,18.56,457,66,31,28,40,9,98,2.88,61,10,7,12,6,2,Bundesliga,2018-2019,85159484018358879
98,Wolves,21,38.0,698,18.37,509,61,42,37,33,16,80,2.11,58,6,2,6,8,0,Premier League,2018-2019,24001928852251903
1,Alavés,30,38.0,592,15.58,409,55,38,22,57,11,66,1.74,49,3,3,5,6,0,La Liga,2017-2018,37745278530914180
2,Amiens,30,38.0,544,14.32,375,62,31,26,40,10,62,1.63,39,3,6,5,6,3,Ligue 1,2017-2018,20069478421376018
3,Angers,27,38.0,734,19.32,497,75,52,43,48,19,70,1.84,43,8,3,8,7,1,Ligue 1,2017-2018,66587352409382849
4,Arsenal,30,38.0,937,24.66,733,46,54,45,49,10,119,3.13,89,7,5,11,7,0,Premier League,2017-2018,5838645288327307
5,Atalanta,25,38.0,929,24.45,663,82,67,65,37,15,95,2.5,64,5,10,8,7,1,Serie A,2017-2018,87465877057901989
6,Athletic Club,26,38.0,674,17.74,451,92,30,40,51,10,68,1.79,48,5,1,6,7,1,La Liga,2017-2018,4823083458145023
7,Atlético Madrid,26,38.0,636,16.74,437,71,38,27,51,12,98,2.58,72,2,9,6,7,2,La Liga,2017-2018,74713976168286555
8,Augsburg,27,34.0,654,19.24,450,79,31,42,37,15,70,2.06,46,6,1,10,6,1,Bundesliga,2017-2018,82828683183786310
9,Barcelona,25,38.0,974,25.63,705,48,74,53,74,20,172,4.53,123,6,13,16,11,3,La Liga,2017-2018,81744823723090567
10,Bayern Munich,28,34.0,976,28.71,755,78,42,45,48,8,158,4.65,128,7,8,7,7,1,Bundesliga,2017-2018,7510926916741648
11,Benevento,41,38.0,713,18.76,506,65,53,37,37,15,54,1.42,34,6,2,7,4,1,Serie A,2017-2018,38159059008947812
12,Betis,29,38.0,673,17.71,508,38,46,23,37,21,97,2.55,73,4,3,8,6,3,La Liga,2017-2018,9423348454032625
13,Bologna,30,38.0,549,14.45,393,34,35,27,50,10,54,1.42,30,4,4,9,7,0,Serie A,2017-2018,23275147453355121
14,Bordeaux,31,38.0,784,20.63,583,49,49,38,43,22,87,2.29,63,5,7,5,5,2,Ligue 1,2017-2018,12683680850395737
15,Bournemouth,22,38.0,709,18.66,515,72,41,32,34,15,74,1.95,46,9,5,6,6,2,Premier League,2017-2018,36088947257895306
16,Brighton,24,38.0,569,14.97,407,69,29,28,27,9,57,1.5,40,3,4,4,6,0,Premier League,2017-2018,49072214318111932
17,Burnley,24,38.0,575,15.13,364,86,34,41,41,9,55,1.45,35,4,3,12,1,0,Premier League,2017-2018,21823480134907726
18,Caen,26,38.0,712,18.74,490,96,25,41,44,16,48,1.26,33,4,3,3,4,1,Ligue 1,2017-2018,21277886218272520
19,Cagliari,29,38.0,562,14.79,399,68,22,33,30,10,49,1.29,32,5,2,5,3,2,Serie A,2017-2018,32968728316179674
20,Celta Vigo,23,38.0,742,19.53,550,48,36,39,51,18,106,2.79,71,6,7,10,9,3,La Liga,2017-2018,14218303985450920
21,Chelsea,26,38.0,1006,26.47,764,77,59,41,44,21,92,2.42,73,6,3,3,7,0,Premier League,2017-2018,58172670324373785
22,Chievo,25,38.0,596,15.68,454,51,34,18,29,10,60,1.58,42,7,2,4,3,2,Serie A,2017-2018,83748145049842906
23,Crotone,29,38.0,554,14.58,384,63,22,30,40,15,64,1.68,46,3,0,9,5,1,Serie A,2017-2018,33431629624225246
24,Crystal Palace,28,38.0,719,18.92,478,74,56,41,52,18,76,2.0,49,3,5,9,9,1,Premier League,2017-2018,15352059381074619
25,Dijon,26,38.0,721,18.97,507,65,44,33,54,18,86,2.26,54,6,6,9,7,4,Ligue 1,2017-2018,59239312409540653
26,Dortmund,30,34.0,722,21.24,556,46,42,43,24,11,88,2.59,62,1,9,13,2,1,Bundesliga,2017-2018,6921931827204601
27,Eibar,27,38.0,717,18.87,485,94,28,34,58,18,71,1.87,47,8,1,9,4,2,La Liga,2017-2018,67267904110326262
28,Eint Frankfurt,28,34.0,582,17.12,414,70,24,28,31,15,74,2.18,56,8,1,4,4,1,Bundesliga,2017-2018,37929111009288632
29,Espanyol,25,38.0,630,16.58,447,58,32,32,39,22,63,1.66,42,3,5,3,7,3,La Liga,2017-2018,71314269182841176
30,Everton,30,38.0,559,14.71,393,58,26,30,36,16,68,1.79,42,2,4,9,7,4,Premier League,2017-2018,57482013681231466
31,Fiorentina,27,38.0,965,25.39,725,77,52,47,37,27,92,2.42,65,4,7,6,8,2,Serie A,2017-2018,24325362613855847
32,Freiburg,29,34.0,569,16.74,382,70,27,31,50,9,53,1.56,27,9,6,3,7,1,Bundesliga,2017-2018,17577284562417651
33,Genoa,33,38.0,671,17.66,513,51,36,38,24,9,47,1.24,35,3,1,3,4,1,Serie A,2017-2018,87033800759594150
34,Getafe,32,38.0,554,14.58,343,78,38,27,48,20,64,1.68,34,8,7,5,8,2,La Liga,2017-2018,23789167582387071
