Rk,Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,League,Season,TeamID
69,Osasuna,26,12.0,188,15.67,139,19,7,10,8,5,20,1.67,12,2,0,4,1,1,La Liga,2021-2022,83352675823776457
70,Paris S-G,27,12.0,270,22.5,209,14,18,9,12,8,39,3.25,30,1,2,4,1,1,Ligue 1,2021-2022,11177590892093073
71,Rayo Vallecano,25,12.0,191,17.36,127,23,10,7,15,9,32,2.91,20,2,3,1,4,2,La Liga,2021-2022,75203699329351977
72,RB Leipzig,23,10.0,235,23.5,163,27,11,15,15,4,36,3.6,22,4,1,2,6,1,Bundesliga,2021-2022,68159208261559796
73,Real Madrid,25,11.0,301,27.36,228,13,24,15,12,9,47,4.27,40,0,3,3,1,0,La Liga,2021-2022,29627131003986350
74,Real Sociedad,27,12.0,209,17.42,140,17,16,15,15,6,24,2.0,12,1,2,5,4,0,La Liga,2021-2022,57299950304530590
75,Reims,25,12.0,216,18.0,147,20,20,10,12,7,24,2.0,11,3,3,2,4,1,Ligue 1,2021-2022,67732085073987538
76,Rennes,26,12.0,267,22.25,187,34,10,17,9,10,29,2.42,23,2,2,1,0,1,Ligue 1,2021-2022,96819424452761337
77,Roma,24,11.0,300,27.27,196,34,21,30,14,5,30,2.73,18,3,2,4,3,0,Serie A,2021-2022,764736481564168
78,Saint-Étienne,28,12.0,227,18.92,154,27,16,11,13,6,16,1.33,9,2,0,1,3,1,Ligue 1,2021-2022,56226069621228236
79,Salernitana,25,11.0,184,16.73,134,21,6,13,7,3,13,1.18,7,1,2,2,1,0,Serie A,2021-2022,63444195793016658
80,Sampdoria,22,11.0,193,17.55,141,23,6,9,11,3,20,1.82,15,2,2,0,1,0,Serie A,2021-2022,89407679695143145
81,Sassuolo,22,11.0,232,21.09,174,15,19,8,10,6,24,2.18,20,0,3,0,1,0,Serie A,2021-2022,79200252522790650
82,Sevilla,26,11.0,243,22.09,195,24,6,6,7,5,32,2.91,21,4,1,3,3,0,La Liga,2021-2022,22702270477938803
83,Southampton,21,10.0,197,19.7,151,10,8,11,11,6,14,1.4,9,1,0,1,2,1,Premier League,2021-2022,21037626007536306
84,Spezia,26,11.0,207,18.82,156,10,17,13,8,3,17,1.55,12,0,2,3,0,0,Serie A,2021-2022,41730244034743257
85,Strasbourg,23,12.0,167,13.92,117,19,8,11,8,4,32,2.67,23,1,3,4,1,0,Ligue 1,2021-2022,92234479374253707
86,Stuttgart,28,10.0,218,21.8,146,23,19,12,11,7,27,2.7,15,3,2,5,1,1,Bundesliga,2021-2022,81761661302668293
87,Torino,26,11.0,240,21.82,176,22,15,15,10,2,28,2.55,21,1,3,2,1,0,Serie A,2021-2022,21846272194836439
88,Tottenham,21,10.0,163,16.3,118,13,6,10,13,3,16,1.6,14,0,0,0,2,0,Premier League,2021-2022,22006624071753704
89,Troyes,28,12.0,183,15.25,121,18,18,14,6,6,17,1.42,11,3,1,2,0,0,Ligue 1,2021-2022,57069542099991496
90,Udinese,21,11.0,202,18.36,140,17,15,22,5,3,19,1.73,12,1,1,4,1,0,Serie A,2021-2022,48393495896639342
