Rk,Squad,# Pl,90s,Goals GA,Goals PKA,Goals FK,Goals CK,Goals OG,Expected PSxG,Expected PSxG/SoT,Expected PSxG+/-,Expected /90,Launched Cmp,Launched Att,Launched Cmp%,Passes Att,Passes Thr,Passes Launch%,Passes AvgLen,Goal Kicks Att,Goal Kicks Launch%,Goal Kicks AvgLen,Crosses Opp,Crosses Stp,Crosses Stp%,Sweeper #OPA,Sweeper #OPA/90,Sweeper AvgDist,League,Season,TeamID
28,Elche,1,12.0,15,0,0,1,0,14.0,0.26,-1.0,-0.08,79,218,36.2,288,62,52.1,41.7,119,57.1,44.2,121,7,5.8,10,0.83,15.5,La Liga,2021-2022,30674441257210497
29,Empoli,1,11.0,21,1,0,2,3,17.2,0.3,-0.8,-0.07,40,112,35.7,258,57,29.5,31.7,95,37.9,37.2,118,9,7.6,8,0.73,13.6,Serie A,2021-2022,77726683749984272
30,Espanyol,1,12.0,13,0,0,0,1,12.6,0.24,0.6,0.05,60,167,35.9,281,57,41.6,37.7,116,43.1,37.4,140,11,7.9,11,0.92,14.9,La Liga,2021-2022,71314269182841176
31,Everton,2,10.0,16,0,0,3,1,11.7,0.31,-1.3,-0.15,59,192,30.7,190,33,67.4,50.7,84,76.2,62.3,87,7,8.0,4,0.44,13.4,Premier League,2021-2022,57482013681231466
32,Fiorentina,2,11.0,13,2,0,1,0,13.2,0.33,0.2,0.02,90,177,50.8,492,45,31.9,33.3,55,36.4,38.1,63,7,11.1,17,1.55,17.0,Serie A,2021-2022,24325362613855847
33,Freiburg,1,10.0,7,1,0,0,1,10.3,0.26,4.3,0.43,91,230,39.6,341,43,48.7,43.8,84,76.2,63.8,86,6,7.0,8,0.8,15.3,Bundesliga,2021-2022,17577284562417651
34,Genoa,1,11.0,22,3,0,3,1,19.1,0.32,-1.9,-0.17,76,175,43.4,292,35,51.7,40.7,56,42.9,35.6,89,7,7.9,3,0.27,12.8,Serie A,2021-2022,87033800759594150
35,Getafe,1,12.0,18,2,0,4,0,16.2,0.33,-1.8,-0.15,115,254,45.3,260,31,69.6,49.5,90,81.1,56.8,104,12,11.5,9,0.75,14.2,La Liga,2021-2022,23789167582387071
36,Granada,2,11.0,14,2,0,1,0,16.4,0.27,2.4,0.24,81,222,36.5,254,49,57.9,44.2,98,76.5,53.2,119,6,5.0,17,1.7,16.2,La Liga,2021-2022,45137124328012624
37,Greuther Fürth,2,10.0,27,3,0,5,3,21.3,0.37,-2.7,-0.27,83,222,37.4,308,37,53.9,44.9,81,69.1,53.6,86,5,5.8,15,1.5,17.4,Bundesliga,2021-2022,11035944553035865
