Rk,Squad,# Pl,90s,Goals GA,Goals PKA,Goals FK,Goals CK,Goals OG,Expected PSxG,Expected PSxG/SoT,Expected PSxG+/-,Expected /90,Launched Cmp,Launched Att,Launched Cmp%,Passes Att,Passes Thr,Passes Launch%,Passes AvgLen,Goal Kicks Att,Goal Kicks Launch%,Goal Kicks AvgLen,Crosses Opp,Crosses Stp,Crosses Stp%,Sweeper #OPA,Sweeper #OPA/90,Sweeper AvgDist,League,Season,TeamID
13,Betis,2,38.0,50,8,1,7,3,48.6,0.33,1.6,0.04,238,659,36.1,968,161,52.5,43.0,246,61.4,48.5,331,20,6.0,22,0.58,14.5,La Liga,2020-2021,9423348454032625
14,Bologna,3,38.0,65,7,2,9,2,62.0,0.31,-1.0,-0.03,165,414,39.9,1098,204,30.5,32.0,293,27.0,25.4,312,26,8.3,25,0.66,13.7,Serie A,2020-2021,23275147453355121
15,Bordeaux,1,38.0,57,7,2,6,1,46.6,0.27,-8.4,-0.22,318,690,46.1,1035,144,47.3,39.2,291,68.7,50.5,324,18,5.6,21,0.55,13.8,Ligue 1,2020-2021,12683680850395737
16,Brest,2,38.0,66,9,1,6,2,57.4,0.3,-6.6,-0.17,235,492,47.8,1050,178,37.2,36.8,304,33.2,34.8,369,29,7.9,17,0.45,13.0,Ligue 1,2020-2021,27328509848090670
17,Brighton,2,38.0,46,6,0,9,2,45.6,0.35,1.6,0.04,239,613,39.0,1259,163,38.6,36.7,235,54.0,45.1,313,18,5.8,20,0.53,14.4,Premier League,2020-2021,49072214318111932
18,Burnley,3,38.0,55,3,0,11,1,51.5,0.27,-2.5,-0.07,354,901,39.3,849,134,75.6,53.8,299,86.6,63.2,379,43,11.3,45,1.18,16.4,Premier League,2020-2021,21823480134907726
19,Cádiz,3,38.0,58,9,2,5,1,47.0,0.28,-10.0,-0.26,398,1033,38.5,837,74,83.4,57.9,352,95.2,69.4,397,37,9.3,17,0.45,13.2,La Liga,2020-2021,1007679934589500
20,Cagliari,2,38.0,59,5,1,9,0,60.2,0.28,1.2,0.03,233,546,42.7,765,144,46.7,37.5,304,62.2,44.6,360,33,9.2,15,0.39,12.6,Serie A,2020-2021,32968728316179674
21,Celta Vigo,2,38.0,57,7,2,4,1,50.9,0.35,-5.1,-0.13,216,668,32.3,1032,159,45.1,38.7,316,64.2,49.1,360,27,7.5,27,0.71,15.0,La Liga,2020-2021,14218303985450920
22,Chelsea,3,38.0,36,3,1,5,1,32.9,0.29,-2.1,-0.05,165,346,47.7,1044,166,25.3,29.1,232,35.3,32.5,255,18,7.1,28,0.74,16.0,Premier League,2020-2021,58172670324373785
23,Crotone,3,38.0,92,5,2,10,2,78.4,0.35,-11.6,-0.3,265,634,41.8,1195,173,41.7,35.1,331,41.1,34.1,338,19,5.6,31,0.82,14.8,Serie A,2020-2021,33431629624225246
24,Crystal Palace,2,38.0,66,3,1,9,0,62.6,0.35,-3.4,-0.09,256,739,34.6,779,149,59.2,44.1,322,86.3,61.3,377,27,7.2,17,0.45,13.3,Premier League,2020-2021,15352059381074619
25,Dijon,3,38.0,73,7,1,10,2,66.6,0.33,-4.4,-0.12,221,629,35.1,900,197,44.4,37.8,349,65.6,48.7,382,25,6.5,26,0.68,14.4,Ligue 1,2020-2021,59239312409540653
26,Dortmund,2,34.0,46,6,0,7,1,41.2,0.28,-3.8,-0.11,186,382,48.7,947,175,29.7,32.2,232,43.5,39.2,213,16,7.5,13,0.38,13.8,Bundesliga,2020-2021,6921931827204601
27,Eibar,2,38.0,52,3,0,5,0,49.1,0.34,-2.9,-0.08,344,860,40.0,936,124,67.3,53.5,252,91.3,72.7,264,21,8.0,49,1.29,17.0,La Liga,2020-2021,67267904110326262
28,Eint Frankfurt,2,34.0,53,4,1,7,2,45.5,0.28,-5.5,-0.16,261,658,39.7,1121,170,46.2,37.9,274,51.1,43.1,296,24,8.1,23,0.68,14.7,Bundesliga,2020-2021,37929111009288632
29,Elche,2,38.0,55,6,0,8,1,53.2,0.3,-0.8,-0.02,323,679,47.6,1043,167,43.0,38.4,347,66.3,47.4,361,28,7.8,21,0.55,12.8,La Liga,2020-2021,30674441257210497
30,Everton,3,38.0,48,3,1,5,1,48.5,0.3,1.5,0.04,328,765,42.9,1106,159,52.9,43.2,262,68.7,54.5,348,28,8.0,20,0.53,14.4,Premier League,2020-2021,57482013681231466
31,Fiorentina,2,38.0,59,8,1,11,2,56.6,0.34,-0.4,-0.01,256,632,40.5,858,176,52.9,42.4,292,61.0,47.0,372,24,6.5,17,0.45,14.2,Serie A,2020-2021,24325362613855847
32,Freiburg,2,34.0,52,4,2,3,2,54.5,0.31,4.5,0.13,220,651,33.8,1164,158,36.9,37.3,299,74.2,58.0,277,13,4.7,24,0.71,14.9,Bundesliga,2020-2021,17577284562417651
33,Fulham,2,38.0,53,7,0,5,1,58.6,0.33,6.6,0.17,178,445,40.0,791,165,37.7,33.9,256,57.4,43.0,341,34,10.0,21,0.55,13.9,Premier League,2020-2021,19227944656237519
34,Genoa,3,38.0,58,7,0,7,2,59.1,0.3,3.1,0.08,255,694,36.7,1051,167,50.8,39.8,329,48.6,39.1,393,17,4.3,12,0.32,12.3,Serie A,2020-2021,87033800759594150
35,Getafe,2,38.0,43,7,0,4,3,41.2,0.33,1.2,0.03,388,952,40.8,869,43,83.7,56.6,263,85.6,59.8,280,25,8.9,49,1.29,16.7,La Liga,2020-2021,23789167582387071
36,Granada,3,38.0,65,6,2,4,1,63.2,0.35,-0.8,-0.02,330,890,37.1,940,81,67.2,49.7,316,81.6,59.4,366,16,4.4,42,1.11,16.5,La Liga,2020-2021,45137124328012624
37,Hellas Verona,3,38.0,48,6,1,8,2,42.8,0.28,-3.2,-0.08,228,816,27.9,813,87,66.8,46.1,301,90.7,59.4,319,12,3.8,15,0.39,13.3,Serie A,2020-2021,45227680351245381
38,Hertha BSC,2,34.0,52,7,1,5,1,47.0,0.3,-4.0,-0.12,234,512,45.7,909,148,37.6,36.0,293,58.0,46.7,303,21,6.9,16,0.47,13.5,Bundesliga,2020-2021,59737400018465050
39,Hoffenheim,2,34.0,54,6,1,4,2,53.0,0.33,1.0,0.03,202,484,41.7,1238,193,32.4,32.6,224,37.1,33.7,282,11,3.9,37,1.09,15.2,Bundesliga,2020-2021,29322720181807625
40,Huesca,2,38.0,53,5,1,10,2,46.9,0.3,-4.1,-0.11,227,589,38.5,1092,178,41.8,37.7,292,45.5,40.5,355,24,6.8,22,0.58,14.5,La Liga,2020-2021,16593090704373522
41,Inter,3,38.0,35,5,1,3,1,32.0,0.24,-2.0,-0.05,130,267,48.7,967,161,22.2,28.7,191,27.2,30.3,303,16,5.3,16,0.42,12.0,Serie A,2020-2021,53198597771575973
42,Juventus,3,38.0,38,6,1,4,2,34.2,0.24,-1.8,-0.05,152,279,54.5,1086,174,21.7,29.2,244,17.6,24.8,323,19,5.9,30,0.79,14.6,Serie A,2020-2021,19371054131726661
43,Köln,2,34.0,60,8,1,6,0,53.3,0.3,-6.7,-0.2,278,612,45.4,1128,121,45.0,39.0,221,47.1,40.6,279,9,3.2,23,0.68,14.0,Bundesliga,2020-2021,39731782814123330
44,Lazio,2,38.0,55,10,0,8,2,49.5,0.29,-3.5,-0.09,251,490,51.2,1265,171,34.6,33.7,199,26.1,28.1,295,18,6.1,13,0.34,14.2,Serie A,2020-2021,90751438076496109
45,Leeds United,2,38.0,54,8,1,11,2,59.6,0.27,7.6,0.2,197,435,45.3,1145,290,27.9,30.3,297,38.7,34.0,216,24,11.1,21,0.55,13.7,Premier League,2020-2021,34570153325607342
46,Leicester City,1,38.0,50,4,0,9,2,48.5,0.34,0.5,0.01,226,533,42.4,1009,164,42.4,38.0,209,50.2,42.7,297,24,8.1,14,0.37,13.0,Premier League,2020-2021,18776461863573874
47,Lens,2,38.0,54,11,0,7,3,50.5,0.31,-0.5,-0.01,206,535,38.5,790,138,51.6,41.3,268,47.4,40.0,285,18,6.3,22,0.58,14.8,Ligue 1,2020-2021,74951719010833888
48,Levante,3,38.0,57,3,1,6,2,52.8,0.31,-2.2,-0.06,171,445,38.4,941,196,38.4,36.2,273,30.8,31.5,350,23,6.6,37,0.97,15.1,La Liga,2020-2021,1566092639264277
49,Leverkusen,3,34.0,39,1,1,0,2,36.2,0.32,-0.8,-0.02,224,545,41.1,1404,219,33.7,33.9,208,34.6,32.9,243,25,10.3,36,1.06,16.1,Bundesliga,2020-2021,36794408106212849
50,Lille,1,38.0,23,1,0,7,2,25.8,0.23,4.8,0.13,153,437,35.0,832,191,34.9,35.3,238,61.8,52.2,286,23,8.0,26,0.68,15.5,Ligue 1,2020-2021,85603837513355486
51,Liverpool,3,38.0,42,4,1,6,0,48.0,0.33,6.0,0.16,147,326,45.1,1089,189,23.6,30.7,209,33.0,35.1,266,26,9.8,46,1.21,17.5,Premier League,2020-2021,41956650829873911
52,Lorient,2,38.0,69,10,1,6,1,52.0,0.28,-15.0,-0.39,192,556,34.5,695,151,48.8,40.4,305,71.1,52.3,291,16,5.5,20,0.53,14.1,Ligue 1,2020-2021,37325341301512527
53,Lyon,1,38.0,43,5,2,4,2,43.2,0.3,2.2,0.06,214,407,52.6,926,181,32.7,33.4,250,41.6,36.8,308,16,5.2,39,1.03,17.1,Ligue 1,2020-2021,87005642993871754
54,M'Gladbach,2,34.0,56,6,0,7,0,50.2,0.32,-5.8,-0.17,217,476,45.6,1129,137,33.7,33.0,257,37.0,35.0,296,17,5.7,24,0.71,13.8,Bundesliga,2020-2021,81611584009946193
55,Mainz 05,2,34.0,56,6,1,5,1,49.9,0.29,-5.1,-0.15,175,527,33.2,891,212,42.6,39.1,276,53.3,45.5,328,29,8.8,21,0.62,13.8,Bundesliga,2020-2021,71158960989778912
56,Manchester City,3,38.0,32,8,0,3,1,32.3,0.27,1.3,0.03,141,312,45.2,966,158,24.5,31.4,168,44.6,42.0,196,14,7.1,23,0.61,15.6,Premier League,2020-2021,74026506610392765
57,Manchester Utd,2,38.0,44,4,1,9,2,42.1,0.29,0.1,0.0,135,328,41.2,642,141,35.7,34.2,266,37.2,34.4,300,18,6.0,23,0.61,14.6,Premier League,2020-2021,29078730489839024
58,Marseille,2,38.0,47,3,1,8,1,45.3,0.34,-0.7,-0.02,203,563,36.1,1056,194,37.5,35.2,293,57.0,44.4,375,27,7.2,23,0.61,14.0,Ligue 1,2020-2021,66190039714113630
59,Metz,2,38.0,49,12,1,6,1,49.7,0.28,2.7,0.07,282,649,43.5,819,216,51.4,42.0,318,71.7,53.7,351,42,12.0,39,1.03,16.5,Ligue 1,2020-2021,14635757597311544
60,Milan,2,38.0,41,3,2,9,1,42.6,0.3,2.6,0.07,185,436,42.4,1049,147,32.8,32.1,223,41.3,35.8,338,30,8.9,22,0.58,14.5,Serie A,2020-2021,59378513948613436
61,Monaco,3,38.0,42,5,1,2,1,31.5,0.29,-9.5,-0.25,229,553,41.4,1078,137,39.6,35.9,243,51.9,43.7,266,14,5.3,43,1.13,18.2,Ligue 1,2020-2021,79093238158793616
62,Montpellier,2,38.0,62,12,0,6,2,63.2,0.29,3.2,0.08,343,703,48.8,970,217,48.7,40.0,325,71.1,53.4,362,37,10.2,16,0.42,13.3,Ligue 1,2020-2021,32434714471076965
63,Nantes,1,38.0,55,10,2,8,1,52.3,0.27,-1.7,-0.04,218,675,32.3,869,128,53.4,44.5,258,81.8,57.8,327,24,7.3,25,0.66,14.9,Ligue 1,2020-2021,25802633648495862
64,Napoli,2,38.0,41,5,1,3,1,36.0,0.28,-4.0,-0.1,136,272,50.0,994,146,23.6,29.0,152,24.3,27.2,266,26,9.8,18,0.47,14.2,Serie A,2020-2021,10516137814401134
65,Newcastle Utd,2,38.0,62,4,1,5,3,56.5,0.29,-2.5,-0.07,263,718,36.6,812,152,57.0,45.4,341,74.8,55.6,400,35,8.8,12,0.32,12.2,Premier League,2020-2021,29528772732587842
66,Nice,1,38.0,53,7,0,12,0,48.5,0.26,-4.5,-0.12,129,347,37.2,924,170,25.8,29.6,302,36.1,34.7,356,25,7.0,17,0.45,13.3,Ligue 1,2020-2021,11720969662561653
67,Nîmes,1,38.0,71,6,1,7,0,63.8,0.29,-7.2,-0.19,298,800,37.3,1287,144,46.3,40.5,300,68.0,50.4,362,19,5.2,27,0.71,14.5,Ligue 1,2020-2021,83514802313158576
68,Osasuna,3,38.0,48,5,0,6,2,51.2,0.33,5.2,0.14,487,1041,46.8,991,92,76.3,54.0,301,94.7,65.1,429,35,8.2,55,1.45,16.1,La Liga,2020-2021,83352675823776457
69,Paris S-G,3,38.0,28,1,0,3,1,33.2,0.25,6.2,0.16,117,222,52.7,763,163,23.2,29.0,228,19.7,27.5,267,10,3.7,19,0.5,13.3,Ligue 1,2020-2021,11177590892093073
70,Parma,2,38.0,83,3,0,12,3,65.6,0.35,-14.4,-0.38,367,667,55.0,1214,186,44.6,38.2,281,44.8,39.0,429,26,6.1,12,0.32,12.8,Serie A,2020-2021,62695319081093388
71,RB Leipzig,2,34.0,32,3,0,3,0,26.5,0.3,-5.5,-0.16,140,288,48.6,1047,176,24.5,30.4,171,18.7,27.2,195,12,6.2,54,1.59,18.6,Bundesliga,2020-2021,68159208261559796
72,Real Madrid,1,38.0,28,7,0,3,1,29.8,0.22,2.8,0.07,136,351,38.7,1074,234,24.1,32.2,233,39.5,39.2,286,27,9.4,24,0.63,15.0,La Liga,2020-2021,29627131003986350
73,Real Sociedad,1,38.0,38,3,0,5,1,32.4,0.3,-4.6,-0.12,232,561,41.4,988,128,42.7,38.1,215,64.7,52.0,291,17,5.8,26,0.68,15.7,La Liga,2020-2021,57299950304530590
74,Reims,2,38.0,50,5,0,8,1,49.8,0.28,0.8,0.02,249,739,33.7,1151,170,45.1,40.4,355,62.0,49.4,365,21,5.8,23,0.61,14.1,Ligue 1,2020-2021,67732085073987538
75,Rennes,3,38.0,40,3,0,4,0,41.0,0.31,1.0,0.03,205,468,43.8,982,193,32.6,32.4,260,56.9,45.4,277,27,9.7,46,1.21,16.6,Ligue 1,2020-2021,96819424452761337
76,Roma,3,38.0,55,5,2,5,3,49.5,0.28,-2.5,-0.07,172,406,42.4,1030,203,31.7,32.7,222,35.6,34.0,255,11,4.3,32,0.84,15.8,Serie A,2020-2021,764736481564168
77,Saint-Étienne,3,38.0,54,6,4,6,2,48.4,0.33,-3.6,-0.1,187,516,36.2,857,186,38.4,37.5,279,67.0,51.0,307,20,6.5,14,0.37,13.5,Ligue 1,2020-2021,56226069621228236
78,Sampdoria,2,38.0,54,7,1,6,1,52.2,0.27,-0.8,-0.02,256,617,41.5,1024,182,43.8,38.2,266,63.5,47.0,393,30,7.6,15,0.39,12.7,Serie A,2020-2021,89407679695143145
79,Sassuolo,2,38.0,56,4,0,4,1,57.6,0.3,2.6,0.07,185,410,45.1,1136,163,30.6,30.8,243,25.5,25.5,331,29,8.8,26,0.68,15.9,Serie A,2020-2021,79200252522790650
80,Schalke 04,3,34.0,86,7,1,18,5,71.8,0.29,-9.2,-0.27,188,575,32.7,981,187,40.1,36.1,303,60.1,45.0,319,16,5.0,28,0.82,14.5,Bundesliga,2020-2021,24345039935475884
81,Sevilla,2,38.0,33,4,0,4,2,29.4,0.23,-1.6,-0.04,219,460,47.6,1017,165,33.3,34.5,225,53.8,42.2,324,34,10.5,26,0.68,15.4,La Liga,2020-2021,22702270477938803
82,Sheffield Utd,1,38.0,63,3,0,8,3,61.9,0.29,1.9,0.05,290,859,33.8,860,124,70.0,52.8,281,91.5,69.7,336,32,9.5,22,0.58,15.3,Premier League,2020-2021,93216768512646707
83,Southampton,2,38.0,68,8,1,5,1,56.7,0.3,-10.3,-0.27,198,678,29.2,1108,153,46.8,37.6,235,67.7,48.1,327,29,8.9,27,0.71,15.1,Premier League,2020-2021,21037626007536306
84,Spezia,3,38.0,72,9,1,7,0,64.6,0.34,-7.4,-0.19,353,787,44.9,1622,190,42.6,38.1,201,47.8,42.6,290,26,9.0,37,0.97,15.7,Serie A,2020-2021,41730244034743257
85,Strasbourg,3,38.0,58,6,2,7,1,49.2,0.31,-7.8,-0.21,309,674,45.8,838,145,52.7,41.7,299,77.6,57.1,316,21,6.6,7,0.18,11.9,Ligue 1,2020-2021,92234479374253707
86,Stuttgart,2,34.0,55,5,1,3,1,50.7,0.27,-3.3,-0.1,140,348,40.2,967,205,29.7,30.2,285,21.4,25.4,299,21,7.0,17,0.5,13.3,Bundesliga,2020-2021,81761661302668293
87,Torino,3,38.0,69,9,1,7,0,52.4,0.3,-16.6,-0.44,224,562,39.9,912,130,44.2,37.6,307,51.8,40.4,351,21,6.0,21,0.55,13.2,Serie A,2020-2021,21846272194836439
88,Tottenham,1,38.0,45,10,0,3,3,47.0,0.28,5.0,0.13,202,489,41.3,799,158,46.3,37.3,268,44.4,36.7,366,18,4.9,16,0.42,13.4,Premier League,2020-2021,22006624071753704
89,Udinese,4,38.0,58,14,2,2,0,59.3,0.32,1.3,0.03,205,454,45.2,823,180,40.5,35.8,271,44.6,37.2,318,28,8.8,15,0.39,12.9,Serie A,2020-2021,48393495896639342
90,Union Berlin,2,34.0,43,4,0,8,2,42.8,0.31,1.8,0.05,232,566,41.0,997,115,41.9,37.9,236,62.7,45.5,267,18,6.7,11,0.32,13.2,Bundesliga,2020-2021,71630543971501382
91,Valencia,2,38.0,53,5,3,7,2,51.3,0.27,0.3,0.01,335,723,46.3,876,146,54.8,41.9,338,71.9,53.6,448,29,6.5,23,0.61,13.1,La Liga,2020-2021,65158650443085242
92,Valladolid,2,38.0,57,6,1,5,0,55.6,0.33,-1.4,-0.04,267,851,31.4,880,129,65.7,49.2,331,82.5,62.9,392,24,6.1,20,0.53,13.6,La Liga,2020-2021,44089518275887893
93,Villarreal,2,38.0,45,7,0,4,2,37.6,0.25,-4.4,-0.12,225,494,45.5,1099,205,31.2,33.5,304,49.7,43.4,450,42,9.3,21,0.55,13.7,La Liga,2020-2021,63335634096533483
94,Werder Bremen,1,34.0,57,4,0,7,3,47.4,0.28,-6.6,-0.19,242,521,46.4,865,165,42.7,37.6,283,53.7,43.4,360,21,5.8,22,0.65,14.1,Bundesliga,2020-2021,59303898890876434
95,West Brom,2,38.0,76,7,2,14,3,77.0,0.3,4.0,0.1,344,990,34.7,1012,171,71.1,51.2,307,87.9,61.1,358,26,7.3,26,0.68,14.5,Premier League,2020-2021,26775906631723373
96,West Ham,2,38.0,47,3,0,7,4,48.4,0.32,5.4,0.14,294,705,41.7,775,146,61.2,46.2,293,78.8,56.3,389,27,6.9,12,0.32,12.4,Premier League,2020-2021,57680956417459581
97,Wolfsburg,2,34.0,37,3,1,5,1,38.1,0.31,2.1,0.06,251,567,44.3,1098,163,38.3,36.4,221,66.1,51.9,277,23,8.3,34,1.0,15.6,Bundesliga,2020-2021,85159484018358879
98,Wolves,2,38.0,52,7,1,10,3,45.7,0.28,-3.3,-0.09,206,459,44.9,555,140,51.9,40.2,270,63.3,44.8,383,22,5.7,6,0.16,11.4,Premier League,2020-2021,24001928852251903
1,Alavés,3,38.0,59,12,3,3,0,57.0,0.32,-2.0,-0.05,401,881,45.5,787,110,71.5,50.4,348,91.4,62.5,356,22,6.2,18,0.47,14.0,La Liga,2019-2020,37745278530914180
2,Amiens,1,28.0,50,1,1,13,1,41.0,0.29,-8.0,-0.29,231,521,44.3,567,95,55.7,43.6,254,80.7,55.4,269,15,5.6,11,0.39,13.7,Ligue 1,2019-2020,20069478421376018
3,Angers,2,28.0,33,3,1,1,1,25.9,0.27,-6.1,-0.22,162,412,39.3,528,124,47.3,39.8,222,73.0,52.4,215,17,7.9,22,0.79,14.8,Ligue 1,2019-2020,66587352409382849
4,Arsenal,2,38.0,48,7,0,9,0,58.0,0.27,10.0,0.26,128,433,29.6,971,220,29.7,32.7,312,46.5,41.4,353,23,6.5,21,0.55,13.3,Premier League,2019-2020,5838645288327307
5,Aston Villa,4,38.0,67,5,1,10,1,59.8,0.32,-6.2,-0.16,279,723,38.6,850,170,55.2,44.4,343,74.1,55.5,391,26,6.6,19,0.5,13.1,Premier League,2019-2020,14348480492050895
6,Atalanta,3,38.0,48,6,2,4,3,40.1,0.27,-4.9,-0.13,200,455,44.0,886,202,34.3,35.6,237,63.7,50.8,238,19,8.0,44,1.16,16.1,Serie A,2019-2020,87465877057901989
7,Athletic Club,2,38.0,38,5,2,4,2,43.1,0.33,7.1,0.19,363,871,41.7,978,168,61.8,47.1,298,89.6,65.6,384,29,7.6,18,0.47,13.7,La Liga,2019-2020,4823083458145023
8,Atlético Madrid,2,38.0,27,3,1,4,3,25.2,0.22,1.2,0.03,263,659,39.9,651,112,64.2,46.9,315,76.5,56.5,349,19,5.4,18,0.47,14.0,La Liga,2019-2020,74713976168286555
9,Augsburg,2,34.0,63,0,0,4,3,59.0,0.38,-1.0,-0.03,233,684,34.1,956,153,50.5,43.2,303,66.3,53.0,343,27,7.9,27,0.79,14.8,Bundesliga,2019-2020,82828683183786310
10,Barcelona,2,38.0,38,6,2,1,0,36.3,0.27,-1.7,-0.05,209,348,60.1,1247,182,22.5,28.6,234,28.6,30.4,279,13,4.7,28,0.74,15.0,La Liga,2019-2020,81744823723090567
11,Bayern Munich,2,34.0,32,3,0,6,1,34.0,0.28,3.0,0.09,225,383,58.7,1309,207,26.1,30.0,189,22.2,28.8,205,14,6.8,55,1.62,19.0,Bundesliga,2019-2020,7510926916741648
12,Betis,2,38.0,60,11,1,4,1,52.6,0.3,-6.4,-0.17,208,540,38.5,1065,169,38.9,36.2,281,44.8,40.4,354,24,6.8,29,0.76,15.2,La Liga,2019-2020,9423348454032625
13,Bologna,2,38.0,65,6,2,6,1,58.7,0.3,-5.3,-0.14,199,449,44.3,879,220,37.1,35.1,296,41.6,34.6,323,46,14.2,16,0.42,13.1,Serie A,2019-2020,23275147453355121
14,Bordeaux,1,28.0,34,2,0,4,1,31.2,0.27,-1.8,-0.07,207,446,46.4,642,96,48.0,38.8,244,56.6,43.7,273,16,5.9,16,0.57,14.5,Ligue 1,2019-2020,12683680850395737
15,Bournemouth,2,38.0,65,5,4,5,0,64.3,0.33,-0.7,-0.02,206,668,30.8,859,189,53.1,44.5,297,71.4,58.5,328,20,6.1,17,0.45,14.2,Premier League,2019-2020,36088947257895306
16,Brescia,3,38.0,79,9,1,10,3,76.0,0.3,0.0,0.0,205,520,39.4,721,213,47.2,40.4,366,49.2,41.7,450,30,6.7,16,0.42,13.1,Serie A,2019-2020,24926529561002350
17,Brest,2,28.0,37,4,0,5,0,43.4,0.28,6.4,0.23,189,469,40.3,828,150,43.5,39.3,241,45.2,39.2,321,28,8.7,19,0.68,14.3,Ligue 1,2019-2020,27328509848090670
18,Brighton,1,38.0,54,2,0,8,3,54.5,0.32,3.5,0.09,272,527,51.6,1188,232,33.8,33.8,274,45.6,38.7,314,24,7.6,19,0.5,13.9,Premier League,2019-2020,49072214318111932
19,Burnley,1,38.0,50,4,0,8,1,47.2,0.27,-1.8,-0.05,285,916,31.1,875,168,73.0,54.4,305,90.8,69.9,373,53,14.2,35,0.92,16.5,Premier League,2019-2020,21823480134907726
20,Cagliari,3,38.0,56,7,0,3,3,54.9,0.27,1.9,0.05,227,608,37.3,765,145,54.2,42.8,363,53.2,43.9,446,31,7.0,11,0.29,11.4,Serie A,2019-2020,32968728316179674
21,Celta Vigo,3,38.0,49,5,3,3,0,46.4,0.3,-2.6,-0.07,236,638,37.0,791,132,51.8,41.7,341,66.9,52.5,393,26,6.6,13,0.34,14.5,La Liga,2019-2020,14218303985450920
22,Chelsea,2,38.0,54,2,2,11,3,41.4,0.35,-9.6,-0.25,174,407,42.8,1024,160,30.5,32.3,227,41.9,38.8,258,18,7.0,23,0.61,15.4,Premier League,2019-2020,58172670324373785
23,Crystal Palace,2,38.0,50,0,1,7,2,55.6,0.34,7.6,0.2,256,762,33.6,844,169,59.4,45.2,312,83.7,62.5,366,33,9.0,17,0.45,13.1,Premier League,2019-2020,15352059381074619
24,Dijon,2,28.0,37,1,2,5,2,35.4,0.27,0.4,0.02,230,522,44.1,809,166,44.5,38.6,249,65.1,48.5,281,35,12.5,10,0.36,13.2,Ligue 1,2019-2020,59239312409540653
25,Dortmund,2,34.0,41,3,0,8,3,37.4,0.36,-0.6,-0.02,125,344,36.3,918,195,29.0,32.7,229,34.1,34.9,242,17,7.0,31,0.91,15.0,Bundesliga,2019-2020,6921931827204601
26,Düsseldorf,2,34.0,67,3,1,9,4,56.3,0.31,-6.7,-0.2,296,657,45.1,996,157,49.9,42.2,254,63.0,52.2,250,13,5.2,25,0.74,14.6,Bundesliga,2019-2020,6414184432322702
27,Eibar,2,38.0,56,4,2,3,1,47.9,0.35,-7.1,-0.19,311,922,33.7,886,97,74.7,58.3,269,96.7,76.1,303,21,6.9,51,1.34,17.1,La Liga,2019-2020,67267904110326262
28,Eint Frankfurt,3,34.0,60,3,1,5,2,54.4,0.3,-3.6,-0.11,296,642,46.1,1155,142,45.5,38.0,231,50.6,42.6,268,24,9.0,28,0.82,14.9,Bundesliga,2019-2020,37929111009288632
29,Espanyol,2,38.0,58,6,0,6,2,50.8,0.29,-5.2,-0.14,237,721,32.9,899,133,55.6,44.6,317,69.7,51.8,315,27,8.6,31,0.82,14.6,La Liga,2019-2020,71314269182841176
30,Everton,1,38.0,56,3,3,6,3,48.7,0.32,-4.3,-0.11,313,784,39.9,1100,179,55.6,45.8,273,63.0,53.4,315,25,7.9,23,0.61,14.6,Premier League,2019-2020,57482013681231466
31,Fiorentina,3,38.0,48,9,2,6,0,49.3,0.28,1.3,0.03,166,472,35.2,835,231,40.7,37.3,282,46.8,40.9,373,25,6.7,19,0.5,12.8,Serie A,2019-2020,24325362613855847
32,Freiburg,3,34.0,47,3,0,6,0,48.6,0.25,1.6,0.05,262,692,37.9,1088,167,41.1,38.4,367,66.8,55.5,315,18,5.7,13,0.38,13.0,Bundesliga,2019-2020,17577284562417651
33,Genoa,2,38.0,73,7,3,8,2,69.1,0.34,-1.9,-0.05,235,614,38.3,1052,178,46.3,39.6,342,37.1,36.8,392,20,5.1,12,0.32,12.0,Serie A,2019-2020,87033800759594150
34,Getafe,1,38.0,37,5,0,2,1,38.1,0.33,2.1,0.05,369,987,37.4,871,41,86.3,58.8,259,90.7,61.4,262,30,11.5,49,1.29,17.0,La Liga,2019-2020,23789167582387071
35,Granada,2,38.0,45,4,1,5,0,44.9,0.28,-0.1,0.0,378,979,38.6,1081,136,66.3,49.2,326,80.4,59.7,362,40,11.0,44,1.16,15.6,La Liga,2019-2020,45137124328012624
36,Hellas Verona,2,38.0,51,9,2,10,1,49.1,0.26,-0.9,-0.02,207,755,27.4,708,88,65.3,47.6,344,85.2,59.4,380,18,4.7,9,0.24,12.1,Serie A,2019-2020,45227680351245381
37,Hertha BSC,3,34.0,59,7,3,9,2,49.6,0.27,-7.4,-0.22,341,739,46.1,936,146,57.2,42.9,270,75.6,53.5,338,31,9.2,22,0.65,13.5,Bundesliga,2019-2020,59737400018465050
38,Hoffenheim,2,34.0,53,6,0,4,2,48.4,0.26,-2.6,-0.08,183,490,37.3,1171,204,32.1,32.8,294,38.8,36.7,355,19,5.4,41,1.21,15.4,Bundesliga,2019-2020,29322720181807625
39,Inter,2,38.0,36,3,0,6,1,35.7,0.28,0.7,0.02,158,308,51.3,917,201,24.4,29.6,288,29.2,30.3,370,22,5.9,12,0.32,11.8,Serie A,2019-2020,53198597771575973
40,Juventus,3,38.0,43,9,1,6,0,42.3,0.22,-0.7,-0.02,131,239,54.8,723,196,26.1,31.4,253,19.8,26.0,295,12,4.1,29,0.76,15.3,Serie A,2019-2020,19371054131726661
41,Köln,1,34.0,69,4,1,11,2,53.1,0.32,-13.9,-0.41,311,630,49.4,892,99,53.9,42.2,298,50.0,40.7,270,18,6.7,14,0.41,14.1,Bundesliga,2019-2020,39731782814123330
