Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,League,Season,PlayerID
86,Lukáš Hrádecký,FIN,GK,Eint Frankfurt,27,1989,34,34,3060,34.0,45,1.32,133,91,67.7,14,7,13,7,20.6,3,2,0,1,0.0,Bundesliga,2017-2018,59083756848
87,Gorka Iraizoz,ESP,GK,Girona,36,1981,9,8,765,8.5,13,1.53,37,26,64.9,1,3,4,2,25.0,0,0,0,0,0,La Liga,2017-2018,13915734991
88,Eldin Jakupović,SUI,GK,Leicester City,32,1984,2,2,180,2.0,6,3.00,12,7,50.0,1,0,1,0,0.0,0,0,0,0,0,Premier League,2017-2018,94084784702
89,Rune Jarstein,NOR,GK,Hertha BSC,32,1984,31,31,2790,31.0,44,1.42,130,92,70.0,10,10,11,7,22.6,6,5,0,1,0.0,Bundesliga,2017-2018,56477270582
90,Karl-Johan Johnsson,SWE,GK,Guingamp,27,1990,38,38,3420,38.0,59,1.55,169,116,68.0,12,11,15,11,28.9,7,5,2,0,28.6,Ligue 1,2017-2018,46975070312
91,Bingourou Kamara,SEN,GK,Strasbourg,20,1996,19,19,1691,18.8,32,1.70,90,60,66.7,4,6,9,2,10.5,2,2,0,0,0.0,Ligue 1,2017-2018,5518561226
92,Loris Karius,GER,GK,Liverpool,24,1993,19,19,1710,19.0,14,0.74,41,28,70.7,11,5,3,10,52.6,3,2,1,0,33.3,Premier League,2017-2018,6607523910
93,Orestis Karnezis,GRE,GK,Watford,32,1985,15,14,1292,14.4,24,1.67,54,33,61.1,4,3,7,4,28.6,3,3,0,0,0.0,Premier League,2017-2018,39272027441
94,Eiji Kawashima,JPN,GK,Metz,34,1983,29,29,2570,28.6,60,2.10,172,113,65.1,5,7,17,2,6.9,2,0,2,0,100.0,Ligue 1,2017-2018,57017643875
95,Hervé Koffi,BFA,GK,Lille,20,1996,4,4,360,4.0,11,2.75,19,10,47.4,0,1,3,0,0.0,1,1,0,0,0.0,Ligue 1,2017-2018,299967209
96,Tomáš Koubek,CZE,GK,Rennes,24,1992,34,34,3060,34.0,36,1.06,130,98,73.8,16,8,10,10,29.4,3,2,1,0,33.3,Ligue 1,2017-2018,3159547960
97,Maksym Koval,UKR,"GK,MF",La Coruña,24,1992,2,2,121,1.3,3,2.23,5,2,40.0,0,1,1,0,0.0,0,0,0,0,0,La Liga,2017-2018,85372418403
98,Thomas Kraft,GER,GK,Hertha BSC,29,1988,3,3,270,3.0,2,0.67,12,11,91.7,0,3,0,1,33.3,1,1,0,0,0.0,Bundesliga,2017-2018,62726821271
99,Alban Lafont,FRA,GK,Toulouse,18,1999,38,38,3420,38.0,54,1.42,161,113,70.2,9,10,19,12,31.6,6,6,0,0,0.0,Ligue 1,2017-2018,68338232900
100,Eugenio Lamanna,ITA,GK,Genoa,27,1989,1,1,90,1.0,1,1.00,3,2,66.7,0,0,1,0,0.0,0,0,0,0,0,Serie A,2017-2018,6977954027
101,Benjamin Lecomte,FRA,GK,Montpellier,26,1991,38,38,3420,38.0,33,0.87,121,93,76.9,11,18,9,14,36.8,6,5,0,1,0.0,Ligue 1,2017-2018,37489600732
