Rk,Squad,# Pl,90s,Tackles: Tkl,Tackles: TklW,Tackles: Def 3rd,Tackles: Mid 3rd,Tackles: Att 3rd,Vs Dribbles: Tkl,Vs Dribbles: Att,Vs Dribbles: Tkl%,Vs Dribbles: Past,Pressures: Press,Pressures: Succ,Pressures: %,Pressures: Def 3rd,Pressures: Mid 3rd,Pressures: Att 3rd,Blocks: Blocks,Blocks: Sh,Blocks: ShSv,Blocks: Pass,Int,Tkl+Int,Clr,Err,League,Season,TeamID
86,Swansea City,26,38.0,658,392,311,259,88,215,606,35.5,391,6104,1702,27.9,2189,2691,1224,557,137,1,420,524,1182,1111,9,Premier League,2017-2018,11897392087106032
87,Torino,27,38.0,616,366,304,238,74,173,508,34.1,335,5660,1615,28.5,1854,2525,1281,547,120,2,427,314,930,871,10,Serie A,2017-2018,21846272194836439
88,Tottenham,25,38.0,693,421,286,294,113,224,600,37.3,376,5123,1757,34.3,1482,2339,1302,517,92,0,425,449,1142,872,11,Premier League,2017-2018,22006624071753704
89,Toulouse,25,38.0,589,338,326,194,69,169,550,30.7,381,4953,1342,27.1,1832,2097,1024,579,116,0,463,430,1019,594,13,Ligue 1,2017-2018,94523000561782573
90,Troyes,25,38.0,544,317,326,156,62,148,565,26.2,417,5851,1493,25.5,2327,2559,965,551,128,4,423,446,990,658,13,Ligue 1,2017-2018,57069542099991496
91,Udinese,27,38.0,654,407,348,238,68,209,622,33.6,413,6107,1674,27.4,2218,2746,1143,680,164,7,516,283,937,1001,7,Serie A,2017-2018,48393495896639342
92,Valencia,25,38.0,647,388,360,218,69,189,561,33.7,372,6404,1535,24.0,2174,2890,1340,593,113,0,480,347,994,664,10,La Liga,2017-2018,65158650443085242
93,Villarreal,32,38.0,591,384,312,229,50,196,637,30.8,441,5636,1366,24.2,1775,2612,1249,671,143,3,528,305,896,653,2,La Liga,2017-2018,63335634096533483
94,Watford,29,38.0,738,457,377,285,76,219,610,35.9,391,5974,1785,29.9,2063,2719,1192,506,112,5,394,590,1328,1195,13,Premier League,2017-2018,73743918793554398
95,Werder Bremen,25,34.0,571,353,290,224,57,185,532,34.8,347,5351,1505,28.1,1616,2673,1062,428,87,1,341,282,853,836,6,Bundesliga,2017-2018,59303898890876434
96,West Brom,24,38.0,673,400,371,227,75,259,697,37.2,438,5630,1595,28.3,2265,2297,1068,592,170,1,422,630,1303,1110,10,Premier League,2017-2018,26775906631723373
97,West Ham,27,38.0,659,409,346,239,74,222,648,34.3,426,5910,1740,29.4,2431,2418,1061,607,175,3,432,570,1229,1178,9,Premier League,2017-2018,57680956417459581
98,Wolfsburg,29,34.0,528,325,292,184,52,163,490,33.3,327,5173,1431,27.7,1843,2320,1010,510,124,4,386,258,786,839,5,Bundesliga,2017-2018,85159484018358879
