Rk,Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,League,Season,TeamID
76,Roma,3,38,38,3420,38.0,51,1.34,146,101,71.2,21,7,10,7,18.4,10,9,1,0,10.0,Serie A,2019-2020,764736481564168
77,Saint-Étienne,3,28,28,2520,28.0,45,1.61,116,75,65.5,8,6,14,5,17.9,6,5,0,1,0.0,Ligue 1,2019-2020,56226069621228236
78,Sampdoria,2,38,38,3420,38.0,65,1.71,173,118,67.1,12,6,20,9,23.7,9,8,0,1,0.0,Serie A,2019-2020,89407679695143145
79,Sassuolo,3,38,38,3420,38.0,63,1.66,177,124,68.9,14,9,15,7,18.4,9,8,1,0,11.1,Serie A,2019-2020,79200252522790650
80,Schalke 04,2,34,34,3057,34.0,58,1.71,166,114,68.7,9,12,13,7,20.6,6,6,0,0,0.0,Bundesliga,2019-2020,24345039935475884
81,Sevilla,2,38,38,3420,38.0,34,0.89,116,86,73.3,19,13,6,17,44.7,4,3,1,0,25.0,La Liga,2019-2020,22702270477938803
82,Sheffield Utd,2,38,38,3420,38.0,39,1.03,141,103,73.0,14,12,12,13,34.2,3,1,1,1,50.0,Premier League,2019-2020,93216768512646707
83,Southampton,2,38,38,3420,38.0,60,1.58,163,107,65.0,15,7,16,9,23.7,4,3,1,0,25.0,Premier League,2019-2020,21037626007536306
84,SPAL,3,38,38,3420,38.0,74,1.95,222,155,69.8,5,5,28,3,7.9,8,7,1,0,12.5,Serie A,2019-2020,73622612860183040
85,Strasbourg,1,27,27,2430,27.0,32,1.19,95,67,72.6,11,5,11,8,29.6,7,6,1,0,14.3,Ligue 1,2019-2020,92234479374253707
86,Torino,3,38,38,3420,38.0,68,1.79,199,142,70.9,11,7,20,7,18.4,11,10,1,0,9.1,Serie A,2019-2020,21846272194836439
87,Tottenham,2,38,38,3420,38.0,47,1.24,172,130,75.6,16,11,11,8,21.1,7,5,2,0,28.6,Premier League,2019-2020,22006624071753704
88,Toulouse,3,28,28,2520,28.0,58,2.07,140,86,60.7,3,4,21,3,10.7,5,3,2,0,40.0,Ligue 1,2019-2020,94523000561782573
89,Udinese,1,38,38,3420,38.0,51,1.34,186,139,76.9,12,9,17,14,36.8,10,8,2,0,20.0,Serie A,2019-2020,48393495896639342
90,Union Berlin,2,34,34,3060,34.0,58,1.71,168,113,67.3,12,5,17,8,23.5,4,3,1,0,25.0,Bundesliga,2019-2020,71630543971501382
91,Valencia,2,38,38,3420,38.0,53,1.39,182,136,74.7,14,11,13,8,21.1,9,7,2,0,22.2,La Liga,2019-2020,65158650443085242
92,Valladolid,3,38,38,3420,38.0,43,1.13,134,98,73.1,9,15,14,12,31.6,8,7,1,0,12.5,La Liga,2019-2020,44089518275887893
93,Villarreal,2,38,38,3420,38.0,49,1.29,159,120,74.2,18,6,14,12,31.6,9,8,1,0,11.1,La Liga,2019-2020,63335634096533483
94,Watford,1,38,38,3420,38.0,64,1.68,166,109,66.3,8,10,20,9,23.7,9,8,1,0,11.1,Premier League,2019-2020,73743918793554398
95,Werder Bremen,2,34,34,3060,34.0,69,2.03,175,109,61.1,8,7,19,4,11.8,1,1,0,0,0.0,Bundesliga,2019-2020,59303898890876434
96,West Ham,4,38,38,3420,38.0,62,1.63,178,124,68.0,10,9,19,7,18.4,6,5,1,0,16.7,Premier League,2019-2020,57680956417459581
97,Wolfsburg,2,34,34,3060,34.0,46,1.35,140,98,70.7,13,10,11,8,23.5,5,5,0,0,0.0,Bundesliga,2019-2020,85159484018358879
98,Wolves,1,38,38,3420,38.0,40,1.05,120,80,67.5,15,14,9,13,34.2,3,1,2,0,66.7,Premier League,2019-2020,24001928852251903
1,Alavés,2,38,38,3420,38.0,50,1.32,159,115,72.3,13,11,14,8,21.1,6,6,0,0,0.0,La Liga,2018-2019,37745278530914180
2,Amiens,1,38,38,3420,38.0,54,1.42,155,109,69.0,9,11,18,11,28.9,9,6,2,1,25.0,Ligue 1,2018-2019,20069478421376018
3,Angers,2,38,38,3419,38.0,49,1.29,160,115,71.3,10,16,12,13,34.2,5,3,2,0,40.0,Ligue 1,2018-2019,66587352409382849
4,Arsenal,2,38,38,3420,38.0,51,1.34,172,129,74.4,21,7,10,8,21.1,7,7,0,0,0.0,Premier League,2018-2019,5838645288327307
5,Atalanta,3,38,38,3420,38.0,46,1.21,132,93,68.2,20,9,9,9,23.7,5,4,0,1,0.0,Serie A,2018-2019,87465877057901989
6,Athletic Club,2,38,38,3420,38.0,45,1.18,116,76,65.5,13,14,11,10,26.3,5,5,0,0,0.0,La Liga,2018-2019,4823083458145023
7,Atlético Madrid,2,38,38,3420,38.0,29,0.76,130,108,81.5,22,10,6,20,52.6,5,5,0,0,0.0,La Liga,2018-2019,74713976168286555
8,Augsburg,3,34,34,3060,34.0,71,2.09,180,111,61.1,8,8,18,5,14.7,2,1,1,0,50.0,Bundesliga,2018-2019,82828683183786310
9,Barcelona,2,38,38,3420,38.0,36,0.95,129,96,73.6,26,9,3,17,44.7,2,2,0,0,0.0,La Liga,2018-2019,81744823723090567
10,Bayern Munich,2,34,34,3060,34.0,32,0.94,71,45,62.0,24,6,4,12,35.3,6,5,0,1,0.0,Bundesliga,2018-2019,7510926916741648
11,Betis,2,38,38,3420,38.0,52,1.37,156,108,69.2,14,8,16,11,28.9,5,4,1,0,20.0,La Liga,2018-2019,9423348454032625
12,Bologna,1,38,38,3420,38.0,56,1.47,173,121,69.9,11,11,16,10,26.3,4,4,0,0,0.0,Serie A,2018-2019,23275147453355121
13,Bordeaux,2,38,38,3420,38.0,42,1.11,147,111,75.5,10,11,17,10,26.3,7,6,1,0,14.3,Ligue 1,2018-2019,12683680850395737
14,Bournemouth,3,38,38,3420,38.0,70,1.84,167,103,61.1,13,6,19,10,26.3,5,5,0,0,0.0,Premier League,2018-2019,36088947257895306
15,Brighton,2,38,38,3420,38.0,60,1.58,157,106,68.2,9,9,20,7,18.4,10,10,0,0,0.0,Premier League,2018-2019,49072214318111932
16,Burnley,2,38,38,3420,38.0,68,1.79,197,134,66.5,11,7,20,8,21.1,3,2,1,0,33.3,Premier League,2018-2019,21823480134907726
17,Caen,1,38,38,3420,38.0,54,1.42,182,134,73.6,7,12,19,9,23.7,8,6,2,0,25.0,Ligue 1,2018-2019,21277886218272520
18,Cagliari,1,38,38,3420,38.0,54,1.42,195,147,76.4,10,11,17,7,18.4,10,8,2,0,20.0,Serie A,2018-2019,32968728316179674
19,Cardiff City,1,38,38,3420,38.0,69,1.82,201,135,67.7,10,4,24,10,26.3,7,4,3,0,42.9,Premier League,2018-2019,69924771535350567
20,Celta Vigo,2,38,38,3420,38.0,62,1.63,163,108,65.6,10,11,17,8,21.1,7,6,0,1,0.0,La Liga,2018-2019,14218303985450920
21,Chelsea,2,38,38,3420,38.0,39,1.03,120,81,68.3,21,9,8,16,42.1,2,1,1,0,50.0,Premier League,2018-2019,58172670324373785
22,Chievo,3,38,38,3420,38.0,75,1.97,210,139,65.2,2,14,22,7,18.4,4,2,2,0,50.0,Serie A,2018-2019,83748145049842906
23,Crystal Palace,3,38,38,3420,38.0,53,1.39,158,107,69.0,14,7,17,12,31.6,5,4,1,0,20.0,Premier League,2018-2019,15352059381074619
24,Dijon,2,38,38,3420,38.0,61,1.61,170,113,65.9,9,7,22,6,15.8,3,3,0,0,0.0,Ligue 1,2018-2019,59239312409540653
25,Dortmund,2,34,34,3060,34.0,44,1.29,130,89,69.2,23,7,4,10,29.4,5,4,0,1,0.0,Bundesliga,2018-2019,6921931827204601
26,Düsseldorf,2,34,34,3060,34.0,65,1.91,173,113,66.5,13,5,16,5,14.7,7,7,0,0,0.0,Bundesliga,2018-2019,6414184432322702
27,Eibar,2,38,38,3420,38.0,50,1.32,126,80,62.7,11,14,13,9,23.7,4,3,1,0,25.0,La Liga,2018-2019,67267904110326262
28,Eint Frankfurt,2,34,34,3060,34.0,48,1.41,167,121,71.9,15,9,10,9,26.5,1,1,0,0,0.0,Bundesliga,2018-2019,37929111009288632
29,Empoli,3,38,38,3420,38.0,70,1.84,226,164,71.7,10,8,20,5,13.2,8,6,1,1,14.3,Serie A,2018-2019,77726683749984272
30,Espanyol,1,38,38,3420,38.0,50,1.32,156,114,71.8,14,11,13,10,26.3,8,6,2,0,25.0,La Liga,2018-2019,71314269182841176
31,Everton,1,38,38,3420,38.0,46,1.21,130,87,66.2,15,9,14,14,36.8,5,2,3,0,60.0,Premier League,2018-2019,57482013681231466
32,Fiorentina,3,38,38,3420,38.0,45,1.18,136,98,70.6,8,17,13,9,23.7,6,5,1,0,16.7,Serie A,2018-2019,24325362613855847
33,Freiburg,2,34,34,3060,34.0,61,1.79,167,112,67.7,8,12,14,5,14.7,7,7,0,0,0.0,Bundesliga,2018-2019,17577284562417651
34,Frosinone,2,38,38,3420,38.0,69,1.82,209,146,69.4,5,10,23,9,23.7,5,5,0,0,0.0,Serie A,2018-2019,87953309350363757
35,Fulham,3,38,38,3420,38.0,81,2.13,221,144,65.6,7,5,26,5,13.2,7,5,1,1,16.7,Premier League,2018-2019,19227944656237519
36,Genoa,3,38,38,3420,38.0,57,1.5,163,112,68.1,8,14,16,7,18.4,6,5,1,0,16.7,Serie A,2018-2019,87033800759594150
37,Getafe,2,38,38,3420,38.0,35,0.92,128,100,75.8,15,14,9,13,34.2,7,4,2,1,33.3,La Liga,2018-2019,23789167582387071
38,Girona,2,38,38,3420,38.0,53,1.39,198,155,77.3,9,10,19,9,23.7,8,8,0,0,0.0,La Liga,2018-2019,12545195302828957
39,Guingamp,2,38,38,3420,38.0,68,1.79,163,97,60.1,5,12,21,10,26.3,6,3,2,1,40.0,Ligue 1,2018-2019,16872092436156260
40,Hannover 96,3,34,34,3060,34.0,72,2.12,220,156,70.0,5,6,23,5,14.7,7,6,1,0,14.3,Bundesliga,2018-2019,10121335889457780
41,Hertha BSC,2,34,34,3060,34.0,57,1.68,154,102,65.6,11,10,13,9,26.5,6,4,1,1,20.0,Bundesliga,2018-2019,59737400018465050
42,Hoffenheim,2,34,34,3060,34.0,52,1.53,165,120,72.7,13,12,9,5,14.7,8,7,1,0,12.5,Bundesliga,2018-2019,29322720181807625
43,Huddersfield,3,38,38,3420,38.0,76,2.0,177,108,61.0,3,7,28,5,13.2,8,7,1,0,12.5,Premier League,2018-2019,70397411865897550
44,Huesca,3,38,38,3420,38.0,65,1.71,167,112,66.5,7,12,19,6,15.8,9,9,0,0,0.0,La Liga,2018-2019,16593090704373522
45,Inter,1,38,38,3420,38.0,33,0.87,128,101,76.6,20,9,9,17,44.7,5,3,0,2,0.0,Serie A,2018-2019,53198597771575973
46,Juventus,3,38,38,3420,38.0,30,0.79,107,79,73.8,28,6,4,16,42.1,4,2,1,1,33.3,Serie A,2018-2019,19371054131726661
47,Lazio,3,38,38,3420,38.0,46,1.21,147,107,72.1,17,8,13,10,26.3,7,5,2,0,28.6,Serie A,2018-2019,90751438076496109
48,Leganés,2,38,38,3420,38.0,43,1.13,129,89,69.0,11,12,15,11,28.9,4,3,1,0,25.0,La Liga,2018-2019,20237473683555152
49,Leicester City,1,38,38,3420,38.0,48,1.26,135,92,68.1,15,7,16,10,26.3,5,5,0,0,0.0,Premier League,2018-2019,18776461863573874
50,Levante,3,38,38,3420,38.0,66,1.74,216,161,73.1,11,11,16,7,18.4,9,8,1,0,11.1,La Liga,2018-2019,1566092639264277
51,Leverkusen,2,34,34,3060,34.0,54,1.59,137,91,63.5,18,4,12,9,26.5,6,4,2,0,33.3,Bundesliga,2018-2019,36794408106212849
52,Lille,1,38,38,3420,38.0,34,0.89,118,91,76.3,22,9,7,15,39.5,10,6,2,2,25.0,Ligue 1,2018-2019,85603837513355486
53,Liverpool,1,38,38,3420,38.0,22,0.58,96,74,77.1,30,7,1,21,55.3,1,0,0,1,0.0,Premier League,2018-2019,41956650829873911
54,Lyon,2,38,38,3420,38.0,47,1.24,146,107,71.2,21,9,8,10,26.3,5,5,0,0,0.0,Ligue 1,2018-2019,87005642993871754
55,M'Gladbach,1,34,34,3060,34.0,43,1.26,154,115,74.0,16,7,11,13,38.2,3,3,0,0,0.0,Bundesliga,2018-2019,81611584009946193
56,Mainz 05,2,34,34,3060,34.0,57,1.68,169,115,68.0,12,7,15,7,20.6,4,3,0,1,0.0,Bundesliga,2018-2019,71158960989778912
57,Manchester City,1,38,38,3420,38.0,23,0.61,76,57,75.0,32,2,4,20,52.6,4,4,0,0,0.0,Premier League,2018-2019,74026506610392765
58,Manchester Utd,1,38,38,3420,38.0,54,1.42,169,124,71.6,19,9,10,7,18.4,6,6,0,0,0.0,Premier League,2018-2019,29078730489839024
59,Marseille,2,38,38,3416,38.0,53,1.4,130,88,66.9,18,7,13,12,31.6,12,10,2,0,16.7,Ligue 1,2018-2019,66190039714113630
60,Milan,2,38,38,3420,38.0,36,0.95,133,102,75.9,19,11,8,12,31.6,5,4,1,0,20.0,Serie A,2018-2019,59378513948613436
61,Monaco,3,38,38,3420,38.0,57,1.5,142,92,63.4,8,12,18,8,21.1,8,5,3,0,37.5,Ligue 1,2018-2019,79093238158793616
62,Montpellier,2,38,38,3420,38.0,42,1.11,137,101,71.5,15,14,9,12,31.6,5,3,1,1,25.0,Ligue 1,2018-2019,32434714471076965
63,Nantes,3,38,38,3420,38.0,48,1.26,126,83,65.1,13,9,16,8,21.1,8,4,4,0,50.0,Ligue 1,2018-2019,25802633648495862
64,Napoli,3,38,38,3417,38.0,36,0.95,135,103,76.3,24,7,7,14,36.8,4,4,0,0,0.0,Serie A,2018-2019,10516137814401134
65,Newcastle Utd,1,38,38,3420,38.0,48,1.26,136,95,69.1,12,9,17,11,28.9,6,6,0,0,0.0,Premier League,2018-2019,29528772732587842
66,Nice,2,38,38,3420,38.0,35,0.92,153,122,79.1,15,11,12,16,42.1,6,3,3,0,50.0,Ligue 1,2018-2019,11720969662561653
67,Nîmes,1,38,38,3420,38.0,58,1.53,177,122,69.5,15,8,15,10,26.3,5,4,1,0,20.0,Ligue 1,2018-2019,83514802313158576
68,Nürnberg,2,34,34,3060,34.0,68,2.0,176,107,62.5,3,10,21,4,11.8,4,2,1,1,33.3,Bundesliga,2018-2019,10689243141507842
69,Paris S-G,2,38,38,3420,38.0,35,0.92,124,98,75.8,29,4,5,17,44.7,6,5,1,0,16.7,Ligue 1,2018-2019,11177590892093073
70,Parma,2,38,38,3420,38.0,61,1.61,200,151,73.5,10,11,17,10,26.3,8,8,0,0,0.0,Serie A,2018-2019,62695319081093388
71,Rayo Vallecano,2,38,38,3420,38.0,70,1.84,174,113,63.8,8,8,22,7,18.4,11,7,4,0,36.4,La Liga,2018-2019,75203699329351977
72,RB Leipzig,2,34,34,3060,34.0,30,0.88,111,88,77.5,19,9,6,16,47.1,6,5,0,1,0.0,Bundesliga,2018-2019,68159208261559796
73,Real Madrid,3,38,38,3420,38.0,46,1.21,133,93,69.9,21,5,12,12,31.6,8,6,1,1,14.3,La Liga,2018-2019,29627131003986350
74,Real Sociedad,2,38,38,3420,38.0,46,1.21,141,99,68.8,13,11,14,9,23.7,3,2,1,0,33.3,La Liga,2018-2019,57299950304530590
75,Reims,1,38,38,3420,38.0,42,1.11,147,114,76.2,13,16,9,14,36.8,7,7,0,0,0.0,Ligue 1,2018-2019,67732085073987538
76,Rennes,2,38,38,3420,38.0,52,1.37,152,105,68.4,13,13,12,11,28.9,5,4,1,0,20.0,Ligue 1,2018-2019,96819424452761337
77,Roma,2,38,38,3420,38.0,48,1.26,160,115,72.5,18,12,8,10,26.3,7,4,1,2,20.0,Serie A,2018-2019,764736481564168
78,Saint-Étienne,2,38,38,3420,38.0,41,1.08,152,119,77.6,19,9,10,13,34.2,9,7,1,1,12.5,Ligue 1,2018-2019,56226069621228236
79,Sampdoria,2,38,38,3420,38.0,51,1.34,144,100,69.4,15,8,15,13,34.2,8,7,1,0,12.5,Serie A,2018-2019,89407679695143145
80,Sassuolo,2,38,38,3415,38.0,60,1.58,156,102,64.1,9,16,13,12,31.6,8,4,3,1,42.9,Serie A,2018-2019,79200252522790650
81,Schalke 04,2,34,34,3057,34.0,55,1.62,157,106,68.2,8,9,17,7,20.6,6,5,1,0,16.7,Bundesliga,2018-2019,24345039935475884
82,Sevilla,3,38,38,3419,38.0,47,1.24,145,105,71.7,17,8,13,11,28.9,7,6,1,0,14.3,La Liga,2018-2019,22702270477938803
83,Southampton,3,38,38,3420,38.0,65,1.71,170,110,62.9,9,12,17,7,18.4,3,2,1,0,33.3,Premier League,2018-2019,21037626007536306
84,SPAL,4,38,38,3417,38.0,56,1.47,174,122,70.7,11,9,18,10,26.3,5,5,0,0,0.0,Serie A,2018-2019,73622612860183040
85,Strasbourg,2,38,38,3420,38.0,48,1.26,152,112,73.0,11,16,11,9,23.7,9,7,2,0,22.2,Ligue 1,2018-2019,92234479374253707
86,Stuttgart,1,34,34,3060,34.0,70,2.06,178,114,61.8,7,7,20,6,17.6,3,2,0,1,0.0,Bundesliga,2018-2019,81761661302668293
87,Torino,2,38,38,3420,38.0,37,0.97,144,110,76.4,16,15,7,15,39.5,5,3,2,0,40.0,Serie A,2018-2019,21846272194836439
88,Tottenham,3,38,38,3420,38.0,39,1.03,147,112,75.5,23,2,13,13,34.2,5,3,2,0,40.0,Premier League,2018-2019,22006624071753704
89,Toulouse,2,38,38,3416,38.0,58,1.53,175,123,69.7,8,14,16,9,23.7,6,5,1,0,16.7,Ligue 1,2018-2019,94523000561782573
90,Udinese,2,38,38,3420,38.0,53,1.39,169,125,74.0,11,10,17,9,23.7,9,9,0,0,0.0,Serie A,2018-2019,48393495896639342
91,Valencia,2,38,38,3420,38.0,35,0.92,146,119,80.8,15,16,7,13,34.2,8,7,1,0,12.5,La Liga,2018-2019,65158650443085242
92,Valladolid,2,38,38,3420,38.0,51,1.34,151,108,70.2,10,11,17,9,23.7,9,6,3,0,33.3,La Liga,2018-2019,44089518275887893
93,Villarreal,2,38,38,3420,38.0,52,1.37,186,140,73.7,10,14,14,11,28.9,5,3,1,1,25.0,La Liga,2018-2019,63335634096533483
94,Watford,1,38,38,3420,38.0,59,1.55,170,114,67.6,14,8,16,7,18.4,5,4,1,0,20.0,Premier League,2018-2019,73743918793554398
95,Werder Bremen,3,34,34,3060,34.0,49,1.44,156,110,71.2,14,11,9,5,14.7,5,4,0,1,0.0,Bundesliga,2018-2019,59303898890876434
96,West Ham,1,38,38,3420,38.0,55,1.45,192,140,73.4,15,7,16,7,18.4,5,4,1,0,20.0,Premier League,2018-2019,57680956417459581
97,Wolfsburg,2,34,34,3060,34.0,50,1.47,162,115,71.6,16,7,11,9,26.5,6,4,1,1,20.0,Bundesliga,2018-2019,85159484018358879
98,Wolves,3,38,38,3420,38.0,46,1.21,139,98,69.1,16,9,13,9,23.7,4,3,0,1,0.0,Premier League,2018-2019,24001928852251903
1,Alavés,2,38,38,3420,38.0,50,1.32,177,136,75.7,15,2,21,12,31.6,11,7,3,1,30.0,La Liga,2017-2018,37745278530914180
2,Amiens,2,38,38,3420,38.0,42,1.11,184,146,79.3,12,9,17,11,28.9,4,4,0,0,0.0,Ligue 1,2017-2018,20069478421376018
3,Angers,3,38,38,3420,38.0,52,1.37,143,101,68.5,9,14,15,6,15.8,7,7,0,0,0.0,Ligue 1,2017-2018,66587352409382849
4,Arsenal,2,38,38,3420,38.0,51,1.34,142,94,67.6,19,6,13,13,34.2,6,5,1,0,16.7,Premier League,2017-2018,5838645288327307
5,Atalanta,3,38,38,3420,38.0,39,1.03,118,80,67.8,16,12,10,11,28.9,2,1,1,0,50.0,Serie A,2017-2018,87465877057901989
6,Athletic Club,2,38,38,3420,38.0,49,1.29,161,118,71.4,10,13,15,11,28.9,6,3,3,0,50.0,La Liga,2017-2018,4823083458145023
7,Atlético Madrid,2,38,38,3420,38.0,22,0.58,129,109,83.7,23,10,5,23,60.5,4,1,3,0,75.0,La Liga,2017-2018,74713976168286555
8,Augsburg,2,34,34,3060,34.0,46,1.35,165,121,73.3,10,11,13,9,26.5,3,2,1,0,33.3,Bundesliga,2017-2018,82828683183786310
9,Barcelona,2,38,38,3420,38.0,29,0.76,136,109,80.1,28,9,1,19,50.0,2,2,0,0,0.0,La Liga,2017-2018,81744823723090567
10,Bayern Munich,3,34,34,3060,34.0,28,0.82,93,69,71.0,27,3,4,16,47.1,5,1,4,0,80.0,Bundesliga,2017-2018,7510926916741648
11,Benevento,3,38,38,3418,38.0,89,2.34,203,130,61.1,6,3,29,4,10.5,13,10,0,3,0.0,Serie A,2017-2018,38159059008947812
12,Betis,3,38,38,3420,38.0,61,1.61,153,99,62.1,18,6,14,13,34.2,4,3,1,0,25.0,La Liga,2017-2018,9423348454032625
13,Bologna,3,38,38,3420,38.0,52,1.37,164,116,70.1,11,6,21,8,21.1,4,3,0,1,0.0,Serie A,2017-2018,23275147453355121
14,Bordeaux,2,38,38,3420,38.0,48,1.26,127,84,65.4,16,7,15,10,26.3,9,4,4,1,50.0,Ligue 1,2017-2018,12683680850395737
15,Bournemouth,1,38,38,3420,38.0,61,1.61,171,113,65.5,11,11,16,6,15.8,4,2,1,1,33.3,Premier League,2017-2018,36088947257895306
16,Brighton,1,38,38,3420,38.0,54,1.42,171,121,69.0,9,13,16,10,26.3,3,1,2,0,66.7,Premier League,2017-2018,49072214318111932
17,Burnley,2,38,38,3420,38.0,39,1.03,160,123,77.5,14,12,12,12,31.6,5,3,1,1,25.0,Premier League,2017-2018,21823480134907726
18,Caen,2,38,38,3420,38.0,52,1.37,151,108,68.9,10,8,20,13,34.2,5,5,0,0,0.0,Ligue 1,2017-2018,21277886218272520
19,Cagliari,3,38,38,3420,38.0,61,1.61,162,108,67.3,11,6,21,8,21.1,12,8,2,2,20.0,Serie A,2017-2018,32968728316179674
20,Celta Vigo,3,38,38,3416,38.0,60,1.58,167,112,66.5,13,10,15,7,18.4,5,4,0,1,0.0,La Liga,2017-2018,14218303985450920
21,Chelsea,2,38,38,3420,38.0,38,1.0,116,81,69.0,21,7,10,16,42.1,2,2,0,0,0.0,Premier League,2017-2018,58172670324373785
22,Chievo,1,38,38,3420,38.0,59,1.55,180,126,69.4,10,10,18,7,18.4,8,4,3,1,42.9,Serie A,2017-2018,83748145049842906
23,Crotone,1,38,38,3420,38.0,66,1.74,199,138,69.8,9,8,21,5,13.2,8,6,1,1,14.3,Serie A,2017-2018,33431629624225246
24,Crystal Palace,2,38,38,3420,38.0,55,1.45,167,116,68.3,11,11,16,9,23.7,2,2,0,0,0.0,Premier League,2017-2018,15352059381074619
25,Dijon,1,38,38,3420,38.0,73,1.92,198,139,68.7,13,9,16,5,13.2,15,11,3,1,21.4,Ligue 1,2017-2018,59239312409540653
26,Dortmund,2,34,34,3060,34.0,47,1.38,147,102,69.4,15,10,9,12,35.3,2,2,0,0,0.0,Bundesliga,2017-2018,6921931827204601
27,Eibar,3,38,38,3420,38.0,50,1.32,130,88,64.6,14,9,15,11,28.9,4,4,0,0,0.0,La Liga,2017-2018,67267904110326262
28,Eint Frankfurt,1,34,34,3060,34.0,45,1.32,133,91,67.7,14,7,13,7,20.6,3,2,0,1,0.0,Bundesliga,2017-2018,37929111009288632
29,Espanyol,2,38,38,3420,38.0,42,1.11,166,130,77.1,12,13,13,12,31.6,7,4,2,1,33.3,La Liga,2017-2018,71314269182841176
30,Everton,1,38,38,3420,38.0,58,1.53,175,119,68.6,13,10,15,10,26.3,5,3,1,1,25.0,Premier League,2017-2018,57482013681231466
31,Fiorentina,2,38,38,3419,38.0,46,1.21,152,105,71.1,16,9,13,14,36.8,3,2,1,0,33.3,Serie A,2017-2018,24325362613855847
32,Freiburg,2,34,34,3060,34.0,56,1.65,149,101,65.1,8,12,14,9,26.5,5,4,0,1,0.0,Bundesliga,2017-2018,17577284562417651
33,Genoa,2,38,38,3420,38.0,43,1.13,170,133,77.1,11,8,19,12,31.6,4,4,0,0,0.0,Serie A,2017-2018,87033800759594150
34,Getafe,2,38,38,3420,38.0,33,0.87,127,96,75.6,15,10,13,14,36.8,4,2,1,1,33.3,La Liga,2017-2018,23789167582387071
35,Girona,2,38,38,3420,38.0,59,1.55,173,121,68.2,14,9,15,11,28.9,5,4,0,1,0.0,La Liga,2017-2018,12545195302828957
36,Guingamp,1,38,38,3420,38.0,59,1.55,169,116,68.0,12,11,15,11,28.9,7,5,2,0,28.6,Ligue 1,2017-2018,16872092436156260
37,Hamburger SV,2,34,34,3060,34.0,53,1.56,140,89,64.3,8,7,19,7,20.6,4,3,0,1,0.0,Bundesliga,2017-2018,42905483414913667
38,Hannover 96,2,34,34,3060,34.0,54,1.59,173,119,69.9,10,9,15,5,14.7,4,2,0,2,0.0,Bundesliga,2017-2018,10121335889457780
39,Hellas Verona,2,38,38,3420,38.0,78,2.05,257,186,72.0,7,4,27,7,18.4,8,6,2,0,25.0,Serie A,2017-2018,45227680351245381
40,Hertha BSC,2,34,34,3060,34.0,46,1.35,142,103,71.8,10,13,11,8,23.5,7,6,0,1,0.0,Bundesliga,2017-2018,59737400018465050
41,Hoffenheim,1,34,34,3060,34.0,48,1.41,146,104,69.2,15,10,9,10,29.4,4,3,1,0,25.0,Bundesliga,2017-2018,29322720181807625
42,Huddersfield,1,38,38,3420,38.0,57,1.5,153,97,65.4,9,10,19,10,26.3,6,4,2,0,33.3,Premier League,2017-2018,70397411865897550
43,Inter,1,38,38,3420,38.0,30,0.79,119,94,76.5,20,12,6,17,44.7,2,2,0,0,0.0,Serie A,2017-2018,53198597771575973
44,Juventus,3,38,38,3420,38.0,24,0.63,94,73,77.7,30,5,3,22,57.9,4,3,1,0,25.0,Serie A,2017-2018,19371054131726661
45,Köln,1,34,34,3060,34.0,70,2.06,197,135,68.5,5,7,22,5,14.7,9,8,1,0,11.1,Bundesliga,2017-2018,39731782814123330
46,La Coruña,5,38,38,3415,38.0,76,2.0,179,110,59.8,6,11,21,6,15.8,5,4,1,0,20.0,La Liga,2017-2018,31828180925314031
47,Las Palmas,2,38,38,3420,38.0,74,1.95,213,145,67.6,5,7,26,5,13.2,5,5,0,0,0.0,La Liga,2017-2018,33189055458748528
48,Lazio,1,38,38,3420,38.0,49,1.29,153,112,73.9,21,9,8,11,28.9,11,9,1,1,10.0,Serie A,2017-2018,90751438076496109
49,Leganés,3,38,38,3420,38.0,51,1.34,161,116,72.0,12,7,19,14,36.8,7,6,1,0,14.3,La Liga,2017-2018,20237473683555152
50,Leicester City,3,38,38,3420,38.0,60,1.58,161,104,64.0,12,11,15,9,23.7,4,2,2,0,50.0,Premier League,2017-2018,18776461863573874
51,Levante,3,38,38,3420,38.0,58,1.53,178,128,70.2,11,13,14,10,26.3,6,5,0,1,0.0,La Liga,2017-2018,1566092639264277
52,Leverkusen,2,34,34,3060,34.0,44,1.29,111,71,64.9,15,10,9,10,29.4,6,5,1,0,16.7,Bundesliga,2017-2018,36794408106212849
53,Lille,2,38,38,3393,38.0,64,1.7,183,124,67.2,10,8,20,5,13.2,7,4,2,1,33.3,Ligue 1,2017-2018,85603837513355486
54,Liverpool,2,38,38,3420,38.0,38,1.0,96,60,64.6,21,12,5,17,44.7,6,4,2,0,33.3,Premier League,2017-2018,41956650829873911
55,Lyon,2,38,38,3420,38.0,43,1.13,147,112,74.1,23,9,6,15,39.5,8,5,2,1,28.6,Ligue 1,2017-2018,87005642993871754
56,M'Gladbach,2,34,34,3060,34.0,52,1.53,169,120,71.6,13,8,13,7,20.6,4,4,0,0,0.0,Bundesliga,2017-2018,81611584009946193
57,Mainz 05,3,34,34,3060,34.0,52,1.53,136,89,65.4,9,9,16,7,20.6,7,5,1,1,16.7,Bundesliga,2017-2018,71158960989778912
