Rk,Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,League,Season,TeamID
70,Parma,2,38,38,3420,38.0,83,2.18,186,106,57.0,3,11,24,5,13.2,3,3,0,0,0.0,Serie A,2020-2021,62695319081093388
71,RB Leipzig,2,34,34,3060,34.0,32,0.94,81,50,64.2,19,8,7,15,44.1,3,3,0,0,0.0,Bundesliga,2020-2021,68159208261559796
72,Real Madrid,1,38,38,3420,38.0,28,0.74,111,90,81.1,25,9,4,17,44.7,9,7,2,0,22.2,La Liga,2020-2021,29627131003986350
73,Real Sociedad,1,38,38,3420,38.0,38,1.0,100,66,65.0,17,11,10,14,36.8,5,3,1,1,25.0,La Liga,2020-2021,57299950304530590
74,Reims,2,38,38,3420,38.0,50,1.32,162,118,72.2,9,15,14,10,26.3,8,5,2,1,28.6,Ligue 1,2020-2021,67732085073987538
75,Rennes,3,38,38,3420,38.0,40,1.05,128,90,71.1,16,10,12,10,26.3,4,3,0,1,0.0,Ligue 1,2020-2021,96819424452761337
76,Roma,3,38,38,3420,38.0,55,1.45,161,113,68.9,18,8,11,11,28.9,6,5,1,0,16.7,Serie A,2020-2021,764736481564168
77,Saint-Étienne,3,38,38,3420,38.0,54,1.42,128,79,62.5,12,10,16,12,31.6,9,6,1,2,14.3,Ligue 1,2020-2021,56226069621228236
78,Sampdoria,2,38,38,3420,38.0,54,1.42,166,118,71.7,15,7,16,7,18.4,9,7,2,0,22.2,Serie A,2020-2021,89407679695143145
79,Sassuolo,2,38,38,3420,38.0,56,1.47,181,128,71.3,17,11,10,8,21.1,5,4,1,0,20.0,Serie A,2020-2021,79200252522790650
80,Schalke 04,3,34,34,3060,34.0,86,2.53,227,153,65.2,3,7,24,4,11.8,8,7,1,0,12.5,Bundesliga,2020-2021,24345039935475884
81,Sevilla,2,38,38,3420,38.0,33,0.87,114,87,74.6,24,5,9,17,44.7,6,4,2,0,33.3,La Liga,2020-2021,22702270477938803
