Rk,Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90,League,Season,TeamID
34,Genoa,30,28.2,11,990,90,100,11.0,121,76.0,68.0,54,32,76,0.73,15,22,-7,-0.64,13.5,16.1,-2.5,-0.23,Serie A,2021-2022,87033800759594150
35,Getafe,26,27.1,12,1080,90,100,12.0,132,80.0,75.0,54,24,73,0.5,6,18,-12,-1.0,8.0,16.7,-8.7,-0.73,La Liga,2021-2022,23789167582387071
36,Granada,25,28.8,11,990,90,100,11.0,121,80.0,69.0,52,24,67,1.0,11,14,-3,-0.27,7.5,15.1,-7.6,-0.76,La Liga,2021-2022,45137124328012624
37,Greuther Fürth,25,26.4,10,900,90,100,10.0,110,83.0,71.0,39,20,47,0.1,7,27,-20,-2.0,10.6,18.8,-8.3,-0.83,Bundesliga,2021-2022,11035944553035865
38,Hellas Verona,24,27.1,11,990,90,100,11.0,121,78.0,66.0,54,27,75,1.36,24,20,4,0.36,15.5,15.6,-0.1,-0.01,Serie A,2021-2022,45227680351245381
39,Hertha BSC,27,26.8,10,900,90,100,10.0,110,77.0,63.0,47,30,43,1.2,11,23,-12,-1.2,10.1,17.3,-7.2,-0.72,Bundesliga,2021-2022,59737400018465050
40,Hoffenheim,22,26.4,10,900,90,100,10.0,110,80.0,64.0,46,24,43,1.4,19,15,4,0.4,17.0,13.2,3.8,0.38,Bundesliga,2021-2022,29322720181807625
41,Inter,23,29.2,11,990,90,100,11.0,121,81.0,67.0,54,20,77,2.18,28,12,16,1.45,21.9,14.0,7.9,0.72,Serie A,2021-2022,53198597771575973
42,Juventus,24,28.4,11,990,90,100,11.0,121,80.0,73.0,48,25,74,1.36,15,15,0,0.0,14.5,12.8,1.7,0.15,Serie A,2021-2022,19371054131726661
43,Köln,22,27.8,10,900,90,100,10.0,110,81.0,61.0,48,20,42,1.3,15,18,-3,-0.3,14.7,16.8,-2.1,-0.21,Bundesliga,2021-2022,39731782814123330
44,Lazio,23,30.3,11,990,90,100,11.0,121,81.0,69.0,50,21,82,1.64,22,19,3,0.27,16.2,16.4,-0.2,-0.02,Serie A,2021-2022,90751438076496109
45,Leeds United,23,26.5,10,900,90,100,10.0,110,84.0,83.0,27,23,63,1.0,10,17,-7,-0.7,13.2,16.5,-3.2,-0.32,Premier League,2021-2022,34570153325607342
46,Leicester City,22,27.5,10,900,90,100,10.0,110,83.0,79.0,30,25,60,1.4,15,17,-2,-0.2,15.5,14.9,0.6,0.06,Premier League,2021-2022,18776461863573874
47,Lens,23,27.1,12,1080,90,100,12.0,132,83.0,78.0,54,15,54,1.75,21,14,7,0.58,20.9,13.0,7.8,0.65,Ligue 1,2021-2022,74951719010833888
48,Levante,26,28.5,12,1080,90,100,12.0,132,81.0,76.0,55,22,76,0.5,11,23,-12,-1.0,13.8,13.5,0.3,0.03,La Liga,2021-2022,1566092639264277
49,Leverkusen,23,24.7,10,900,90,100,10.0,110,82.0,65.0,44,19,42,1.7,23,16,7,0.7,15.4,15.2,0.2,0.02,Bundesliga,2021-2022,36794408106212849
50,Lille,22,26.7,12,1080,90,100,12.0,132,84.0,86.0,46,18,62,1.25,15,18,-3,-0.25,17.7,13.5,4.2,0.35,Ligue 1,2021-2022,85603837513355486
51,Liverpool,24,28.0,10,900,90,100,10.0,110,85.0,83.0,27,21,63,2.2,29,8,21,2.1,26.3,11.2,15.0,1.5,Premier League,2021-2022,41956650829873911
52,Lorient,25,27.1,12,1080,90,100,12.0,132,84.0,83.0,47,16,62,1.25,12,18,-6,-0.5,14.1,20.0,-5.9,-0.5,Ligue 1,2021-2022,37325341301512527
53,Lyon,25,26.3,12,1080,90,100,12.0,132,81.0,83.0,45,22,62,1.58,20,17,3,0.25,21.8,19.0,2.9,0.24,Ligue 1,2021-2022,87005642993871754
54,M'Gladbach,22,26.3,10,900,90,100,10.0,110,82.0,75.0,35,25,55,1.4,12,13,-1,-0.1,18.2,13.1,5.0,0.5,Bundesliga,2021-2022,81611584009946193
55,Mainz 05,26,26.4,10,900,90,100,10.0,110,82.0,63.0,46,20,42,1.6,14,10,4,0.4,15.4,10.5,5.0,0.5,Bundesliga,2021-2022,71158960989778912
56,Mallorca,27,28.0,12,1080,90,100,12.0,132,81.0,73.0,58,19,85,1.17,11,17,-6,-0.5,10.9,15.3,-4.4,-0.37,La Liga,2021-2022,96459977719332900
57,Manchester City,22,27.1,10,900,90,100,10.0,110,85.0,82.0,27,18,63,2.0,20,6,14,1.4,21.9,7.4,14.5,1.45,Premier League,2021-2022,74026506610392765
58,Manchester Utd,21,27.5,10,900,90,100,10.0,110,84.0,80.0,30,19,60,1.7,19,15,4,0.4,14.9,15.4,-0.5,-0.05,Premier League,2021-2022,29078730489839024
59,Marseille,23,25.0,12,1080,90,100,12.0,132,83.0,83.0,47,19,61,1.83,20,12,8,0.67,17.6,15.4,2.3,0.19,Ligue 1,2021-2022,66190039714113630
60,Metz,29,26.0,12,1080,90,100,12.0,132,80.0,85.0,48,26,59,0.58,13,27,-14,-1.17,10.2,18.5,-8.3,-0.69,Ligue 1,2021-2022,14635757597311544
61,Milan,26,25.8,11,990,90,100,11.0,121,80.0,70.0,51,24,72,2.82,25,10,15,1.36,19.3,10.5,8.8,0.8,Serie A,2021-2022,59378513948613436
62,Monaco,25,24.7,12,1080,90,100,12.0,132,80.0,71.0,60,22,48,1.42,17,16,1,0.08,15.7,13.7,1.9,0.16,Ligue 1,2021-2022,79093238158793616
63,Montpellier,22,26.0,12,1080,90,100,12.0,132,84.0,78.0,51,16,57,1.33,20,19,1,0.08,14.3,16.1,-1.8,-0.15,Ligue 1,2021-2022,32434714471076965
64,Nantes,21,27.0,12,1080,90,100,12.0,132,83.0,77.0,54,16,52,1.42,16,14,2,0.17,14.2,14.1,0.1,0.01,Ligue 1,2021-2022,25802633648495862
65,Napoli,25,27.9,11,990,90,100,11.0,121,82.0,71.0,49,17,69,2.82,23,3,20,1.82,20.3,6.9,13.4,1.22,Serie A,2021-2022,10516137814401134
66,Newcastle Utd,22,27.8,10,900,90,100,10.0,110,86.0,82.0,28,17,62,0.4,11,23,-12,-1.2,9.8,18.8,-9.0,-0.9,Premier League,2021-2022,29528772732587842
67,Nice,23,25.4,12,1080,90,100,12.0,132,82.0,81.0,52,20,55,2.0,23,9,14,1.17,24.6,12.6,11.9,1.0,Ligue 1,2021-2022,11720969662561653
68,Norwich City,22,26.6,10,900,90,100,10.0,110,85.0,79.0,30,18,60,0.2,3,25,-22,-2.2,7.9,19.1,-11.2,-1.12,Premier League,2021-2022,42809968147687487
69,Osasuna,26,28.2,12,1080,90,100,12.0,132,84.0,77.0,54,15,89,1.58,14,15,-1,-0.08,13.2,12.6,0.6,0.05,La Liga,2021-2022,83352675823776457
70,Paris S-G,27,27.8,12,1080,90,100,12.0,132,84.0,86.0,45,16,63,2.58,26,11,15,1.25,21.2,11.0,10.2,0.85,Ligue 1,2021-2022,11177590892093073
71,Rayo Vallecano,25,27.6,12,1080,90,100,12.0,132,80.0,72.0,59,21,85,1.67,18,12,6,0.5,13.6,15.2,-1.6,-0.14,La Liga,2021-2022,75203699329351977
72,RB Leipzig,23,25.5,10,900,90,100,10.0,110,81.0,65.0,45,21,45,1.5,21,10,11,1.1,21.6,14.3,7.3,0.73,Bundesliga,2021-2022,68159208261559796
73,Real Madrid,25,28.0,11,990,90,100,11.0,121,82.0,75.0,47,21,71,2.18,26,12,14,1.27,17.1,14.1,3.0,0.27,La Liga,2021-2022,29627131003986350
74,Real Sociedad,27,25.6,12,1080,90,100,12.0,132,82.0,72.0,59,18,64,2.08,17,10,7,0.58,16.8,11.6,5.2,0.43,La Liga,2021-2022,57299950304530590
75,Reims,25,24.8,12,1080,90,100,12.0,132,79.0,79.0,52,26,56,0.92,14,17,-3,-0.25,11.1,12.9,-1.8,-0.15,Ligue 1,2021-2022,67732085073987538
76,Rennes,26,25.8,12,1080,90,100,12.0,132,82.0,77.0,54,18,54,1.58,18,11,7,0.58,16.2,14.6,1.7,0.14,Ligue 1,2021-2022,96819424452761337
77,Roma,24,26.6,11,990,90,100,11.0,121,84.0,77.0,42,17,90,1.73,19,12,7,0.64,19.3,12.7,6.6,0.6,Serie A,2021-2022,764736481564168
78,Saint-Étienne,28,24.9,12,1080,90,100,12.0,132,78.0,70.0,60,25,48,0.5,12,26,-14,-1.17,14.1,18.8,-4.7,-0.4,Ligue 1,2021-2022,56226069621228236
79,Salernitana,25,28.2,11,990,90,100,11.0,121,79.0,66.0,53,23,70,0.64,10,23,-13,-1.18,11.6,16.7,-5.1,-0.46,Serie A,2021-2022,63444195793016658
80,Sampdoria,22,29.4,11,990,90,100,11.0,121,82.0,75.0,46,20,82,0.82,14,23,-9,-0.82,11.4,16.9,-5.5,-0.5,Serie A,2021-2022,89407679695143145
81,Sassuolo,22,26.9,11,990,90,100,11.0,121,83.0,69.0,52,16,75,1.27,15,15,0,0.0,15.0,16.6,-1.6,-0.15,Serie A,2021-2022,79200252522790650
82,Sevilla,26,29.0,11,990,90,100,11.0,121,78.0,66.0,53,27,77,2.18,19,7,12,1.09,16.0,9.3,6.7,0.61,La Liga,2021-2022,22702270477938803
83,Southampton,21,25.8,10,900,90,100,10.0,110,85.0,80.0,29,19,61,1.1,9,12,-3,-0.3,14.7,13.8,1.0,0.1,Premier League,2021-2022,21037626007536306
84,Spezia,26,24.6,11,990,90,100,11.0,121,82.0,79.0,40,24,55,0.73,12,26,-14,-1.27,11.0,19.0,-8.1,-0.73,Serie A,2021-2022,41730244034743257
85,Strasbourg,23,27.6,12,1080,90,100,12.0,132,83.0,80.0,50,18,55,1.42,22,16,6,0.5,16.0,16.6,-0.6,-0.05,Ligue 1,2021-2022,92234479374253707
86,Stuttgart,28,24.9,10,900,90,100,10.0,110,80.0,64.0,45,23,44,1.0,15,19,-4,-0.4,12.2,15.7,-3.4,-0.34,Bundesliga,2021-2022,81761661302668293
87,Torino,26,25.5,11,990,90,100,11.0,121,80.0,71.0,50,24,80,1.27,15,11,4,0.36,13.8,11.1,2.8,0.25,Serie A,2021-2022,21846272194836439
88,Tottenham,21,26.6,10,900,90,100,10.0,110,85.0,85.0,24,21,66,1.5,9,16,-7,-0.7,10.3,13.0,-2.7,-0.27,Premier League,2021-2022,22006624071753704
89,Troyes,28,27.7,12,1080,90,100,12.0,132,81.0,76.0,54,20,52,1.08,13,17,-4,-0.33,12.6,16.7,-4.0,-0.34,Ligue 1,2021-2022,57069542099991496
90,Udinese,21,27.2,11,990,90,100,11.0,121,82.0,69.0,51,19,79,1.0,12,16,-4,-0.36,13.6,14.6,-1.0,-0.09,Serie A,2021-2022,48393495896639342
91,Union Berlin,23,28.6,10,900,90,100,10.0,110,82.0,64.0,45,19,45,1.6,15,15,0,0.0,12.6,13.4,-0.8,-0.08,Bundesliga,2021-2022,71630543971501382
92,Valencia,26,26.1,12,1080,90,100,12.0,132,81.0,75.0,55,21,73,1.33,18,17,1,0.08,14.1,11.6,2.6,0.21,La Liga,2021-2022,65158650443085242
93,Venezia,29,26.4,11,990,90,100,11.0,121,78.0,67.0,54,26,76,0.82,8,17,-9,-0.82,9.9,14.7,-4.8,-0.44,Serie A,2021-2022,94916874898547392
94,Villarreal,26,28.1,11,990,90,100,11.0,121,79.0,67.0,53,24,67,1.09,13,12,1,0.09,13.8,13.1,0.7,0.07,La Liga,2021-2022,63335634096533483
95,Watford,26,28.8,10,900,90,100,10.0,110,83.0,80.0,30,27,60,1.0,12,18,-6,-0.6,11.1,18.7,-7.6,-0.76,Premier League,2021-2022,73743918793554398
96,West Ham,18,28.7,10,900,90,100,10.0,110,89.0,86.0,23,7,67,2.0,20,11,9,0.9,16.7,10.2,6.5,0.65,Premier League,2021-2022,57680956417459581
97,Wolfsburg,24,26.5,10,900,90,100,10.0,110,83.0,69.0,39,19,49,1.6,11,12,-1,-0.1,16.4,12.9,3.5,0.35,Bundesliga,2021-2022,85159484018358879
98,Wolves,18,28.1,10,900,90,100,10.0,110,87.0,82.0,28,11,61,1.6,11,10,1,0.1,11.9,10.3,1.5,0.17,Premier League,2021-2022,24001928852251903
1,Alavés,30,28.7,38,3420,90,100,38.0,418,82.0,248.0,163,20,254,1.0,36,57,-21,-0.55,42.4,50.8,-8.3,-0.22,La Liga,2020-2021,37745278530914180
2,Angers,31,27.9,38,3420,90,100,38.0,418,81.0,247.0,170,21,168,1.16,40,58,-18,-0.47,41.8,50.9,-9.1,-0.24,Ligue 1,2020-2021,66587352409382849
3,Arminia,26,26.0,34,3060,90,100,34.0,374,83.0,227.0,147,17,157,1.03,26,52,-26,-0.76,30.7,55.7,-25.0,-0.73,Bundesliga,2020-2021,60726784699523350
4,Arsenal,29,25.9,38,3420,90,100,38.0,418,84.0,301.0,114,19,201,1.61,55,39,16,0.42,53.5,44.3,9.2,0.24,Premier League,2020-2021,5838645288327307
5,Aston Villa,24,25.2,38,3420,90,100,38.0,418,86.0,324.0,91,17,229,1.45,55,46,9,0.24,52.9,52.9,0.1,0.0,Premier League,2020-2021,14348480492050895
6,Atalanta,30,27.3,38,3420,90,100,38.0,418,80.0,240.0,176,23,253,2.05,90,47,43,1.13,77.2,42.3,34.9,0.92,Serie A,2020-2021,87465877057901989
7,Athletic Club,27,26.6,38,3420,90,100,38.0,418,81.0,240.0,177,22,242,1.21,46,42,4,0.11,44.4,36.3,8.1,0.21,La Liga,2020-2021,4823083458145023
8,Atlético Madrid,25,27.3,38,3420,90,100,38.0,418,82.0,272.0,148,23,231,2.26,67,25,42,1.11,52.4,32.7,19.6,0.52,La Liga,2020-2021,74713976168286555
9,Augsburg,25,27.0,34,3060,90,100,34.0,374,82.0,231.0,141,21,159,1.06,36,54,-18,-0.53,36.1,55.6,-19.4,-0.57,Bundesliga,2020-2021,82828683183786310
10,Barcelona,25,26.4,38,3420,90,100,38.0,418,82.0,260.0,158,22,260,2.08,85,38,47,1.24,78.9,39.6,39.3,1.03,La Liga,2020-2021,81744823723090567
