Rk,Squad,# Pl,90s,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,League,Season,TeamID
38,Hannover 96,26,34.0,10882,14890,73.1,221155,91148,4006,4929,81.3,4817,5966,80.7,1869,3408,54.8,26,32.2,-4.2,307,807,208,79,1113,Bundesliga,2017-2018,10121335889457780
39,Hellas Verona,32,38.0,11493,15515,74.1,233720,85245,4685,5591,83.8,4661,5722,81.5,1959,3679,53.2,19,20.9,-4.9,237,763,192,64,944,Serie A,2017-2018,45227680351245381
40,Hertha BSC,25,34.0,11673,15389,75.9,237392,85240,4535,5391,84.1,4949,5949,83.2,2025,3532,57.3,32,27.0,7.0,224,815,176,64,982,Bundesliga,2017-2018,59737400018465050
41,Hoffenheim,26,34.0,13769,17276,79.7,273134,97750,5191,5995,86.6,6362,7277,87.4,2029,3492,58.1,47,38.7,5.3,355,988,301,71,1364,Bundesliga,2017-2018,29322720181807625
42,Huddersfield,25,38.0,12081,16536,73.1,242916,91366,5040,5931,85.0,4761,6010,79.2,2025,3881,52.2,19,21.9,-2.9,243,866,181,72,942,Premier League,2017-2018,70397411865897550
43,Inter,22,38.0,18750,22639,82.8,348644,115080,8128,9077,89.5,7957,9135,87.1,2405,3811,63.1,34,44.4,-2.4,448,1423,388,120,1488,Serie A,2017-2018,53198597771575973
44,Juventus,24,38.0,20058,23398,85.7,408358,115305,7245,8105,89.4,9361,10334,90.6,3262,4447,73.4,39,38.3,23.7,410,1429,340,110,1466,Serie A,2017-2018,19371054131726661
45,Köln,31,34.0,11700,15704,74.5,242131,94026,4414,5329,82.8,5086,6120,83.1,2062,3788,54.4,24,28.7,-4.7,275,1036,247,66,1209,Bundesliga,2017-2018,39731782814123330
46,La Coruña,32,38.0,12284,16487,74.5,245888,89568,4931,6008,82.1,5316,6586,80.7,1942,3567,54.4,30,34.3,-4.3,328,1049,288,90,1199,La Liga,2017-2018,31828180925314031
47,Las Palmas,36,38.0,15166,19085,79.5,285286,97820,6557,7629,85.9,6486,7627,85.0,1951,3379,57.7,15,23.6,-8.6,291,1034,266,69,1166,La Liga,2017-2018,33189055458748528
48,Lazio,24,38.0,16308,20211,80.7,317283,110399,6506,7524,86.5,7166,8276,86.6,2376,3758,63.2,51,42.4,22.6,438,1393,397,89,1643,Serie A,2017-2018,90751438076496109
49,Leganés,28,38.0,10185,14621,69.7,205502,83983,4261,5354,79.6,4138,5326,77.7,1677,3553,47.2,23,28.2,-5.2,289,894,203,80,974,La Liga,2017-2018,20237473683555152
50,Leicester City,27,38.0,12332,16782,73.5,253307,93951,4962,5897,84.1,4916,6047,81.3,2180,4148,52.6,38,31.9,6.1,284,977,229,73,1072,Premier League,2017-2018,18776461863573874
