Rk,Squad,# Pl,90s,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,League,Season,TeamID
11,Bayern Munich,22,10.0,5641,6663,84.7,107101,36371,2307,2568,89.8,2473,2780,89.0,752,1065,70.6,28,21.4,6.6,138,403,129,18,535,Bundesliga,2021-2022,7510926916741648
12,Betis,29,12.0,5217,6290,82.9,100364,32425,2171,2424,89.6,2239,2516,89.0,708,1129,62.7,13,12.3,0.7,134,380,120,17,423,La Liga,2021-2022,9423348454032625
13,Bochum,24,10.0,2611,3706,70.5,59911,23058,907,1132,80.1,999,1253,79.7,640,1155,55.4,5,9.3,-4.3,80,217,52,22,201,Bundesliga,2021-2022,26656491983030423
14,Bologna,24,11.0,3880,4743,81.8,74446,25444,1655,1858,89.1,1531,1763,86.8,600,925,64.9,14,7.2,4.8,99,250,84,34,272,Serie A,2021-2022,23275147453355121
15,Bordeaux,28,12.0,4535,5590,81.1,93212,31281,1706,1926,88.6,1991,2272,87.6,764,1210,63.1,10,8.1,1.9,96,289,70,18,346,Ligue 1,2021-2022,12683680850395737
16,Brentford,21,10.0,2863,4001,71.6,56732,21933,1161,1387,83.7,1220,1530,79.7,426,903,47.2,6,8.1,-2.1,75,208,70,23,251,Premier League,2021-2022,27125852983275500
17,Brest,22,12.0,4076,5195,78.5,85375,31078,1490,1736,85.8,1758,2064,85.2,751,1182,63.5,8,8.8,-0.8,93,319,97,33,358,Ligue 1,2021-2022,27328509848090670
18,Brighton,21,10.0,4475,5473,81.8,88579,27108,1698,1899,89.4,2056,2328,88.3,639,1032,61.9,9,7.3,1.7,88,251,83,14,310,Premier League,2021-2022,49072214318111932
19,Burnley,18,10.0,2556,3728,68.6,54276,22608,1082,1310,82.6,918,1187,77.3,515,1073,48.0,8,8.4,-0.4,82,230,78,32,238,Premier League,2021-2022,21823480134907726
20,Cádiz,26,12.0,2533,3786,66.9,55306,22970,959,1174,81.7,996,1309,76.1,512,1116,45.9,6,7.1,-1.1,75,213,69,31,235,La Liga,2021-2022,1007679934589500
21,Cagliari,26,11.0,3145,4078,77.1,64720,23250,1154,1332,86.6,1420,1639,86.6,523,951,55.0,9,7.2,1.8,72,210,60,21,229,Serie A,2021-2022,32968728316179674
22,Celta Vigo,22,12.0,4895,6117,80.0,100951,28821,1819,2079,87.5,2107,2427,86.8,888,1386,64.1,7,9.5,-2.5,86,322,87,26,348,La Liga,2021-2022,14218303985450920
23,Chelsea,25,10.0,5006,5856,85.5,91264,28037,2178,2364,92.1,2166,2423,89.4,562,862,65.2,16,12.6,3.4,104,339,109,12,362,Premier League,2021-2022,58172670324373785
24,Clermont Foot,20,12.0,5459,6517,83.8,102840,32616,2368,2625,90.2,2247,2548,88.2,747,1121,66.6,10,12.2,-2.2,94,327,77,30,368,Ligue 1,2021-2022,54976968050746588
25,Crystal Palace,19,10.0,4022,4956,81.2,77097,24202,1619,1813,89.3,1792,2057,87.1,529,911,58.1,8,7.6,0.4,75,240,73,21,276,Premier League,2021-2022,15352059381074619
26,Dortmund,27,10.0,5393,6371,84.6,103306,32631,2150,2398,89.7,2366,2627,90.1,761,1084,70.2,15,13.9,1.1,103,352,94,21,423,Bundesliga,2021-2022,6921931827204601
27,Eint Frankfurt,24,10.0,3559,4787,74.3,71316,27100,1395,1663,83.9,1538,1889,81.4,557,1045,53.3,8,8.5,-0.5,84,251,70,19,345,Bundesliga,2021-2022,37929111009288632
28,Elche,23,12.0,4258,5351,79.6,87619,29755,1622,1860,87.2,1834,2083,88.0,735,1203,61.1,5,7.6,-2.6,72,250,59,23,298,La Liga,2021-2022,30674441257210497
29,Empoli,24,11.0,3647,4671,78.1,72735,26258,1337,1517,88.1,1687,1973,85.5,563,982,57.3,8,8.4,-0.4,103,276,117,24,380,Serie A,2021-2022,77726683749984272
30,Espanyol,27,12.0,3926,4986,78.7,76581,25638,1591,1783,89.2,1644,1893,86.8,583,1075,54.2,6,7.4,-1.4,85,293,54,17,255,La Liga,2021-2022,71314269182841176
31,Everton,24,10.0,2464,3361,73.3,49591,19226,953,1136,83.9,1027,1256,81.8,396,758,52.2,13,9.9,2.1,98,190,77,26,258,Premier League,2021-2022,57482013681231466
32,Fiorentina,24,11.0,5183,6084,85.2,110806,32969,1678,1863,90.1,2483,2757,90.1,967,1304,74.2,9,10.1,-1.1,110,361,95,26,376,Serie A,2021-2022,24325362613855847
33,Freiburg,23,10.0,3203,4248,75.4,68998,25602,1134,1355,83.7,1380,1635,84.4,625,1065,58.7,8,8.8,-0.8,86,208,60,28,257,Bundesliga,2021-2022,17577284562417651
34,Genoa,30,11.0,3630,4724,76.8,72376,24983,1431,1669,85.7,1553,1839,84.4,581,1038,56.0,11,8.1,2.9,85,233,62,17,293,Serie A,2021-2022,87033800759594150
35,Getafe,26,12.0,3418,4638,73.7,71594,27287,1358,1600,84.9,1324,1644,80.5,659,1181,55.8,5,5.3,-0.3,93,271,58,25,298,La Liga,2021-2022,23789167582387071
36,Granada,25,11.0,2686,3690,72.8,56347,21758,1000,1191,84.0,1128,1366,82.6,500,961,52.0,7,4.9,1.1,61,194,43,19,223,La Liga,2021-2022,45137124328012624
37,Greuther Fürth,25,10.0,2902,3949,73.5,60564,23155,1061,1253,84.7,1263,1505,83.9,507,985,51.5,4,6.4,-2.4,75,233,53,17,266,Bundesliga,2021-2022,11035944553035865
38,Hellas Verona,24,11.0,3914,4985,78.5,75109,26518,1623,1853,87.6,1641,1935,84.8,557,981,56.8,17,9.7,7.3,81,256,91,20,345,Serie A,2021-2022,45227680351245381
39,Hertha BSC,27,10.0,2974,3942,75.4,61949,22625,1053,1282,82.1,1317,1556,84.6,556,948,58.6,7,5.8,1.2,62,155,42,11,237,Bundesliga,2021-2022,59737400018465050
40,Hoffenheim,22,10.0,4173,5190,80.4,84138,27934,1545,1779,86.8,1880,2156,87.2,667,1058,63.0,13,12.6,0.4,85,287,76,31,329,Bundesliga,2021-2022,29322720181807625
41,Inter,23,11.0,4843,5764,84.0,96945,30952,1918,2141,89.6,2054,2318,88.6,787,1100,71.5,21,13.9,7.1,124,329,125,36,389,Serie A,2021-2022,53198597771575973
42,Juventus,24,11.0,4512,5454,82.7,94166,30130,1576,1807,87.2,2062,2302,89.6,805,1168,68.9,9,9.9,-0.9,114,349,85,28,353,Serie A,2021-2022,19371054131726661
43,Köln,22,10.0,3732,4820,77.4,82159,29723,1128,1347,83.7,1756,2080,84.4,779,1179,66.1,14,10.9,3.1,119,285,104,40,402,Bundesliga,2021-2022,39731782814123330
44,Lazio,23,11.0,5489,6448,85.1,97775,31653,2537,2778,91.3,2200,2483,88.6,615,941,65.4,16,10.4,5.6,95,357,87,12,341,Serie A,2021-2022,90751438076496109
45,Leeds United,23,10.0,4072,5029,81.0,81426,25948,1534,1737,88.3,1890,2120,89.2,596,1001,59.5,7,9.6,-2.6,105,291,86,21,357,Premier League,2021-2022,34570153325607342
46,Leicester City,22,10.0,4228,5169,81.8,80903,25381,1629,1841,88.5,2010,2228,90.2,509,916,55.6,11,9.1,1.9,84,239,73,8,345,Premier League,2021-2022,18776461863573874
47,Lens,23,12.0,4859,5911,82.2,94899,30822,1923,2178,88.3,2195,2480,88.5,677,1079,62.7,14,14.6,-0.6,128,334,89,29,409,Ligue 1,2021-2022,74951719010833888
48,Levante,26,12.0,3496,4456,78.5,69855,24724,1372,1539,89.1,1489,1744,85.4,565,980,57.7,6,6.5,-0.5,61,244,58,14,309,La Liga,2021-2022,1566092639264277
49,Leverkusen,23,10.0,4190,5116,81.9,83281,26818,1606,1815,88.5,1824,2062,88.5,687,1044,65.8,15,10.5,4.5,87,272,84,12,318,Bundesliga,2021-2022,36794408106212849
50,Lille,22,12.0,4916,6060,81.1,97544,31414,1983,2233,88.8,2046,2341,87.4,811,1240,65.4,9,13.1,-4.1,101,378,106,19,436,Ligue 1,2021-2022,85603837513355486
51,Liverpool,24,10.0,5271,6253,84.3,104831,32978,2062,2263,91.1,2357,2639,89.3,795,1165,68.2,23,19.8,3.2,143,455,120,25,481,Premier League,2021-2022,41956650829873911
52,Lorient,25,12.0,4086,5200,78.6,82661,26935,1531,1743,87.8,1829,2114,86.5,651,1135,57.4,6,10.3,-4.3,80,271,48,22,325,Ligue 1,2021-2022,37325341301512527
53,Lyon,25,12.0,6200,7181,86.3,117861,36208,2580,2812,91.7,2592,2852,90.9,888,1256,70.7,12,14.8,-2.8,121,397,95,24,447,Ligue 1,2021-2022,87005642993871754
54,M'Gladbach,22,10.0,4871,5800,84.0,96336,31111,1843,2086,88.4,2192,2435,90.0,758,1087,69.7,9,11.7,-2.7,117,300,85,18,394,Bundesliga,2021-2022,81611584009946193
55,Mainz 05,26,10.0,2915,4052,71.9,56166,22103,1157,1395,82.9,1290,1628,79.2,395,854,46.3,11,11.1,-0.1,85,212,57,17,296,Bundesliga,2021-2022,71158960989778912
56,Mallorca,27,12.0,3344,4424,75.6,65878,24740,1377,1591,86.5,1320,1586,83.2,540,1032,52.3,7,7.0,0.0,82,232,53,9,264,La Liga,2021-2022,96459977719332900
57,Manchester City,22,10.0,5719,6583,86.9,108039,30118,2406,2611,92.1,2503,2743,91.3,742,1042,71.2,13,15.5,-2.5,131,445,150,22,434,Premier League,2021-2022,74026506610392765
58,Manchester Utd,21,10.0,4574,5455,83.8,86580,26066,1994,2214,90.1,1880,2126,88.4,626,903,69.3,17,11.5,5.5,133,368,97,19,385,Premier League,2021-2022,29078730489839024
59,Marseille,23,12.0,6380,7277,87.7,120611,33695,2689,2917,92.2,2794,3048,91.7,814,1135,71.7,15,14.4,0.6,128,443,94,29,415,Ligue 1,2021-2022,66190039714113630
60,Metz,29,12.0,4039,5123,78.8,80829,27117,1596,1817,87.8,1759,2031,86.6,612,1080,56.7,7,6.5,0.5,83,262,51,25,267,Ligue 1,2021-2022,14635757597311544
61,Milan,26,11.0,4649,5594,83.1,89976,29119,1851,2081,88.9,2017,2261,89.2,684,1040,65.8,14,12.4,1.6,109,315,113,37,385,Serie A,2021-2022,59378513948613436
62,Monaco,25,12.0,5866,7078,82.9,113558,33656,2258,2524,89.5,2799,3130,89.4,746,1226,60.8,13,10.9,2.1,89,462,104,21,486,Ligue 1,2021-2022,79093238158793616
63,Montpellier,22,12.0,4298,5481,78.4,84936,30644,1752,2012,87.1,1739,2051,84.8,694,1157,60.0,12,8.7,3.3,108,295,98,34,377,Ligue 1,2021-2022,32434714471076965
64,Nantes,21,12.0,3491,4650,75.1,70703,26280,1346,1582,85.1,1503,1814,82.9,580,1060,54.7,12,10.5,1.5,99,298,69,26,302,Ligue 1,2021-2022,25802633648495862
65,Napoli,25,11.0,5739,6574,87.3,106212,32249,2556,2772,92.2,2341,2578,90.8,731,1005,72.7,12,10.7,1.3,128,414,126,19,420,Serie A,2021-2022,10516137814401134
66,Newcastle Utd,22,10.0,2623,3489,75.2,54720,20409,1055,1234,85.5,1046,1248,83.8,469,875,53.6,9,7.3,1.7,83,199,52,20,184,Premier League,2021-2022,29528772732587842
67,Nice,23,12.0,5251,6334,82.9,102651,32218,2013,2255,89.3,2404,2703,88.9,753,1171,64.3,14,16.3,-2.3,116,328,85,23,364,Ligue 1,2021-2022,11720969662561653
68,Norwich City,22,10.0,3240,4154,78.0,66355,22582,1235,1409,87.7,1393,1611,86.5,552,973,56.7,2,4.7,-2.7,65,183,59,16,227,Premier League,2021-2022,42809968147687487
69,Osasuna,26,12.0,3498,4896,71.4,74379,31446,1348,1682,80.1,1459,1826,79.9,624,1192,52.3,8,8.2,-0.2,94,345,107,36,381,La Liga,2021-2022,83352675823776457
70,Paris S-G,27,12.0,7231,8055,89.8,127617,36621,3339,3590,93.0,3048,3275,93.1,719,952,75.5,17,15.6,1.4,121,558,123,19,503,Ligue 1,2021-2022,11177590892093073
71,Rayo Vallecano,25,12.0,3317,4392,75.5,69667,24974,1214,1421,85.4,1433,1708,83.9,611,1109,55.1,14,9.9,4.1,90,253,71,30,276,La Liga,2021-2022,75203699329351977
72,RB Leipzig,23,10.0,4197,5242,80.1,80285,29536,1747,2017,86.6,1759,2026,86.8,595,973,61.2,13,14.2,-1.2,109,356,121,26,444,Bundesliga,2021-2022,68159208261559796
73,Real Madrid,25,11.0,5750,6649,86.5,107986,30646,2529,2743,92.2,2319,2559,90.6,799,1125,71.0,20,12.8,7.2,136,425,138,23,426,La Liga,2021-2022,29627131003986350
74,Real Sociedad,27,12.0,4702,5738,81.9,92955,30652,1830,2062,88.7,2081,2381,87.4,709,1089,65.1,9,8.8,0.2,91,330,109,21,398,La Liga,2021-2022,57299950304530590
75,Reims,25,12.0,3908,5039,77.6,76386,26375,1547,1811,85.4,1679,1960,85.7,594,1037,57.3,11,8.3,2.7,102,211,82,16,327,Ligue 1,2021-2022,67732085073987538
76,Rennes,26,12.0,5401,6350,85.1,112432,33225,1852,2078,89.1,2504,2775,90.2,976,1319,74.0,14,12.2,1.8,131,349,114,25,445,Ligue 1,2021-2022,96819424452761337
77,Roma,24,11.0,4653,5540,84.0,95793,30740,1637,1843,88.8,2182,2430,89.8,783,1122,69.8,14,13.2,0.8,144,357,111,27,380,Serie A,2021-2022,764736481564168
78,Saint-Étienne,28,12.0,4517,5682,79.5,86220,28760,1961,2209,88.8,1745,2060,84.7,673,1119,60.1,6,8.6,-2.6,108,291,82,25,344,Ligue 1,2021-2022,56226069621228236
79,Salernitana,25,11.0,3070,4219,72.8,61690,25750,1209,1466,82.5,1282,1620,79.1,518,934,55.5,6,7.9,-1.9,91,258,80,26,340,Serie A,2021-2022,63444195793016658
80,Sampdoria,22,11.0,3520,4682,75.2,71971,27546,1329,1571,84.6,1524,1862,81.8,596,1043,57.1,9,8.4,0.6,91,278,88,22,374,Serie A,2021-2022,89407679695143145
81,Sassuolo,22,11.0,4949,5863,84.4,93822,31060,2130,2353,90.5,2008,2248,89.3,710,1028,69.1,10,11.2,-1.2,104,279,86,11,385,Serie A,2021-2022,79200252522790650
82,Sevilla,26,11.0,5480,6431,85.2,112857,30778,2017,2188,92.2,2442,2712,90.0,935,1365,68.5,14,12.9,1.1,122,333,112,35,352,La Liga,2021-2022,22702270477938803
83,Southampton,21,10.0,3354,4396,76.3,62174,21477,1465,1699,86.2,1475,1769,83.4,364,776,46.9,5,10.7,-5.7,94,249,72,17,300,Premier League,2021-2022,21037626007536306
84,Spezia,26,11.0,4069,5114,79.6,80298,26175,1583,1815,87.2,1798,2065,87.1,609,1052,57.9,6,8.7,-2.7,97,270,79,28,339,Serie A,2021-2022,41730244034743257
85,Strasbourg,23,12.0,4641,5792,80.1,92115,30092,1822,2042,89.2,2003,2307,86.8,713,1217,58.6,14,10.1,3.9,76,301,90,29,397,Ligue 1,2021-2022,92234479374253707
86,Stuttgart,28,10.0,4388,5338,82.2,82992,27898,1799,2044,88.0,1956,2211,88.5,556,883,63.0,12,8.8,3.2,100,305,71,16,355,Bundesliga,2021-2022,81761661302668293
87,Torino,26,11.0,4044,5164,78.3,81936,26811,1551,1790,86.6,1769,2053,86.2,651,1111,58.6,12,11.3,0.7,116,325,77,25,323,Serie A,2021-2022,21846272194836439
88,Tottenham,21,10.0,4016,4898,82.0,74552,23356,1784,1961,91.0,1686,1920,87.8,473,831,56.9,6,7.8,-1.8,75,289,71,12,292,Premier League,2021-2022,22006624071753704
89,Troyes,28,12.0,3782,4818,78.5,75655,28076,1554,1771,87.7,1528,1786,85.6,618,1064,58.1,10,9.3,0.7,80,209,78,29,258,Ligue 1,2021-2022,57069542099991496
90,Udinese,21,11.0,3548,4459,79.6,68145,22278,1430,1635,87.5,1565,1805,86.7,479,857,55.9,7,7.4,-0.4,96,232,64,17,218,Serie A,2021-2022,48393495896639342
91,Union Berlin,23,10.0,3142,4208,74.7,67252,24425,1016,1250,81.3,1514,1803,84.0,566,1008,56.2,12,9.4,2.6,85,228,69,32,263,Bundesliga,2021-2022,71630543971501382
92,Valencia,26,12.0,3260,4427,73.6,70822,26654,1208,1442,83.8,1352,1655,81.7,643,1180,54.5,10,9.4,0.6,100,298,86,19,339,La Liga,2021-2022,65158650443085242
93,Venezia,29,11.0,3578,4552,78.6,73955,25985,1295,1506,86.0,1638,1891,86.6,609,998,61.0,6,7.6,-1.6,66,205,53,17,258,Serie A,2021-2022,94916874898547392
94,Villarreal,26,11.0,5355,6273,85.4,105557,31969,2004,2223,90.1,2472,2734,90.4,790,1109,71.2,12,10.6,1.4,90,387,105,24,460,La Liga,2021-2022,63335634096533483
95,Watford,26,10.0,2822,3781,74.6,62275,23227,930,1115,83.4,1294,1555,83.2,560,965,58.0,10,8.6,1.4,82,206,59,18,252,Premier League,2021-2022,73743918793554398
96,West Ham,18,10.0,3875,4839,80.1,77655,25919,1485,1680,88.4,1735,1999,86.8,591,984,60.1,16,12.3,3.7,109,289,92,27,350,Premier League,2021-2022,57680956417459581
97,Wolfsburg,24,10.0,4022,5038,79.8,87858,28192,1223,1434,85.3,1982,2252,88.0,769,1189,64.7,5,9.7,-4.7,94,278,79,31,334,Bundesliga,2021-2022,85159484018358879
98,Wolves,18,10.0,3358,4145,81.0,70285,22491,1180,1363,86.6,1529,1736,88.1,607,909,66.8,6,8.6,-3.6,82,274,59,13,278,Premier League,2021-2022,24001928852251903
1,Alavés,30,38.0,10284,14169,72.6,221451,88735,3856,4734,81.5,4231,5262,80.4,2011,3609,55.7,21,25.5,-4.5,245,741,192,75,848,La Liga,2020-2021,37745278530914180
2,Angers,31,38.0,15128,18713,80.8,289965,100913,6448,7190,89.7,6269,7187,87.2,2168,3690,58.8,23,27.4,-4.4,286,956,240,62,1203,Ligue 1,2020-2021,66587352409382849
3,Arminia,26,34.0,10707,14526,73.7,238317,88076,3491,4253,82.1,4832,5841,82.7,2211,3870,57.1,16,22.1,-6.1,224,728,191,45,818,Bundesliga,2020-2021,60726784699523350
4,Arsenal,29,38.0,17802,21291,83.6,341180,93564,7057,7896,89.4,8102,8997,90.1,2374,3723,63.8,38,36.6,1.4,323,1318,340,72,1340,Premier League,2020-2021,5838645288327307
5,Aston Villa,24,38.0,12779,16556,77.2,263536,95235,4835,5582,86.6,5510,6461,85.3,2174,3848,56.5,38,37.1,0.9,398,1079,352,79,1236,Premier League,2020-2021,14348480492050895
6,Atalanta,30,38.0,18159,21836,83.2,340271,110674,7682,8623,89.1,7916,8986,88.1,2276,3481,65.4,65,55.9,9.1,474,1506,519,87,1924,Serie A,2020-2021,87465877057901989
7,Athletic Club,27,38.0,13694,17675,77.5,286035,98184,5068,5984,84.7,5906,6993,84.5,2509,4021,62.4,31,31.1,-0.1,302,1110,298,77,1289,La Liga,2020-2021,4823083458145023
8,Atlético Madrid,25,38.0,16924,20602,82.1,321009,104535,7417,8242,90.0,6740,7741,87.1,2378,3816,62.3,54,37.8,16.2,339,1260,381,61,1477,La Liga,2020-2021,74713976168286555
9,Augsburg,25,34.0,10430,14074,74.1,216254,79244,3848,4588,83.9,4568,5513,82.9,1838,3364,54.6,23,24.5,-1.5,238,669,197,56,883,Bundesliga,2020-2021,82828683183786310
10,Barcelona,25,38.0,25414,28517,89.1,439762,125458,12038,12965,92.8,10464,11331,92.3,2411,3255,74.1,51,57.4,-6.4,443,1904,552,57,1796,La Liga,2020-2021,81744823723090567
11,Bayern Munich,29,34.0,18505,21940,84.3,370450,115232,6924,7782,89.0,8410,9378,89.7,2901,4061,71.4,75,53.3,21.7,444,1603,471,112,1743,Bundesliga,2020-2021,7510926916741648
12,Benevento,29,38.0,11710,15299,76.5,233368,82368,4510,5192,86.9,4988,5928,84.1,1906,3461,55.1,26,27.3,-1.3,292,754,294,84,1021,Serie A,2020-2021,38159059008947812
13,Betis,25,38.0,15938,19523,81.6,307041,97650,6750,7518,89.8,6471,7406,87.4,2354,3816,61.7,35,29.9,5.1,333,1013,314,83,1118,La Liga,2020-2021,9423348454032625
14,Bologna,37,38.0,14811,18456,80.3,286759,100044,5940,6796,87.4,6395,7460,85.7,2174,3481,62.5,38,37.4,0.6,364,1106,278,61,1316,Serie A,2020-2021,23275147453355121
15,Bordeaux,28,38.0,16031,19434,82.5,315078,102148,6502,7244,89.8,6861,7779,88.2,2394,3730,64.2,32,30.2,1.8,308,902,200,64,995,Ligue 1,2020-2021,12683680850395737
16,Brest,26,38.0,15584,19278,80.8,319837,105090,5645,6480,87.1,6966,7959,87.5,2682,4136,64.8,31,33.7,-2.7,339,1060,306,115,1219,Ligue 1,2020-2021,27328509848090670
17,Brighton,27,38.0,15598,19456,80.2,316711,97708,5744,6604,87.0,7143,8163,87.5,2475,4033,61.4,24,33.0,-9.0,349,1084,381,91,1252,Premier League,2020-2021,49072214318111932
18,Burnley,25,38.0,10644,15043,70.8,220877,86521,4419,5198,85.0,3913,4932,79.3,2038,4244,48.0,20,27.1,-7.1,267,881,283,84,943,Premier League,2020-2021,21823480134907726
19,Cádiz,34,38.0,8053,11925,67.5,178284,72914,3052,3738,81.6,3123,4036,77.4,1711,3608,47.4,16,19.0,-3.0,193,651,160,64,652,La Liga,2020-2021,1007679934589500
20,Cagliari,32,38.0,13160,16793,78.4,260093,90837,5129,5929,86.5,5796,6853,84.6,1991,3371,59.1,30,30.6,-0.6,302,898,296,91,1059,Serie A,2020-2021,32968728316179674
21,Celta Vigo,30,38.0,15277,19156,79.8,296823,92941,6094,6964,87.5,6651,7654,86.9,2216,3782,58.6,39,33.2,5.8,253,923,265,50,1148,La Liga,2020-2021,14218303985450920
22,Chelsea,27,38.0,21646,25151,86.1,408322,115504,8896,9759,91.2,9751,10706,91.1,2665,3901,68.3,38,42.4,-4.4,443,1440,393,80,1528,Premier League,2020-2021,58172670324373785
23,Crotone,31,38.0,13666,17170,79.6,270786,95385,5103,5831,87.5,6352,7321,86.8,1967,3396,57.9,27,24.5,2.5,264,812,239,65,1075,Serie A,2020-2021,33431629624225246
24,Crystal Palace,24,38.0,11391,15090,75.5,214516,83423,5030,5888,85.4,4484,5419,82.7,1578,3057,51.6,29,20.9,8.1,248,781,244,59,974,Premier League,2020-2021,15352059381074619
25,Dijon,33,38.0,14134,17866,79.1,281152,97095,5457,6246,87.4,6161,7148,86.2,2262,3836,59.0,15,20.3,-5.3,252,877,195,55,1036,Ligue 1,2020-2021,59239312409540653
26,Dortmund,26,34.0,18983,22343,85.0,370199,109874,7546,8442,89.4,8323,9219,90.3,2807,3928,71.5,57,51.0,6.0,374,1293,422,62,1528,Bundesliga,2020-2021,6921931827204601
27,Eibar,30,38.0,11903,16701,71.3,258509,94793,4489,5358,83.8,4780,6058,78.9,2421,4631,52.3,20,26.2,-6.2,298,1098,263,109,1074,La Liga,2020-2021,67267904110326262
28,Eint Frankfurt,25,34.0,14409,18416,78.2,281703,102287,5721,6632,86.3,6353,7489,84.8,2089,3578,58.4,52,43.1,8.9,351,1087,309,110,1421,Bundesliga,2020-2021,37929111009288632
29,Elche,30,38.0,13601,16952,80.2,275052,94634,5286,5950,88.8,5825,6616,88.0,2210,3724,59.3,25,21.9,3.1,189,785,154,76,785,La Liga,2020-2021,30674441257210497
30,Everton,29,38.0,14670,18248,80.4,298495,98778,5538,6304,87.8,6477,7377,87.8,2372,3845,61.7,32,32.9,-0.9,297,968,261,68,1072,Premier League,2020-2021,57482013681231466
31,Fiorentina,30,38.0,13589,17076,79.6,272797,90816,5253,5998,87.6,5914,6849,86.3,2184,3584,60.9,31,30.5,0.5,262,1059,264,104,1117,Serie A,2020-2021,24325362613855847
32,Freiburg,24,34.0,12336,15907,77.6,262645,91002,4099,4824,85.0,5827,6768,86.1,2227,3704,60.1,34,29.2,4.8,285,828,255,89,1076,Bundesliga,2020-2021,17577284562417651
33,Fulham,28,38.0,15183,18859,80.5,303251,96436,5675,6456,87.9,6921,7859,88.1,2312,3832,60.3,18,27.8,-9.8,335,991,311,100,1141,Premier League,2020-2021,19227944656237519
34,Genoa,34,38.0,14014,17793,78.8,277555,90606,5637,6382,88.3,5930,6961,85.2,2193,3798,57.7,32,25.1,6.9,252,884,229,65,994,Serie A,2020-2021,87033800759594150
35,Getafe,31,38.0,9017,13413,67.2,191115,80118,3663,4539,80.7,3348,4516,74.1,1773,3711,47.8,14,20.1,-6.1,249,870,239,97,942,La Liga,2020-2021,23789167582387071
36,Granada,34,38.0,9247,13165,70.2,197930,77964,3470,4204,82.5,3890,4871,79.9,1736,3518,49.3,30,23.8,6.2,216,787,188,59,855,La Liga,2020-2021,45137124328012624
37,Hellas Verona,32,38.0,13339,17708,75.3,257956,87378,5448,6411,85.0,5714,6907,82.7,1898,3649,52.0,30,31.1,-1.1,297,1008,318,68,1288,Serie A,2020-2021,45227680351245381
38,Hertha BSC,32,34.0,12623,16027,78.8,278139,88471,3797,4508,84.2,6060,6944,87.3,2609,4017,64.9,29,29.8,-0.8,276,846,232,72,1047,Bundesliga,2020-2021,59737400018465050
39,Hoffenheim,30,34.0,14462,18016,80.3,291188,99858,5356,6153,87.0,6515,7469,87.2,2304,3636,63.4,38,35.9,2.1,313,1061,342,99,1337,Bundesliga,2020-2021,29322720181807625
40,Huesca,27,38.0,13636,17400,78.4,280112,89385,5017,5749,87.3,6121,7069,86.6,2294,3987,57.5,23,23.8,-0.8,289,847,232,88,957,La Liga,2020-2021,16593090704373522
41,Inter,25,38.0,18514,21593,85.7,357767,106101,7261,8022,90.5,8396,9283,90.4,2542,3548,71.6,62,53.4,8.6,409,1349,430,105,1528,Serie A,2020-2021,53198597771575973
42,Juventus,30,38.0,19971,23047,86.7,392140,115399,7400,8192,90.3,9422,10266,91.8,2860,3915,73.1,59,51.4,7.6,456,1438,378,93,1555,Serie A,2020-2021,19371054131726661
43,Köln,28,34.0,12038,15705,76.7,251568,91402,4229,5011,84.4,5315,6263,84.9,2223,3735,59.5,23,24.6,-1.6,253,829,225,84,985,Bundesliga,2020-2021,39731782814123330
44,Lazio,30,38.0,17098,20724,82.5,340624,110740,6474,7369,87.9,7443,8436,88.2,2813,4156,67.7,40,40.2,-0.2,388,1428,420,110,1469,Serie A,2020-2021,90751438076496109
45,Leeds United,23,38.0,15996,20042,79.8,318521,104029,6052,6930,87.3,7236,8287,87.3,2454,4047,60.6,45,42.5,2.5,390,1111,372,87,1409,Premier League,2020-2021,34570153325607342
46,Leicester City,27,38.0,16726,20572,81.3,316778,96218,6923,7840,88.3,7382,8362,88.3,2163,3648,59.3,45,33.1,11.9,347,1164,304,64,1247,Premier League,2020-2021,18776461863573874
47,Lens,27,38.0,15307,18909,81.0,308556,97897,5725,6569,87.2,6915,7912,87.4,2420,3774,64.1,35,34.7,0.3,321,1103,278,95,1399,Ligue 1,2020-2021,74951719010833888
48,Levante,29,38.0,14234,17838,79.8,284117,97886,5615,6357,88.3,6065,6971,87.0,2311,3836,60.2,35,28.5,6.5,275,1052,319,99,1336,La Liga,2020-2021,1566092639264277
49,Leverkusen,30,34.0,18002,21523,83.6,361120,109753,6668,7431,89.7,8174,9110,89.7,2901,4305,67.4,41,33.8,7.2,347,1228,288,76,1344,Bundesliga,2020-2021,36794408106212849
50,Lille,21,38.0,18028,21792,82.7,344587,108204,7593,8448,89.9,7616,8655,88.0,2484,3920,63.4,39,36.1,2.9,358,1482,271,64,1527,Ligue 1,2020-2021,85603837513355486
51,Liverpool,28,38.0,21527,25527,84.3,421366,125570,8395,9322,90.1,9732,10782,90.3,3072,4602,66.8,43,50.0,-7.0,444,1742,552,98,1914,Premier League,2020-2021,41956650829873911
52,Lorient,27,38.0,13403,17013,78.8,261367,89994,5452,6195,88.0,5709,6642,86.0,2001,3525,56.8,26,31.2,-5.2,286,853,200,59,1040,Ligue 1,2020-2021,37325341301512527
