Rk,Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,xG,npxG,xA,npxG+xA,Per 90 Minutes xG,Per 90 Minutes xA,Per 90 Minutes xG+xA,Per 90 Minutes npxG,Per 90 Minutes npxG+xA,League,Season,TeamID
51,Leverkusen,21,25.3,59.9,34,374,3060,34.0,68,51,64,4,5,50.0,1.0,2.0,1.5,3.5,1.88,3.38,62.1,58.4,42.6,100.9,1.83,1.25,3.08,1.72,2.97,Bundesliga,2018-2019,36794408106212849
52,Lille,25,24.1,51.4,38,418,3420,38.0,66,49,55,11,13,70.0,4.0,1.74,1.29,3.03,1.45,2.74,58.4,48.5,38.3,86.8,1.54,1.01,2.55,1.28,2.28,Ligue 1,2018-2019,85603837513355486
53,Liverpool,23,26.1,61.7,38,418,3420,38.0,86,55,79,7,7,39.0,2.0,2.26,1.45,3.71,2.08,3.53,74.7,69.4,48.9,118.4,1.97,1.29,3.25,1.83,3.12,Premier League,2018-2019,41956650829873911
54,Lyon,25,24.4,60.3,38,418,3420,38.0,70,54,65,5,10,55.0,3.0,1.84,1.42,3.26,1.71,3.13,73.8,66.5,51.6,118.0,1.94,1.36,3.3,1.75,3.11,Ligue 1,2018-2019,87005642993871754
55,M'Gladbach,22,26.5,53.1,34,374,3060,34.0,53,43,49,4,7,43.0,0.0,1.56,1.26,2.82,1.44,2.71,51.1,45.8,34.7,80.4,1.5,1.02,2.52,1.35,2.37,Bundesliga,2018-2019,81611584009946193
56,Mainz 05,28,24.2,46.1,34,374,3060,34.0,44,30,41,3,3,56.0,0.0,1.29,0.88,2.18,1.21,2.09,48.5,46.2,32.6,78.8,1.43,0.96,2.38,1.36,2.32,Bundesliga,2018-2019,71158960989778912
57,Manchester City,21,26.7,67.8,38,418,3420,38.0,91,71,88,3,4,44.0,1.0,2.39,1.87,4.26,2.32,4.18,82.0,79.0,61.2,140.2,2.16,1.61,3.77,2.08,3.69,Premier League,2018-2019,74026506610392765
58,Manchester Utd,28,26.3,54.5,38,418,3420,38.0,65,40,56,9,12,75.0,4.0,1.71,1.05,2.76,1.47,2.53,59.4,50.2,38.3,88.5,1.56,1.01,2.57,1.32,2.33,Premier League,2018-2019,29078730489839024
59,Marseille,24,26.9,55.2,38,418,3420,38.0,59,45,55,4,5,82.0,8.0,1.55,1.18,2.74,1.45,2.63,52.6,48.8,33.5,82.4,1.38,0.88,2.27,1.29,2.17,Ligue 1,2018-2019,66190039714113630
60,Milan,23,24.8,54.2,38,418,3420,38.0,52,35,49,3,4,80.0,5.0,1.37,0.92,2.29,1.29,2.21,48.1,45.0,34.3,79.3,1.26,0.9,2.17,1.18,2.09,Serie A,2018-2019,59378513948613436
61,Monaco,42,25.6,49.9,38,418,3420,38.0,38,25,34,4,5,91.0,6.0,1.0,0.66,1.66,0.89,1.55,48.7,45.0,30.9,75.9,1.28,0.81,2.1,1.18,2.0,Ligue 1,2018-2019,79093238158793616
62,Montpellier,25,28.0,48.1,38,418,3420,38.0,50,28,47,3,3,60.0,4.0,1.32,0.74,2.05,1.24,1.97,45.2,43.0,31.8,74.8,1.19,0.84,2.03,1.13,1.97,Ligue 1,2018-2019,32434714471076965
63,Nantes,33,25.9,49.9,38,418,3420,38.0,47,28,41,6,8,72.0,6.0,1.24,0.74,1.97,1.08,1.82,47.7,41.6,27.3,68.9,1.25,0.72,1.97,1.09,1.81,Ligue 1,2018-2019,25802633648495862
64,Napoli,26,27.0,59.4,38,418,3420,38.0,73,54,70,3,4,72.0,5.0,1.92,1.42,3.34,1.84,3.26,68.1,65.4,53.8,119.2,1.79,1.42,3.21,1.72,3.14,Serie A,2018-2019,10516137814401134
65,Newcastle Utd,24,26.9,40.4,38,418,3420,38.0,41,33,40,1,3,57.0,2.0,1.08,0.87,1.95,1.05,1.92,39.6,37.3,26.7,64.0,1.04,0.7,1.75,0.98,1.69,Premier League,2018-2019,29528772732587842
66,Nice,30,24.2,54.8,38,418,3420,38.0,27,18,22,5,9,72.0,5.0,0.71,0.47,1.18,0.58,1.05,44.2,37.4,28.9,66.3,1.16,0.76,1.92,0.99,1.75,Ligue 1,2018-2019,11720969662561653
67,Nîmes,23,24.1,45.6,38,418,3420,38.0,55,37,51,4,6,69.0,5.0,1.45,0.97,2.42,1.34,2.32,47.9,43.3,32.5,75.8,1.26,0.86,2.12,1.14,2.0,Ligue 1,2018-2019,83514802313158576
68,Nürnberg,27,24.9,42.3,34,374,3060,34.0,25,16,23,2,6,58.0,4.0,0.74,0.47,1.21,0.68,1.15,33.0,28.5,18.7,47.2,0.97,0.55,1.52,0.84,1.39,Bundesliga,2018-2019,10689243141507842
69,Paris S-G,30,26.2,63.4,38,418,3420,38.0,103,72,93,10,12,64.0,4.0,2.71,1.89,4.61,2.45,4.34,91.0,82.0,63.9,145.9,2.4,1.68,4.08,2.16,3.84,Ligue 1,2018-2019,11177590892093073
70,Parma,31,29.4,37.3,38,418,3420,38.0,40,22,36,4,5,82.0,3.0,1.05,0.58,1.63,0.95,1.53,38.6,34.8,22.6,57.3,1.02,0.59,1.61,0.92,1.51,Serie A,2018-2019,62695319081093388
71,Rayo Vallecano,29,26.6,48.7,38,418,3420,38.0,40,24,35,5,5,101.0,8.0,1.05,0.63,1.68,0.92,1.55,40.8,37.0,26.2,63.2,1.07,0.69,1.76,0.97,1.66,La Liga,2018-2019,75203699329351977
72,RB Leipzig,23,24.0,49.3,34,374,3060,34.0,63,41,58,5,7,61.0,1.0,1.85,1.21,3.06,1.71,2.91,60.8,55.5,41.6,97.1,1.79,1.22,3.01,1.63,2.85,Bundesliga,2018-2019,68159208261559796
73,Real Madrid,27,27.1,60.0,38,418,3420,38.0,61,39,52,9,9,79.0,6.0,1.61,1.03,2.63,1.37,2.39,61.3,54.8,42.9,97.6,1.61,1.13,2.74,1.44,2.57,La Liga,2018-2019,29627131003986350
74,Real Sociedad,30,24.9,51.6,38,418,3420,38.0,44,27,36,8,10,80.0,4.0,1.16,0.71,1.87,0.95,1.66,46.5,39.3,29.2,68.5,1.22,0.77,1.99,1.03,1.8,La Liga,2018-2019,57299950304530590
75,Reims,27,26.2,43.5,38,418,3420,38.0,39,27,37,2,2,67.0,2.0,1.03,0.71,1.74,0.97,1.68,40.6,39.1,28.4,67.5,1.07,0.75,1.82,1.03,1.78,Ligue 1,2018-2019,67732085073987538
76,Rennes,28,25.7,50.6,38,418,3420,38.0,53,34,46,7,10,68.0,3.0,1.39,0.89,2.29,1.21,2.11,52.2,44.7,31.5,76.2,1.37,0.83,2.2,1.18,2.0,Ligue 1,2018-2019,96819424452761337
77,Roma,26,27.5,51.7,38,418,3420,38.0,66,41,60,6,6,88.0,2.0,1.74,1.08,2.82,1.58,2.66,64.3,59.8,43.5,103.2,1.69,1.14,2.84,1.57,2.72,Serie A,2018-2019,764736481564168
78,Saint-Étienne,29,27.8,52.6,38,418,3420,38.0,56,40,51,5,5,63.0,7.0,1.47,1.05,2.53,1.34,2.39,55.8,52.0,35.5,87.5,1.47,0.93,2.4,1.37,2.3,Ligue 1,2018-2019,56226069621228236
79,Sampdoria,24,26.1,55.3,38,418,3420,38.0,60,41,50,10,12,89.0,3.0,1.58,1.08,2.66,1.32,2.39,49.8,40.8,31.9,72.7,1.31,0.84,2.15,1.07,1.91,Serie A,2018-2019,89407679695143145
80,Sassuolo,29,25.4,54.0,38,418,3420,38.0,50,33,45,5,5,87.0,8.0,1.32,0.87,2.18,1.18,2.05,46.4,42.7,31.0,73.7,1.22,0.82,2.04,1.12,1.94,Serie A,2018-2019,79200252522790650
81,Schalke 04,32,25.8,45.4,34,374,3060,34.0,37,23,30,7,9,72.0,5.0,1.09,0.68,1.76,0.88,1.56,43.1,36.3,25.9,62.2,1.27,0.76,2.03,1.07,1.83,Bundesliga,2018-2019,24345039935475884
82,Sevilla,27,27.9,52.2,38,418,3420,38.0,61,47,56,5,6,114.0,6.0,1.61,1.24,2.84,1.47,2.71,63.5,58.8,43.7,102.5,1.67,1.15,2.82,1.55,2.7,La Liga,2018-2019,22702270477938803
83,Southampton,30,25.4,43.9,38,418,3420,38.0,44,27,40,4,5,73.0,3.0,1.16,0.71,1.87,1.05,1.76,46.1,42.5,27.5,70.0,1.21,0.72,1.94,1.12,1.84,Premier League,2018-2019,21037626007536306
84,SPAL,28,27.8,50.6,38,418,3420,38.0,44,30,37,7,8,112.0,3.0,1.16,0.79,1.95,0.97,1.76,41.5,35.5,23.5,59.0,1.09,0.62,1.71,0.93,1.55,Serie A,2018-2019,73622612860183040
85,Strasbourg,26,26.2,50.2,38,418,3420,38.0,57,43,52,5,7,70.0,4.0,1.5,1.13,2.63,1.37,2.5,42.2,36.8,27.7,64.5,1.11,0.73,1.84,0.97,1.7,Ligue 1,2018-2019,92234479374253707
86,Stuttgart,26,26.3,45.9,34,374,3060,34.0,32,26,31,1,1,64.0,5.0,0.94,0.76,1.71,0.91,1.68,39.0,38.3,28.3,66.6,1.15,0.83,1.98,1.13,1.96,Bundesliga,2018-2019,81761661302668293
87,Torino,25,27.6,51.4,38,418,3420,38.0,50,31,45,5,6,88.0,4.0,1.32,0.82,2.13,1.18,2.0,49.3,44.8,33.6,78.4,1.3,0.88,2.18,1.18,2.06,Serie A,2018-2019,21846272194836439
88,Tottenham,28,26.8,58.9,38,418,3420,38.0,66,47,62,4,4,57.0,3.0,1.74,1.24,2.97,1.63,2.87,57.9,54.9,38.0,93.0,1.52,1.0,2.53,1.45,2.45,Premier League,2018-2019,22006624071753704
89,Toulouse,29,25.5,48.0,38,418,3420,38.0,35,16,28,7,11,75.0,5.0,0.92,0.42,1.34,0.74,1.16,44.0,35.7,25.8,61.5,1.16,0.68,1.83,0.94,1.62,Ligue 1,2018-2019,94523000561782573
90,Udinese,31,25.3,42.4,38,418,3420,38.0,38,30,35,3,8,90.0,4.0,1.0,0.79,1.79,0.92,1.71,41.5,35.2,27.2,62.3,1.09,0.71,1.81,0.93,1.64,Serie A,2018-2019,48393495896639342
91,Valencia,25,26.4,47.1,38,418,3420,38.0,50,38,45,5,7,88.0,3.0,1.32,1.0,2.32,1.18,2.18,57.3,52.0,42.9,94.9,1.51,1.13,2.64,1.37,2.5,La Liga,2018-2019,65158650443085242
92,Valladolid,28,27.4,47.0,38,418,3420,38.0,31,19,27,4,7,92.0,0.0,0.82,0.5,1.32,0.71,1.21,40.5,35.1,26.1,61.3,1.06,0.69,1.75,0.92,1.61,La Liga,2018-2019,44089518275887893
93,Villarreal,26,27.1,48.3,38,418,3420,38.0,47,34,44,3,6,115.0,3.0,1.24,0.89,2.13,1.16,2.05,50.7,46.6,35.8,82.4,1.33,0.94,2.28,1.23,2.17,La Liga,2018-2019,63335634096533483
94,Watford,25,28.5,47.1,38,418,3420,38.0,51,39,50,1,1,79.0,4.0,1.34,1.03,2.37,1.32,2.34,48.1,47.4,34.1,81.5,1.27,0.9,2.16,1.25,2.14,Premier League,2018-2019,73743918793554398
95,Werder Bremen,24,27.1,52.2,34,374,3060,34.0,57,38,53,4,4,61.0,3.0,1.68,1.12,2.79,1.56,2.68,49.5,46.6,33.9,80.5,1.46,1.0,2.45,1.37,2.37,Bundesliga,2018-2019,59303898890876434
96,West Ham,26,27.6,48.7,38,418,3420,38.0,51,33,46,5,5,59.0,1.0,1.34,0.87,2.21,1.21,2.08,48.2,44.5,32.4,76.9,1.27,0.85,2.12,1.17,2.02,Premier League,2018-2019,57680956417459581
97,Wolfsburg,25,25.4,53.3,34,374,3060,34.0,59,38,54,5,5,62.0,0.0,1.74,1.12,2.85,1.59,2.71,46.2,42.7,31.6,74.3,1.36,0.93,2.29,1.25,2.19,Bundesliga,2018-2019,85159484018358879
98,Wolves,21,26.1,46.9,38,418,3420,38.0,46,35,42,4,4,73.0,1.0,1.21,0.92,2.13,1.11,2.03,49.0,45.9,33.7,79.7,1.29,0.89,2.18,1.21,2.1,Premier League,2018-2019,24001928852251903
1,Alavés,30,25.5,39.8,38,418,3420,38.0,40,31,39,1,3,105.0,4.0,1.05,0.82,1.87,1.03,1.84,38.8,36.6,26.0,62.5,1.02,0.68,1.7,0.96,1.64,La Liga,2017-2018,37745278530914180
2,Amiens,30,27.5,43.4,38,418,3420,38.0,36,20,33,3,4,0.0,0.0,0.95,0.53,1.47,0.87,1.39,35.3,32.2,23.5,55.7,0.93,0.62,1.55,0.85,1.47,Ligue 1,2017-2018,20069478421376018
3,Angers,27,27.1,44.9,38,418,3420,38.0,41,23,37,4,4,0.0,0.0,1.08,0.61,1.68,0.97,1.58,45.6,42.6,30.8,73.4,1.2,0.81,2.01,1.12,1.93,Ligue 1,2017-2018,66587352409382849
4,Arsenal,30,26.8,61.5,38,418,3420,38.0,73,61,69,4,5,0.0,0.0,1.92,1.61,3.53,1.82,3.42,68.4,64.6,51.3,115.9,1.8,1.35,3.15,1.7,3.05,Premier League,2017-2018,5838645288327307
5,Atalanta,25,25.7,55.2,38,418,3420,38.0,57,38,52,5,9,0.0,0.0,1.5,1.0,2.5,1.37,2.37,67.4,60.7,43.5,104.2,1.77,1.14,2.92,1.6,2.74,Serie A,2017-2018,87465877057901989
6,Athletic Club,26,26.7,49.7,38,418,3420,38.0,39,25,33,6,8,93.0,0.0,1.03,0.66,1.68,0.87,1.53,45.6,39.8,30.0,69.8,1.2,0.79,1.99,1.05,1.84,La Liga,2017-2018,4823083458145023
7,Atlético Madrid,26,26.6,47.3,38,418,3420,38.0,57,41,53,4,5,93.0,5.0,1.5,1.08,2.58,1.39,2.47,47.8,44.2,32.6,76.7,1.26,0.86,2.12,1.16,2.02,La Liga,2017-2018,74713976168286555
8,Augsburg,27,26.6,45.6,34,374,3060,34.0,41,30,37,4,4,0.0,0.0,1.21,0.88,2.09,1.09,1.97,44.8,41.8,31.1,72.9,1.32,0.91,2.23,1.23,2.14,Bundesliga,2017-2018,82828683183786310
9,Barcelona,25,27.7,63.1,38,418,3420,38.0,96,74,93,3,5,67.0,2.0,2.53,1.95,4.47,2.45,4.39,78.3,75.2,58.6,133.8,2.06,1.54,3.6,1.98,3.52,La Liga,2017-2018,81744823723090567
10,Bayern Munich,28,27.4,65.9,34,374,3060,34.0,90,72,84,6,8,0.0,0.0,2.65,2.12,4.76,2.47,4.59,77.7,71.8,56.2,128.0,2.29,1.65,3.94,2.11,3.77,Bundesliga,2017-2018,7510926916741648
11,Benevento,41,26.0,47.7,38,418,3420,38.0,32,23,30,2,3,0.0,0.0,0.84,0.61,1.45,0.79,1.39,39.1,36.9,27.6,64.5,1.03,0.73,1.75,0.97,1.7,Serie A,2017-2018,38159059008947812
12,Betis,29,27.1,57.7,38,418,3420,38.0,56,43,54,2,3,90.0,3.0,1.47,1.13,2.61,1.42,2.55,41.1,39.1,31.3,70.4,1.08,0.82,1.91,1.03,1.85,La Liga,2017-2018,9423348454032625
13,Bologna,30,26.8,47.2,38,418,3420,38.0,37,18,35,2,3,0.0,0.0,0.97,0.47,1.45,0.92,1.39,37.1,34.9,23.3,58.2,0.98,0.61,1.59,0.92,1.53,Serie A,2017-2018,23275147453355121
14,Bordeaux,31,25.1,50.7,38,418,3420,38.0,52,31,48,4,6,0.0,0.0,1.37,0.82,2.18,1.26,2.08,52.7,47.9,36.7,84.6,1.39,0.97,2.35,1.26,2.23,Ligue 1,2017-2018,12683680850395737
15,Bournemouth,22,26.9,47.8,38,418,3420,38.0,45,36,42,3,3,0.0,0.0,1.18,0.95,2.13,1.11,2.05,44.8,42.6,32.2,74.8,1.18,0.85,2.03,1.12,1.97,Premier League,2017-2018,36088947257895306
16,Brighton,24,27.5,43.7,38,418,3420,38.0,33,25,28,5,7,0.0,0.0,0.87,0.66,1.53,0.74,1.39,37.2,31.8,23.0,54.8,0.98,0.6,1.58,0.84,1.44,Premier League,2017-2018,49072214318111932
17,Burnley,24,27.5,43.9,38,418,3420,38.0,35,26,35,0,0,0.0,0.0,0.92,0.68,1.61,0.92,1.61,34.5,34.5,23.8,58.3,0.91,0.63,1.53,0.91,1.53,Premier League,2017-2018,21823480134907726
18,Caen,26,27.3,45.5,38,418,3420,38.0,25,19,20,5,8,0.0,0.0,0.66,0.5,1.16,0.53,1.03,42.2,36.2,28.0,64.2,1.11,0.74,1.85,0.95,1.69,Ligue 1,2017-2018,21277886218272520
19,Cagliari,29,27.1,45.2,38,418,3420,38.0,33,21,29,4,7,0.0,0.0,0.87,0.55,1.42,0.76,1.32,40.1,34.8,25.4,60.1,1.05,0.67,1.72,0.91,1.58,Serie A,2017-2018,32968728316179674
20,Celta Vigo,23,25.7,56.1,38,418,3420,38.0,57,45,55,2,3,85.0,1.0,1.5,1.18,2.68,1.45,2.63,52.0,49.7,36.0,85.7,1.37,0.95,2.32,1.31,2.26,La Liga,2017-2018,14218303985450920
21,Chelsea,26,26.7,55.4,38,418,3420,38.0,60,42,57,3,3,0.0,0.0,1.58,1.11,2.68,1.5,2.61,57.9,55.7,42.2,97.9,1.52,1.11,2.64,1.46,2.58,Premier League,2017-2018,58172670324373785
22,Chievo,25,30.3,44.3,38,418,3420,38.0,36,20,35,1,2,0.0,0.0,0.95,0.53,1.47,0.92,1.45,32.3,30.8,22.2,53.0,0.85,0.58,1.43,0.81,1.39,Serie A,2017-2018,83748145049842906
23,Crotone,29,25.6,40.1,38,418,3420,38.0,38,21,36,2,3,0.0,0.0,1.0,0.55,1.55,0.95,1.5,36.2,33.8,24.0,57.8,0.95,0.63,1.58,0.89,1.52,Serie A,2017-2018,33431629624225246
24,Crystal Palace,28,27.1,45.3,38,418,3420,38.0,44,26,36,8,10,0.0,0.0,1.16,0.68,1.84,0.95,1.63,56.1,48.9,33.7,82.6,1.48,0.89,2.36,1.29,2.17,Premier League,2017-2018,15352059381074619
25,Dijon,26,26.6,48.4,38,418,3420,38.0,52,28,47,5,5,0.0,0.0,1.37,0.74,2.11,1.24,1.97,42.9,39.2,26.1,65.2,1.13,0.69,1.81,1.03,1.72,Ligue 1,2017-2018,59239312409540653
26,Dortmund,30,25.9,59.0,34,374,3060,34.0,62,44,59,3,6,0.0,0.0,1.82,1.29,3.12,1.74,3.03,63.7,59.2,43.3,102.5,1.87,1.27,3.15,1.74,3.02,Bundesliga,2017-2018,6921931827204601
27,Eibar,27,27.4,52.4,38,418,3420,38.0,43,31,41,2,3,84.0,3.0,1.13,0.82,1.95,1.08,1.89,39.9,37.6,25.4,63.0,1.05,0.67,1.72,0.99,1.66,La Liga,2017-2018,67267904110326262
28,Eint Frankfurt,28,26.4,48.4,34,374,3060,34.0,44,34,42,2,2,0.0,0.0,1.29,1.0,2.29,1.24,2.24,43.5,41.9,31.8,73.8,1.28,0.94,2.21,1.23,2.17,Bundesliga,2017-2018,37929111009288632
29,Espanyol,25,26.8,46.8,38,418,3420,38.0,34,24,32,2,3,87.0,1.0,0.89,0.63,1.53,0.84,1.47,42.9,40.5,28.5,69.0,1.13,0.75,1.88,1.07,1.82,La Liga,2017-2018,71314269182841176
30,Everton,30,26.7,45.9,38,418,3420,38.0,42,26,37,5,8,0.0,0.0,1.11,0.68,1.79,0.97,1.66,41.4,35.2,24.3,59.6,1.09,0.64,1.73,0.93,1.57,Premier League,2017-2018,57482013681231466
31,Fiorentina,27,25.0,52.6,38,418,3420,38.0,53,32,46,7,8,0.0,0.0,1.39,0.84,2.24,1.21,2.05,57.2,51.3,37.1,88.3,1.51,0.98,2.48,1.35,2.32,Serie A,2017-2018,24325362613855847
32,Freiburg,29,24.8,44.5,34,374,3060,34.0,32,21,26,6,10,0.0,0.0,0.94,0.62,1.56,0.76,1.38,41.3,33.7,24.1,57.8,1.21,0.71,1.92,0.99,1.7,Bundesliga,2017-2018,17577284562417651
33,Genoa,33,27.9,46.3,38,418,3420,38.0,31,18,27,4,5,0.0,0.0,0.82,0.47,1.29,0.71,1.18,43.3,39.5,31.8,71.3,1.14,0.84,1.98,1.04,1.88,Serie A,2017-2018,87033800759594150
34,Getafe,32,28.2,39.4,38,418,3420,38.0,41,27,36,5,12,130.0,5.0,1.08,0.71,1.79,0.95,1.66,46.4,37.1,26.0,63.1,1.22,0.68,1.9,0.98,1.66,La Liga,2017-2018,23789167582387071
35,Girona,25,26.3,46.8,38,418,3420,38.0,50,31,44,6,8,102.0,0.0,1.32,0.82,2.13,1.16,1.97,48.9,42.8,30.9,73.7,1.29,0.81,2.1,1.13,1.94,La Liga,2017-2018,12545195302828957
36,Guingamp,23,27.2,49.7,38,418,3420,38.0,46,23,40,6,7,0.0,0.0,1.21,0.61,1.82,1.05,1.66,45.6,40.5,26.0,66.5,1.2,0.68,1.88,1.07,1.75,Ligue 1,2017-2018,16872092436156260
37,Hamburger SV,29,25.0,49.1,34,374,3060,34.0,28,18,25,3,5,0.0,0.0,0.82,0.53,1.35,0.74,1.26,37.0,33.3,24.8,58.1,1.09,0.73,1.82,0.98,1.71,Bundesliga,2017-2018,42905483414913667
38,Hannover 96,26,26.4,47.1,34,374,3060,34.0,44,26,40,4,5,0.0,0.0,1.29,0.76,2.06,1.18,1.94,46.0,42.1,32.2,74.3,1.35,0.95,2.3,1.24,2.19,Bundesliga,2017-2018,10121335889457780
39,Hellas Verona,32,25.9,41.8,38,418,3420,38.0,30,19,23,7,7,0.0,0.0,0.79,0.5,1.29,0.61,1.11,34.5,29.4,20.9,50.3,0.91,0.55,1.46,0.77,1.32,Serie A,2017-2018,45227680351245381
40,Hertha BSC,25,26.4,45.9,34,374,3060,34.0,43,32,39,4,5,0.0,0.0,1.26,0.94,2.21,1.15,2.09,39.9,36.1,27.0,63.0,1.17,0.79,1.97,1.06,1.85,Bundesliga,2017-2018,59737400018465050
41,Hoffenheim,26,25.0,51.3,34,374,3060,34.0,64,47,60,4,5,0.0,0.0,1.88,1.38,3.26,1.76,3.15,51.7,47.9,38.7,86.5,1.52,1.14,2.66,1.41,2.55,Bundesliga,2017-2018,29322720181807625
42,Huddersfield,25,26.4,45.7,38,418,3420,38.0,25,19,23,2,2,0.0,0.0,0.66,0.5,1.16,0.61,1.11,31.7,30.2,21.9,52.1,0.83,0.58,1.41,0.79,1.37,Premier League,2017-2018,70397411865897550
43,Inter,22,27.6,56.9,38,418,3420,38.0,64,34,58,6,7,0.0,0.0,1.68,0.89,2.58,1.53,2.42,60.8,55.6,44.4,100.0,1.6,1.17,2.77,1.46,2.63,Serie A,2017-2018,53198597771575973
44,Juventus,24,29.2,57.1,38,418,3420,38.0,82,39,78,4,8,0.0,0.0,2.16,1.03,3.18,2.05,3.08,59.8,54.0,38.3,92.2,1.57,1.01,2.58,1.42,2.43,Serie A,2017-2018,19371054131726661
45,Köln,31,25.3,47.5,34,374,3060,34.0,33,24,30,3,3,0.0,0.0,0.97,0.71,1.68,0.88,1.59,42.2,40.0,28.7,68.7,1.24,0.84,2.09,1.18,2.02,Bundesliga,2017-2018,39731782814123330
46,La Coruña,32,28.2,46.6,38,418,3420,38.0,38,30,35,3,5,99.0,2.0,1.0,0.79,1.79,0.92,1.71,49.2,45.4,34.3,79.7,1.3,0.9,2.2,1.2,2.1,La Liga,2017-2018,31828180925314031
47,Las Palmas,36,27.0,55.1,38,418,3420,38.0,24,15,18,6,8,88.0,3.0,0.63,0.39,1.03,0.47,0.87,38.0,31.9,23.6,55.6,1.0,0.62,1.62,0.84,1.46,La Liga,2017-2018,33189055458748528
48,Lazio,24,26.5,51.1,38,418,3420,38.0,86,51,77,9,11,0.0,0.0,2.26,1.34,3.61,2.03,3.37,63.5,55.2,42.4,97.7,1.67,1.12,2.79,1.45,2.57,Serie A,2017-2018,90751438076496109
49,Leganés,28,27.8,42.5,38,418,3420,38.0,32,23,30,2,3,102.0,5.0,0.84,0.61,1.45,0.79,1.39,40.0,37.7,28.2,66.0,1.05,0.74,1.8,0.99,1.74,La Liga,2017-2018,20237473683555152
50,Leicester City,27,27.2,47.9,38,418,3420,38.0,53,38,48,5,6,0.0,0.0,1.39,1.0,2.39,1.26,2.26,48.1,43.6,31.9,75.5,1.27,0.84,2.11,1.15,1.99,Premier League,2017-2018,18776461863573874
51,Levante,33,25.7,42.5,38,418,3420,38.0,43,28,38,5,5,108.0,6.0,1.13,0.74,1.87,1.0,1.74,42.4,38.6,29.0,67.6,1.12,0.76,1.88,1.02,1.78,La Liga,2017-2018,1566092639264277
52,Leverkusen,24,24.0,54.6,34,374,3060,34.0,58,46,55,3,5,0.0,0.0,1.71,1.35,3.06,1.62,2.97,59.2,55.4,43.6,99.0,1.74,1.28,3.02,1.63,2.91,Bundesliga,2017-2018,36794408106212849
53,Lille,25,22.6,53.5,38,418,3420,38.0,41,28,39,2,2,0.0,0.0,1.08,0.74,1.82,1.03,1.76,37.7,36.2,30.4,66.6,0.99,0.8,1.79,0.95,1.75,Ligue 1,2017-2018,85603837513355486
54,Liverpool,27,25.6,60.5,38,418,3420,38.0,82,58,80,2,3,0.0,0.0,2.16,1.53,3.68,2.11,3.63,72.7,70.4,50.0,120.5,1.91,1.32,3.23,1.85,3.17,Premier League,2017-2018,41956650829873911
55,Lyon,26,24.4,55.6,38,418,3420,38.0,85,48,79,6,7,0.0,0.0,2.24,1.26,3.5,2.08,3.34,67.0,61.9,45.4,107.4,1.76,1.2,2.96,1.63,2.83,Ligue 1,2017-2018,87005642993871754
56,M'Gladbach,27,25.7,52.0,34,374,3060,34.0,46,26,40,6,7,0.0,0.0,1.35,0.76,2.12,1.18,1.94,51.4,46.6,35.6,82.1,1.51,1.05,2.56,1.37,2.42,Bundesliga,2017-2018,81611584009946193
57,Mainz 05,27,25.3,44.3,34,374,3060,34.0,38,27,34,4,4,0.0,0.0,1.12,0.79,1.91,1.0,1.79,35.3,32.3,24.2,56.5,1.04,0.71,1.75,0.95,1.66,Bundesliga,2017-2018,71158960989778912
58,Málaga,37,27.2,44.0,38,418,3420,38.0,24,15,20,4,6,99.0,8.0,0.63,0.39,1.03,0.53,0.92,33.4,28.8,21.1,50.0,0.88,0.56,1.43,0.76,1.31,La Liga,2017-2018,79809637287620621
59,Manchester City,25,26.4,71.1,38,418,3420,38.0,103,85,97,6,8,0.0,0.0,2.71,2.24,4.95,2.55,4.79,86.4,80.4,63.3,143.7,2.27,1.67,3.94,2.11,3.78,Premier League,2017-2018,74026506610392765
60,Manchester Utd,27,26.7,54.8,38,418,3420,38.0,67,53,66,1,3,0.0,0.0,1.76,1.39,3.16,1.74,3.13,60.7,58.2,43.8,102.1,1.6,1.15,2.75,1.53,2.69,Premier League,2017-2018,29078730489839024
61,Marseille,26,27.2,58.0,38,418,3420,38.0,79,44,74,5,8,0.0,0.0,2.08,1.16,3.24,1.95,3.11,72.1,66.1,47.0,113.1,1.9,1.24,3.13,1.74,2.98,Ligue 1,2017-2018,66190039714113630
62,Metz,36,27.4,45.5,38,418,3420,38.0,33,25,30,3,4,0.0,0.0,0.87,0.66,1.53,0.79,1.45,37.9,35.0,27.4,62.4,1.0,0.72,1.72,0.92,1.64,Ligue 1,2017-2018,14635757597311544
63,Milan,23,25.0,55.9,38,418,3420,38.0,54,28,50,4,6,0.0,0.0,1.42,0.74,2.16,1.32,2.05,54.2,49.8,36.3,86.1,1.43,0.95,2.38,1.31,2.27,Serie A,2017-2018,59378513948613436
64,Monaco,32,25.8,50.9,38,418,3420,38.0,83,39,76,7,8,0.0,0.0,2.18,1.03,3.21,2.0,3.03,61.5,55.6,40.2,95.8,1.62,1.06,2.67,1.46,2.52,Ligue 1,2017-2018,79093238158793616
65,Montpellier,23,26.4,46.9,38,418,3420,38.0,36,26,36,0,2,0.0,0.0,0.95,0.68,1.63,0.95,1.63,42.4,40.8,30.6,71.4,1.11,0.81,1.92,1.07,1.88,Ligue 1,2017-2018,32434714471076965
