Rk,Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,xG,npxG,xA,npxG+xA,Per 90 Minutes xG,Per 90 Minutes xA,Per 90 Minutes xG+xA,Per 90 Minutes npxG,Per 90 Minutes npxG+xA,League,Season,TeamID
72,Real Madrid,26,27.6,59.1,38,418,3420,38.0,70,52,59,11,11,82.0,4.0,1.84,1.37,3.21,1.55,2.92,63.4,55.0,44.1,99.1,1.67,1.16,2.83,1.45,2.61,La Liga,2019-2020,29627131003986350
73,Real Sociedad,27,24.8,56.6,38,418,3420,38.0,53,38,49,4,5,79.0,2.0,1.39,1.0,2.39,1.29,2.29,45.2,41.5,32.6,74.1,1.19,0.86,2.05,1.09,1.95,La Liga,2019-2020,57299950304530590
74,Reims,26,25.3,48.8,28,308,2520,28.0,25,16,20,5,5,52.0,5.0,0.89,0.57,1.46,0.71,1.29,28.4,24.7,18.4,43.1,1.01,0.66,1.67,0.88,1.54,Ligue 1,2019-2020,67732085073987538
75,Rennes,26,25.5,49.8,28,308,2520,28.0,37,26,34,3,5,51.0,1.0,1.32,0.93,2.25,1.21,2.14,36.3,32.5,23.6,56.1,1.3,0.84,2.14,1.16,2.0,Ligue 1,2019-2020,96819424452761337
76,Roma,31,26.9,52.9,38,418,3420,38.0,73,47,61,12,14,111.0,7.0,1.92,1.24,3.16,1.61,2.84,72.6,62.2,47.3,109.5,1.91,1.24,3.15,1.64,2.88,Serie A,2019-2020,764736481564168
77,Saint-Étienne,31,27.0,48.0,28,308,2520,28.0,28,20,23,5,5,59.0,3.0,1.0,0.71,1.71,0.82,1.54,28.8,25.1,18.2,43.3,1.03,0.65,1.68,0.9,1.55,Ligue 1,2019-2020,56226069621228236
78,Sampdoria,31,26.0,42.4,38,418,3420,38.0,48,25,39,9,12,111.0,7.0,1.26,0.66,1.92,1.03,1.68,51.2,42.0,30.2,72.3,1.35,0.8,2.14,1.11,1.9,Serie A,2019-2020,89407679695143145
79,Sassuolo,31,26.4,57.8,38,418,3420,38.0,69,49,64,5,6,99.0,3.0,1.82,1.29,3.11,1.68,2.97,56.0,51.4,39.4,90.8,1.47,1.04,2.51,1.35,2.39,Serie A,2019-2020,79200252522790650
80,Schalke 04,29,24.6,49.0,34,374,3060,34.0,35,25,33,2,2,64.0,2.0,1.03,0.74,1.76,0.97,1.71,35.4,33.8,25.0,58.8,1.04,0.73,1.77,1.0,1.73,Bundesliga,2019-2020,24345039935475884
81,Sevilla,26,27.7,58.4,38,418,3420,38.0,53,35,46,7,7,97.0,1.0,1.39,0.92,2.32,1.21,2.13,47.1,42.0,32.5,74.5,1.24,0.86,2.1,1.11,1.96,La Liga,2019-2020,22702270477938803
82,Sheffield Utd,26,26.9,43.1,38,418,3420,38.0,36,25,35,1,1,63.0,2.0,0.95,0.66,1.61,0.92,1.58,41.5,40.8,31.5,72.3,1.09,0.83,1.92,1.07,1.9,Premier League,2019-2020,93216768512646707
83,Southampton,25,25.9,49.3,38,418,3420,38.0,51,32,49,2,5,55.0,4.0,1.34,0.84,2.18,1.29,2.13,54.0,50.0,31.4,81.5,1.42,0.83,2.25,1.32,2.14,Premier League,2019-2020,21037626007536306
84,SPAL,34,27.5,46.8,38,418,3420,38.0,27,17,22,5,7,98.0,4.0,0.71,0.45,1.16,0.58,1.03,39.1,33.8,23.1,56.9,1.03,0.61,1.64,0.89,1.5,Serie A,2019-2020,73622612860183040
85,Strasbourg,25,25.8,49.7,27,297,2430,27.0,32,21,29,3,4,46.0,1.0,1.19,0.78,1.96,1.07,1.85,34.9,31.9,23.6,55.5,1.29,0.87,2.17,1.18,2.06,Ligue 1,2019-2020,92234479374253707
86,Torino,27,27.3,47.5,38,418,3420,38.0,44,29,37,7,8,96.0,7.0,1.16,0.76,1.92,0.97,1.74,42.4,37.1,26.6,63.7,1.12,0.7,1.82,0.98,1.68,Serie A,2019-2020,21846272194836439
87,Tottenham,29,26.7,52.2,38,418,3420,38.0,56,39,53,3,4,84.0,3.0,1.47,1.03,2.5,1.39,2.42,46.1,43.0,30.8,73.8,1.21,0.81,2.02,1.13,1.94,Premier League,2019-2020,22006624071753704
88,Toulouse,30,25.1,44.0,28,308,2520,28.0,21,14,17,4,6,48.0,5.0,0.75,0.5,1.25,0.61,1.11,30.1,25.5,18.2,43.7,1.07,0.65,1.72,0.91,1.56,Ligue 1,2019-2020,94523000561782573
89,Udinese,25,26.5,44.7,38,418,3420,38.0,37,26,37,0,0,77.0,3.0,0.97,0.68,1.66,0.97,1.66,40.6,40.6,30.5,71.1,1.07,0.8,1.87,1.07,1.87,Serie A,2019-2020,48393495896639342
90,Union Berlin,26,27.7,41.8,34,374,3060,34.0,38,27,34,4,5,71.0,5.0,1.12,0.79,1.91,1.0,1.79,38.3,34.5,25.0,59.5,1.13,0.73,1.86,1.02,1.75,Bundesliga,2019-2020,71630543971501382
91,Valencia,28,27.0,48.9,38,418,3420,38.0,44,34,39,5,8,80.0,8.0,1.16,0.89,2.05,1.03,1.92,40.3,34.3,29.1,63.4,1.06,0.77,1.83,0.9,1.67,La Liga,2019-2020,65158650443085242
92,Valladolid,30,27.1,44.3,38,418,3420,38.0,31,19,28,3,6,84.0,0.0,0.82,0.5,1.32,0.74,1.24,35.5,30.9,22.4,53.3,0.93,0.59,1.52,0.81,1.4,La Liga,2019-2020,44089518275887893
93,Villarreal,25,27.6,53.2,38,418,3420,38.0,62,40,52,10,11,78.0,1.0,1.63,1.05,2.68,1.37,2.42,57.0,48.7,37.0,85.7,1.5,0.97,2.48,1.28,2.26,La Liga,2019-2020,63335634096533483
94,Watford,26,28.9,42.5,38,418,3420,38.0,35,21,28,7,8,80.0,3.0,0.92,0.55,1.47,0.74,1.29,45.1,39.1,28.2,67.3,1.19,0.74,1.93,1.03,1.77,Premier League,2019-2020,73743918793554398
95,Werder Bremen,30,26.7,48.8,34,374,3060,34.0,40,30,37,3,6,80.0,4.0,1.18,0.88,2.06,1.09,1.97,41.4,36.9,27.5,64.4,1.22,0.81,2.03,1.09,1.89,Bundesliga,2019-2020,59303898890876434
96,West Ham,29,27.4,44.0,38,418,3420,38.0,49,36,45,4,4,64.0,1.0,1.29,0.95,2.24,1.18,2.13,46.2,43.2,31.8,75.0,1.22,0.84,2.05,1.14,1.97,Premier League,2019-2020,57680956417459581
97,Wolfsburg,26,26.0,48.3,34,374,3060,34.0,48,33,44,4,4,71.0,4.0,1.41,0.97,2.38,1.29,2.26,47.3,44.3,34.1,78.5,1.39,1.0,2.4,1.3,2.31,Bundesliga,2019-2020,85159484018358879
98,Wolves,21,26.6,48.3,38,418,3420,38.0,49,34,45,4,4,61.0,2.0,1.29,0.89,2.18,1.18,2.08,47.1,44.1,32.3,76.3,1.24,0.85,2.09,1.16,2.01,Premier League,2019-2020,24001928852251903
1,Alavés,26,26.7,42.7,38,418,3420,38.0,39,27,37,2,3,101.0,1.0,1.03,0.71,1.74,0.97,1.68,37.3,35.0,23.9,58.9,0.98,0.63,1.61,0.92,1.55,La Liga,2018-2019,37745278530914180
2,Amiens,26,26.5,46.7,38,418,3420,38.0,30,22,28,2,3,59.0,6.0,0.79,0.58,1.37,0.74,1.32,34.6,32.3,23.1,55.5,0.91,0.61,1.52,0.85,1.46,Ligue 1,2018-2019,20069478421376018
3,Angers,24,28.0,43.2,38,418,3420,38.0,42,27,37,5,10,49.0,4.0,1.11,0.71,1.82,0.97,1.68,47.7,39.8,29.6,69.4,1.25,0.78,2.03,1.05,1.83,Ligue 1,2018-2019,66587352409382849
4,Arsenal,28,26.7,58.0,38,418,3420,38.0,69,52,65,4,5,73.0,2.0,1.82,1.37,3.18,1.71,3.08,58.0,54.1,45.5,99.6,1.53,1.2,2.72,1.42,2.62,Premier League,2018-2019,5838645288327307
5,Atalanta,27,26.5,57.8,38,418,3420,38.0,75,60,73,2,4,62.0,3.0,1.97,1.58,3.55,1.92,3.5,66.9,63.9,50.2,114.0,1.76,1.32,3.08,1.68,3.0,Serie A,2018-2019,87465877057901989
6,Athletic Club,27,27.6,50.1,38,418,3420,38.0,38,26,33,5,7,118.0,4.0,1.0,0.68,1.68,0.87,1.55,40.2,34.8,25.3,60.1,1.06,0.66,1.72,0.92,1.58,La Liga,2018-2019,4823083458145023
7,Atlético Madrid,29,26.4,49.4,38,418,3420,38.0,52,36,49,3,4,100.0,5.0,1.37,0.95,2.32,1.29,2.24,46.0,42.9,31.3,74.3,1.21,0.82,2.04,1.13,1.95,La Liga,2018-2019,74713976168286555
8,Augsburg,30,26.5,46.6,34,374,3060,34.0,50,33,45,5,5,55.0,1.0,1.47,0.97,2.44,1.32,2.29,43.3,39.6,28.8,68.3,1.27,0.85,2.12,1.16,2.01,Bundesliga,2018-2019,82828683183786310
9,Barcelona,30,27.7,64.2,38,418,3420,38.0,88,61,80,8,9,76.0,2.0,2.32,1.61,3.92,2.11,3.71,73.8,67.0,53.7,120.7,1.94,1.41,3.36,1.76,3.18,La Liga,2018-2019,81744823723090567
10,Bayern Munich,24,27.4,65.5,34,374,3060,34.0,86,62,83,3,4,42.0,2.0,2.53,1.82,4.35,2.44,4.26,80.8,77.8,59.9,137.6,2.38,1.76,4.14,2.29,4.05,Bundesliga,2018-2019,7510926916741648
11,Betis,25,26.7,61.7,38,418,3420,38.0,43,30,38,5,7,89.0,1.0,1.13,0.79,1.92,1.0,1.79,48.8,43.5,33.3,76.8,1.28,0.88,2.16,1.14,2.02,La Liga,2018-2019,9423348454032625
12,Bologna,29,27.0,44.7,38,418,3420,38.0,45,35,40,5,5,91.0,6.0,1.18,0.92,2.11,1.05,1.97,47.4,43.6,30.8,74.4,1.25,0.81,2.06,1.15,1.96,Serie A,2018-2019,23275147453355121
13,Bordeaux,33,25.3,50.2,38,418,3420,38.0,34,26,29,5,6,74.0,5.0,0.89,0.68,1.58,0.76,1.45,40.3,35.8,27.9,63.7,1.06,0.74,1.8,0.94,1.68,Ligue 1,2018-2019,12683680850395737
14,Bournemouth,28,26.6,46.8,38,418,3420,38.0,55,43,48,7,9,60.0,1.0,1.45,1.13,2.58,1.26,2.39,54.2,47.4,37.8,85.1,1.43,0.99,2.42,1.25,2.24,Premier League,2018-2019,36088947257895306
15,Brighton,21,27.4,42.6,38,418,3420,38.0,35,24,30,5,6,61.0,4.0,0.92,0.63,1.55,0.79,1.42,34.1,29.6,22.7,52.3,0.9,0.6,1.5,0.78,1.38,Premier League,2018-2019,49072214318111932
16,Burnley,23,28.0,41.2,38,418,3420,38.0,43,32,41,2,2,75.0,1.0,1.13,0.84,1.97,1.08,1.92,40.7,39.1,25.6,64.7,1.07,0.67,1.74,1.03,1.7,Premier League,2018-2019,21823480134907726
17,Caen,27,25.8,44.2,38,418,3420,38.0,29,17,25,4,4,79.0,6.0,0.76,0.45,1.21,0.66,1.11,31.1,28.1,18.8,46.9,0.82,0.5,1.31,0.74,1.23,Ligue 1,2018-2019,21277886218272520
18,Cagliari,30,27.9,50.0,38,418,3420,38.0,36,27,34,2,3,94.0,9.0,0.95,0.71,1.66,0.89,1.61,39.1,36.9,27.5,64.3,1.03,0.72,1.75,0.97,1.69,Serie A,2018-2019,32968728316179674
19,Cardiff City,25,27.7,35.6,38,418,3420,38.0,33,20,30,3,4,66.0,1.0,0.87,0.53,1.39,0.79,1.32,39.5,36.5,22.4,58.9,1.04,0.59,1.63,0.96,1.55,Premier League,2018-2019,69924771535350567
20,Celta Vigo,28,25.5,51.7,38,418,3420,38.0,52,37,45,7,7,79.0,6.0,1.37,0.97,2.34,1.18,2.16,44.8,39.7,29.9,69.6,1.18,0.79,1.97,1.04,1.83,La Liga,2018-2019,14218303985450920
21,Chelsea,24,27.3,62.8,38,418,3420,38.0,61,52,56,5,5,49.0,0.0,1.61,1.37,2.97,1.47,2.84,58.2,54.4,45.0,99.4,1.53,1.18,2.72,1.43,2.62,Premier League,2018-2019,58172670324373785
22,Chievo,36,28.3,43.1,38,418,3420,38.0,25,17,21,4,6,110.0,7.0,0.66,0.45,1.11,0.55,1.0,35.6,31.3,22.8,54.1,0.94,0.6,1.54,0.82,1.42,Serie A,2018-2019,83748145049842906
23,Crystal Palace,26,27.4,45.0,38,418,3420,38.0,48,33,38,10,11,58.0,2.0,1.26,0.87,2.13,1.0,1.87,50.9,42.9,31.1,74.0,1.34,0.82,2.16,1.13,1.95,Premier League,2018-2019,15352059381074619
24,Dijon,26,27.1,47.9,38,418,3420,38.0,29,21,26,3,4,75.0,7.0,0.76,0.55,1.32,0.68,1.24,39.5,36.4,25.7,62.1,1.04,0.68,1.72,0.96,1.63,Ligue 1,2018-2019,59239312409540653
25,Dortmund,23,24.8,58.0,34,374,3060,34.0,80,60,76,4,4,40.0,3.0,2.35,1.76,4.12,2.24,4.0,58.4,55.4,42.3,97.8,1.72,1.24,2.96,1.63,2.88,Bundesliga,2018-2019,6921931827204601
26,Düsseldorf,24,26.9,43.1,34,374,3060,34.0,48,35,43,5,7,67.0,1.0,1.41,1.03,2.44,1.26,2.29,46.7,41.4,34.0,75.4,1.37,1.0,2.37,1.22,2.22,Bundesliga,2018-2019,6414184432322702
27,Eibar,25,28.5,54.1,38,418,3420,38.0,46,26,39,7,8,81.0,2.0,1.21,0.68,1.89,1.03,1.71,50.7,44.8,31.7,76.5,1.34,0.84,2.17,1.18,2.01,La Liga,2018-2019,67267904110326262
28,Eint Frankfurt,30,26.4,47.3,34,374,3060,34.0,60,42,56,4,4,58.0,3.0,1.76,1.24,3.0,1.65,2.88,55.4,52.4,38.4,90.8,1.63,1.13,2.76,1.54,2.67,Bundesliga,2018-2019,37929111009288632
29,Empoli,29,26.4,47.9,38,418,3420,38.0,48,36,44,4,7,73.0,3.0,1.26,0.95,2.21,1.16,2.11,52.0,46.7,34.0,80.6,1.37,0.89,2.26,1.23,2.12,Serie A,2018-2019,77726683749984272
30,Espanyol,25,27.7,49.5,38,418,3420,38.0,44,26,40,4,4,90.0,2.0,1.16,0.68,1.84,1.05,1.74,48.8,45.8,32.6,78.4,1.28,0.86,2.14,1.2,2.06,La Liga,2018-2019,71314269182841176
31,Everton,23,25.7,51.5,38,418,3420,38.0,53,34,51,2,5,56.0,4.0,1.39,0.89,2.29,1.34,2.24,47.3,43.3,30.4,73.7,1.24,0.8,2.04,1.14,1.94,Premier League,2018-2019,57482013681231466
32,Fiorentina,27,24.1,50.7,38,418,3420,38.0,45,24,40,5,6,89.0,5.0,1.18,0.63,1.82,1.05,1.68,52.4,47.9,33.8,81.7,1.38,0.89,2.27,1.26,2.15,Serie A,2018-2019,24325362613855847
33,Freiburg,28,25.8,44.2,34,374,3060,34.0,44,25,39,5,6,54.0,3.0,1.29,0.74,2.03,1.15,1.88,42.2,37.6,25.9,63.5,1.24,0.76,2.0,1.11,1.87,Bundesliga,2018-2019,17577284562417651
34,Frosinone,33,26.4,41.1,38,418,3420,38.0,28,21,24,4,5,99.0,2.0,0.74,0.55,1.29,0.63,1.18,35.5,31.7,24.7,56.4,0.93,0.65,1.58,0.84,1.49,Serie A,2018-2019,87953309350363757
35,Fulham,28,26.0,48.6,38,418,3420,38.0,33,24,31,2,3,70.0,2.0,0.87,0.63,1.5,0.82,1.45,39.0,36.7,28.2,64.9,1.03,0.74,1.77,0.97,1.71,Premier League,2018-2019,19227944656237519
36,Genoa,31,26.0,43.1,38,418,3420,38.0,37,26,33,4,5,95.0,7.0,0.97,0.68,1.66,0.87,1.55,43.6,39.8,27.1,66.9,1.15,0.71,1.86,1.05,1.76,Serie A,2018-2019,87033800759594150
37,Getafe,26,27.5,40.8,38,418,3420,38.0,47,34,41,6,6,107.0,7.0,1.24,0.89,2.13,1.08,1.97,44.7,40.2,29.0,69.2,1.18,0.76,1.94,1.06,1.82,La Liga,2018-2019,23789167582387071
