Rk,Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog,League,Season,TeamID
98,Wolves,21,46.9,38.0,22795,2214,7347,11156,5652,825,21050,347,591,58.7,375,13,14501,72910,41165,1664,452,177,467,479,17121,14054,82.1,1373,Premier League,2018-2019,24001928852251903
1,Alavés,30,39.8,38.0,17627,2150,6162,8241,4235,639,16164,358,552,64.9,395,23,10639,52772,26536,1004,322,110,448,370,11683,9346,80.0,1243,La Liga,2017-2018,37745278530914180
2,Amiens,30,43.4,38.0,19793,2407,7759,8922,4437,544,18245,321,538,59.7,350,9,11643,64325,33401,1175,379,72,513,437,13120,10940,83.4,1373,Ligue 1,2017-2018,20069478421376018
3,Angers,27,44.9,38.0,20741,1705,6945,9804,5385,686,19158,311,564,55.1,342,23,13113,73653,37235,1434,463,113,510,422,14432,12407,86.0,1565,Ligue 1,2017-2018,66587352409382849
4,Arsenal,30,61.5,38.0,29511,2394,7955,14933,8437,1255,27805,394,646,61.0,435,30,19526,96571,51212,2443,702,189,489,449,23745,20840,87.8,1933,Premier League,2017-2018,5838645288327307
5,Atalanta,25,55.2,38.0,25771,2066,7492,12493,7535,1202,23989,485,740,65.5,522,16,17534,93137,49108,2095,667,187,553,554,19093,16813,88.1,2042,Serie A,2017-2018,87465877057901989
6,Athletic Club,26,49.7,38.0,21099,2132,6403,10287,5825,855,19702,324,548,59.1,361,26,13660,74758,39197,1551,507,108,456,334,15390,12708,82.6,1608,La Liga,2017-2018,4823083458145023
7,Atlético Madrid,26,47.3,38.0,22528,2086,7072,10958,5949,845,21203,365,594,61.4,407,25,15484,76000,38921,1576,491,150,454,388,16640,14162,85.1,1592,La Liga,2017-2018,74713976168286555
8,Augsburg,27,45.6,34.0,18332,2085,6452,8426,4557,693,16651,251,419,59.9,282,16,10518,56585,29165,1011,343,87,460,368,12522,10179,81.3,1479,Bundesliga,2017-2018,82828683183786310
9,Barcelona,25,63.1,38.0,28834,2273,7716,14165,9030,1389,27625,617,953,64.7,673,35,22156,109504,58996,2436,826,252,444,401,23805,21306,89.5,2023,La Liga,2017-2018,81744823723090567
10,Bayern Munich,28,65.9,34.0,27560,1897,6645,14579,8073,1194,26139,342,529,64.7,363,15,20716,100380,53524,2428,697,181,432,388,22679,20441,90.1,1974,Bundesliga,2017-2018,7510926916741648
11,Benevento,41,47.7,38.0,22160,2698,8463,10498,4844,663,20460,467,747,62.5,515,30,14874,84429,47024,1597,492,133,472,470,16300,14168,86.9,1286,Serie A,2017-2018,38159059008947812
12,Betis,29,57.7,38.0,24882,2519,8155,12664,5697,694,23696,392,580,67.6,417,24,18494,93912,48719,1843,573,153,459,367,19397,17395,89.7,1473,La Liga,2017-2018,9423348454032625
13,Bologna,30,47.2,38.0,22199,2656,8070,10637,4846,621,20366,400,632,63.3,430,19,14001,71084,37754,1391,418,92,558,461,15943,13638,85.5,1356,Serie A,2017-2018,23275147453355121
14,Bordeaux,31,50.7,38.0,22288,1909,7499,10338,6228,824,20844,376,648,58.0,427,16,14778,90185,48692,1776,600,135,488,441,16359,14055,85.9,1650,Ligue 1,2017-2018,12683680850395737
15,Bournemouth,22,47.8,38.0,22846,2631,8024,10429,5889,902,20853,368,658,55.9,403,27,13062,73987,41116,1635,482,160,536,528,16285,13512,83.0,1275,Premier League,2017-2018,36088947257895306
16,Brighton,24,43.7,38.0,20795,2737,7992,9236,4735,658,19096,311,502,62.0,335,12,11622,61562,32642,1164,357,113,461,387,14951,11951,79.9,1031,Premier League,2017-2018,49072214318111932
17,Burnley,24,43.9,38.0,19875,2525,6789,9083,4919,668,18031,246,421,58.4,273,20,10364,50076,25007,981,320,72,464,403,13582,10495,77.3,1013,Premier League,2017-2018,21823480134907726
18,Caen,26,45.5,38.0,20286,1927,6973,9137,5599,632,18695,292,470,62.1,326,27,11650,70384,37101,1306,450,71,538,371,13773,11292,82.0,1617,Ligue 1,2017-2018,21277886218272520
19,Cagliari,29,45.2,38.0,20989,2325,7222,10018,4876,745,19087,283,484,58.5,317,11,12282,58722,30667,1146,348,88,475,393,14590,12167,83.4,1460,Serie A,2017-2018,32968728316179674
20,Celta Vigo,23,56.1,38.0,24396,2437,8186,12186,5669,822,23170,351,572,61.4,388,15,17652,92386,46421,1699,558,152,441,365,18845,16520,87.7,1636,La Liga,2017-2018,14218303985450920
21,Chelsea,26,55.4,38.0,27451,2527,8695,13021,7598,1124,25744,448,740,60.5,481,41,18162,96309,54605,2358,646,223,496,431,21891,18953,86.6,1718,Premier League,2017-2018,58172670324373785
22,Chievo,25,44.3,38.0,21317,2548,7249,10009,5301,695,19519,289,476,60.7,307,7,12956,64259,32815,1201,433,71,414,417,14883,12575,84.5,1542,Serie A,2017-2018,83748145049842906
23,Crotone,29,40.1,38.0,19532,2466,6946,9134,4539,632,17762,292,502,58.2,318,15,11130,54891,29330,1083,378,80,548,401,12906,10311,79.9,1420,Serie A,2017-2018,33431629624225246
24,Crystal Palace,28,45.3,38.0,21218,2322,6917,9830,5708,915,19295,455,755,60.3,506,18,12214,62807,33820,1446,466,168,522,527,14942,11832,79.2,1216,Premier League,2017-2018,15352059381074619
25,Dijon,26,48.4,38.0,21148,2319,8176,9420,5244,710,19703,368,594,62.0,400,9,13878,85346,45695,1553,496,97,457,408,15276,12787,83.7,1505,Ligue 1,2017-2018,59239312409540653
26,Dortmund,30,59.0,34.0,24361,1797,6311,13227,6413,977,22708,382,623,61.3,415,19,17035,88378,47414,2109,596,181,466,413,19183,16586,86.5,1671,Bundesliga,2017-2018,6921931827204601
27,Eibar,27,52.4,38.0,21589,1645,5302,10733,6844,831,19889,341,554,61.6,377,12,13679,71650,34347,1479,518,112,528,375,15436,12513,81.1,1716,La Liga,2017-2018,67267904110326262
28,Eint Frankfurt,28,48.4,34.0,19633,1981,6347,10022,4436,772,17962,317,536,59.1,339,10,11883,61001,32318,1205,332,113,481,406,14030,11441,81.5,1543,Bundesliga,2017-2018,37929111009288632
29,Espanyol,25,46.8,38.0,20772,2110,7101,10014,4864,666,19340,354,537,65.9,392,17,13621,66139,32897,1256,406,108,444,350,14682,12349,84.1,1394,La Liga,2017-2018,71314269182841176
30,Everton,30,45.9,38.0,21403,2579,7376,10004,5155,679,19576,314,561,56.0,343,20,11906,58049,28891,1084,329,92,549,434,15097,11989,79.4,1116,Premier League,2017-2018,57482013681231466
31,Fiorentina,27,52.6,38.0,24197,2173,7374,12146,6138,928,22481,388,655,59.2,416,21,15866,77591,42668,1647,546,140,481,474,17491,15290,87.4,1850,Serie A,2017-2018,24325362613855847
32,Freiburg,29,44.5,34.0,18860,2348,6984,8992,3978,580,17209,268,459,58.4,303,12,11395,58027,29900,1037,328,85,443,366,13199,11014,83.4,1314,Bundesliga,2017-2018,17577284562417651
33,Genoa,33,46.3,38.0,21766,2297,7053,10466,5668,792,19990,343,535,64.1,377,26,13850,71018,39489,1553,538,102,491,447,15695,13218,84.2,1547,Serie A,2017-2018,87033800759594150
34,Getafe,32,39.4,38.0,17018,1916,5549,7551,4869,685,15310,310,536,57.8,338,24,9975,48573,23304,825,302,78,452,404,11074,8463,76.4,1423,La Liga,2017-2018,23789167582387071
35,Girona,25,46.8,38.0,19454,1938,6406,9343,4912,744,18068,338,555,60.9,374,20,12584,64236,30673,1229,384,97,431,360,13526,11412,84.4,1383,La Liga,2017-2018,12545195302828957
36,Guingamp,23,49.7,38.0,21573,2017,7151,10055,5885,746,20049,341,534,63.9,374,5,13463,80459,41393,1583,490,140,466,437,15419,13225,85.8,1563,Ligue 1,2017-2018,16872092436156260
37,Hamburger SV,29,49.1,34.0,19354,1927,6147,9272,5041,787,17486,330,571,57.8,368,19,11339,59241,31545,1199,358,112,512,498,13356,10768,80.6,1502,Bundesliga,2017-2018,42905483414913667
38,Hannover 96,26,47.1,34.0,19329,2325,7214,8851,4396,668,17540,293,503,58.3,325,5,11129,57754,31596,1127,354,101,487,398,13408,10882,81.2,1540,Bundesliga,2017-2018,10121335889457780
39,Hellas Verona,32,41.8,38.0,20117,3000,8022,9000,4434,552,18376,426,691,61.6,468,30,12339,66956,35989,1230,431,98,486,463,13890,11493,82.7,1187,Serie A,2017-2018,45227680351245381
40,Hertha BSC,25,45.9,34.0,19581,2184,6517,9820,4332,546,18017,290,514,56.4,323,13,12067,59091,29604,1092,343,94,462,342,14044,11673,83.1,1294,Bundesliga,2017-2018,59737400018465050
41,Hoffenheim,26,51.3,34.0,21227,2250,7481,10385,4785,860,19722,312,515,60.6,336,12,13987,72197,40081,1565,490,147,457,439,16075,13769,85.7,1597,Bundesliga,2017-2018,29322720181807625
42,Huddersfield,25,45.7,38.0,21730,2411,7453,10048,5507,592,19805,279,557,50.1,307,25,12048,63219,31411,1225,424,112,512,489,15152,12081,79.7,1012,Premier League,2017-2018,70397411865897550
43,Inter,22,56.9,38.0,26783,2330,7788,13556,7207,1048,25126,393,665,59.1,436,26,18563,96054,53678,2109,668,176,422,369,21016,18750,89.2,1778,Serie A,2017-2018,53198597771575973
44,Juventus,24,57.1,38.0,27527,2134,7990,14457,6798,881,26051,447,696,64.2,484,23,20053,96047,49191,1984,599,156,487,436,22157,20058,90.5,1698,Serie A,2017-2018,19371054131726661
45,Köln,31,47.5,34.0,19697,2134,6329,9869,4647,722,18059,278,477,58.3,301,5,12155,61079,31871,1259,359,112,452,342,14198,11700,82.4,1473,Bundesliga,2017-2018,39731782814123330
46,La Coruña,32,46.6,38.0,20411,2047,6669,9527,5502,804,19066,368,544,67.6,392,7,13443,69158,35102,1408,466,137,415,376,14682,12284,83.7,1555,La Liga,2017-2018,31828180925314031
47,Las Palmas,36,55.1,38.0,23070,2347,7666,11516,5464,720,21693,422,611,69.1,451,18,16708,85710,43341,1615,544,114,501,454,17248,15166,87.9,1470,La Liga,2017-2018,33189055458748528
48,Lazio,24,51.1,38.0,24559,2214,7838,11757,6754,1092,23023,466,751,62.1,501,32,16833,91698,52074,1997,606,196,541,451,18776,16308,86.9,1848,Serie A,2017-2018,90751438076496109
49,Leganés,28,42.5,38.0,18694,1933,6381,8663,4720,648,17136,374,585,63.9,406,22,11703,58876,27589,1063,365,98,462,418,12570,10185,81.0,1377,La Liga,2017-2018,20237473683555152
50,Leicester City,27,47.9,38.0,21717,2389,7115,10602,5320,736,19775,421,727,57.9,455,27,12270,66562,35256,1317,402,118,468,458,15586,12332,79.1,1111,Premier League,2017-2018,18776461863573874
51,Levante,33,42.5,38.0,18404,2145,6257,8258,5090,762,16894,363,581,62.5,391,15,11824,63409,33880,1309,451,132,487,433,12684,10471,82.6,1511,La Liga,2017-2018,1566092639264277
52,Leverkusen,24,54.6,34.0,22502,2030,6713,11427,5822,946,20838,430,633,67.9,464,18,15148,81196,42593,1771,526,166,467,465,16994,14642,86.2,1814,Bundesliga,2017-2018,36794408106212849
53,Lille,25,53.5,38.0,23694,2005,8252,11229,6074,685,22448,491,748,65.6,518,13,16805,97370,52363,1854,585,128,574,517,17743,15564,87.7,1632,Ligue 1,2017-2018,85603837513355486
54,Liverpool,27,60.5,38.0,29199,2037,7686,15678,7739,1250,27440,446,721,61.9,488,24,19876,100826,56270,2421,696,207,552,483,23427,20257,86.5,1957,Premier League,2017-2018,41956650829873911
55,Lyon,26,55.6,38.0,24876,1985,8012,12021,6738,885,23539,432,753,57.4,475,23,17171,101729,55612,2116,640,182,502,484,18872,16846,89.3,1628,Ligue 1,2017-2018,87005642993871754
56,M'Gladbach,27,52.0,34.0,22062,2274,7179,11032,5310,823,20456,383,599,63.9,420,19,14900,77134,41714,1631,451,160,415,451,16711,14496,86.7,1551,Bundesliga,2017-2018,81611584009946193
57,Mainz 05,27,44.3,34.0,18314,1972,6236,8862,4316,626,16711,327,585,55.9,362,17,10891,56318,30665,1144,340,98,476,441,12373,10117,81.8,1386,Bundesliga,2017-2018,71158960989778912
58,Málaga,37,44.0,38.0,19587,2064,6386,9341,4936,633,18048,301,497,60.6,322,11,12339,59655,28341,1058,378,89,472,425,13470,11168,82.9,1397,La Liga,2017-2018,79809637287620621
59,Manchester City,25,71.1,38.0,34056,1989,7545,18614,10114,1435,32359,414,665,62.3,450,22,24205,118508,69212,3161,920,288,488,512,28854,26108,90.5,2041,Premier League,2017-2018,74026506610392765
60,Manchester Utd,27,54.8,38.0,26311,2324,7233,13581,7120,1008,24531,442,741,59.6,486,38,17288,86842,48497,2181,615,197,480,532,20499,17775,86.7,1437,Premier League,2017-2018,29078730489839024
61,Marseille,26,58.0,38.0,24800,1862,8227,11301,7031,942,23397,360,601,59.9,393,10,16715,89559,48998,1918,602,183,519,429,18546,16580,89.4,1440,Ligue 1,2017-2018,66190039714113630
62,Metz,36,45.5,38.0,20560,1918,6804,9415,5733,634,19038,305,517,59.0,338,16,12586,70619,36523,1345,478,88,494,391,14186,12159,85.7,1555,Ligue 1,2017-2018,14635757597311544
63,Milan,23,55.9,38.0,25667,2120,7429,12728,7137,974,24086,312,478,65.3,344,14,18087,86967,47691,2024,655,173,455,413,19838,17744,89.4,1600,Serie A,2017-2018,59378513948613436
64,Monaco,32,50.9,38.0,22189,1802,6779,10662,6352,838,20716,349,605,57.7,387,24,14229,83512,46126,1814,574,150,498,383,16138,13858,85.9,1764,Ligue 1,2017-2018,79093238158793616
65,Montpellier,23,46.9,38.0,21347,1819,7092,9723,6141,734,19834,295,519,56.8,328,16,13385,79914,42807,1616,584,124,471,423,15113,13023,86.2,1692,Ligue 1,2017-2018,32434714471076965
66,Nantes,30,43.9,38.0,20457,2138,6939,8880,5938,721,18923,299,500,59.8,329,4,12395,66721,34759,1357,466,97,538,409,14019,11474,81.8,1577,Ligue 1,2017-2018,25802633648495862
67,Napoli,23,63.2,38.0,32977,1901,7143,18407,9349,1092,31365,381,697,54.7,421,30,23717,100170,59295,2675,792,194,450,404,27690,24985,90.2,2270,Serie A,2017-2018,10516137814401134
68,Newcastle Utd,27,41.7,38.0,20506,2404,7533,9086,5025,687,18668,340,580,58.6,377,25,11071,55029,29376,1076,374,84,485,463,14089,11037,78.3,1042,Premier League,2017-2018,29528772732587842
69,Nice,31,58.0,38.0,26725,2205,9443,13242,6059,754,25545,436,676,64.5,467,16,19229,103835,57298,2218,593,176,450,430,21034,19266,91.6,1552,Ligue 1,2017-2018,11720969662561653
70,Paris S-G,26,66.5,38.0,29302,1770,7801,15589,8223,1274,28186,507,838,60.5,548,34,22060,126237,69314,2845,772,230,437,374,23974,22005,91.8,2047,Ligue 1,2017-2018,11177590892093073
71,RB Leipzig,23,54.9,34.0,22610,1863,6265,11888,5939,920,20869,468,773,60.5,505,17,14713,74893,40916,1866,556,165,511,470,16738,14201,84.8,1744,Bundesliga,2017-2018,68159208261559796
72,Real Madrid,24,60.5,38.0,27475,1823,7025,13397,8919,1406,26298,447,653,68.5,470,12,21578,110618,57350,2511,752,291,394,344,22511,20155,89.5,2085,La Liga,2017-2018,29627131003986350
73,Real Sociedad,27,56.8,38.0,24091,2354,7876,11460,6596,925,22750,311,512,60.7,337,12,17636,97656,51900,1951,620,155,493,417,18666,16400,87.9,1746,La Liga,2017-2018,57299950304530590
74,Rennes,28,50.2,38.0,21788,1727,6602,10436,6142,677,20201,262,503,52.1,290,18,13597,74969,39602,1537,477,102,501,423,15721,13282,84.5,1690,Ligue 1,2017-2018,96819424452761337
75,Roma,27,58.0,38.0,25758,2228,7178,12747,7638,1107,24091,429,715,60.0,475,21,18030,96585,51662,2150,652,202,493,467,19799,17296,87.4,2164,Serie A,2017-2018,764736481564168
76,Saint-Étienne,30,51.3,38.0,22688,2272,8130,10416,5803,730,21197,308,505,61.0,340,15,14663,88961,46367,1737,513,141,451,471,16543,14310,86.5,1479,Ligue 1,2017-2018,56226069621228236
77,Sampdoria,27,53.4,38.0,24644,2385,6950,13043,6197,845,22818,417,664,62.8,449,18,16024,75770,42856,1692,489,116,493,519,18390,16148,87.8,1830,Serie A,2017-2018,89407679695143145
78,Sassuolo,28,43.2,38.0,20244,2361,6722,9109,5637,746,18434,332,551,60.3,370,12,12280,64848,34314,1311,433,114,425,480,14016,11497,82.0,1579,Serie A,2017-2018,79200252522790650
79,Schalke 04,24,46.7,34.0,19745,1876,6512,10303,4271,711,18186,382,626,61.0,411,18,12775,69494,38435,1453,467,138,455,422,14064,12031,85.5,1303,Bundesliga,2017-2018,24345039935475884
80,Sevilla,31,54.5,38.0,24031,2041,7224,11888,6503,1044,22669,371,558,66.5,407,18,17106,85080,44858,1848,580,215,429,401,18124,15762,87.0,1900,La Liga,2017-2018,22702270477938803
81,Southampton,26,51.5,38.0,23455,2192,7153,11561,6165,808,21571,364,566,64.3,396,23,14186,71581,38768,1573,490,128,445,423,17308,14319,82.7,1351,Premier League,2017-2018,21037626007536306
82,SPAL,29,45.1,38.0,20466,2421,7272,9830,4724,606,18598,404,603,67.0,435,16,12893,66856,37702,1348,442,78,437,452,14138,12214,86.4,1263,Serie A,2017-2018,73622612860183040
83,Stoke City,30,41.3,38.0,19298,2679,6746,8868,4706,692,17415,357,638,56.0,394,27,10092,51646,26081,991,337,88,494,408,13014,10142,77.9,1041,Premier League,2017-2018,55848606059653975
84,Strasbourg,25,49.2,38.0,20790,2010,7764,9287,5265,726,19237,313,512,61.1,352,16,12886,72880,39176,1411,440,92,509,382,14298,12322,86.2,1445,Ligue 1,2017-2018,92234479374253707
85,Stuttgart,26,46.7,34.0,19993,2184,6714,9888,4532,622,18370,268,480,55.8,291,7,12154,60901,31924,1208,390,110,391,344,14704,12101,82.3,1304,Bundesliga,2017-2018,81761661302668293
86,Swansea City,26,45.2,38.0,21754,2594,7546,10497,5045,599,19902,339,605,56.0,372,17,13276,68463,35803,1316,373,82,463,459,16085,13270,82.5,1066,Premier League,2017-2018,11897392087106032
87,Torino,27,51.0,38.0,22935,2555,8018,10686,5740,818,21090,447,720,62.1,477,19,14920,79599,41055,1541,495,136,527,538,16626,14425,86.8,1540,Serie A,2017-2018,21846272194836439
88,Tottenham,25,61.9,38.0,28265,2232,7455,14352,8298,1080,26307,444,753,59.0,489,35,18748,95290,51297,2320,683,165,523,552,22175,19287,87.0,1905,Premier League,2017-2018,22006624071753704
89,Toulouse,25,45.2,38.0,19517,1938,6418,8717,5697,765,17861,322,549,58.7,356,22,11258,66954,36696,1400,443,127,507,428,13320,10831,81.3,1559,Ligue 1,2017-2018,94523000561782573
90,Troyes,25,42.6,38.0,19927,2203,7699,8386,5189,596,18410,275,514,53.5,307,17,12107,70304,37005,1269,421,86,477,395,13772,11486,83.4,1437,Ligue 1,2017-2018,57069542099991496
91,Udinese,27,44.7,38.0,21100,2346,7194,10296,4907,690,19285,323,552,58.5,345,13,13063,67758,35789,1425,489,106,428,457,14782,12619,85.4,1487,Serie A,2017-2018,48393495896639342
92,Valencia,25,48.9,38.0,21839,2125,7085,10691,5513,861,20596,421,644,65.4,458,14,15309,79510,41951,1649,521,177,459,420,16034,13770,85.9,1655,La Liga,2017-2018,65158650443085242
93,Villarreal,32,50.5,38.0,22451,2216,7530,11215,5218,762,21222,318,500,63.6,344,11,15578,80020,41001,1597,534,167,384,354,16817,14504,86.2,1545,La Liga,2017-2018,63335634096533483
94,Watford,29,49.6,38.0,22190,2240,6902,10600,5873,892,20262,332,621,53.5,362,34,12401,62464,33655,1429,451,145,526,479,15900,12739,80.1,1223,Premier League,2017-2018,73743918793554398
95,Werder Bremen,25,47.5,34.0,19944,2056,6355,9665,5136,732,18227,274,478,57.3,307,18,12099,65920,35394,1401,439,114,384,420,14416,12071,83.7,1568,Bundesliga,2017-2018,59303898890876434
96,West Brom,24,40.6,38.0,19532,2457,7051,8676,4916,651,17694,336,623,53.9,372,29,10691,55614,28936,1078,339,80,516,495,13490,10478,77.7,1001,Premier League,2017-2018,26775906631723373
97,West Ham,27,45.0,38.0,20788,2400,6633,10296,5014,668,18830,367,616,59.6,406,21,11770,59683,30029,1207,372,95,474,474,14538,11768,80.9,1015,Premier League,2017-2018,57680956417459581
98,Wolfsburg,29,49.2,34.0,20226,2290,7061,10129,4271,547,18664,300,506,59.3,327,17,12990,66072,34418,1315,388,94,435,380,14909,12757,85.6,1360,Bundesliga,2017-2018,85159484018358879
