Rk,Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog,League,Season,TeamID
20,Celta Vigo,28,51.7,38.0,23086,2382,7384,11775,5318,753,21294,475,739,64.3,509,13,15669,73718,38175,1532,492,115,430,396,17753,15122,85.2,1345,La Liga,2018-2019,14218303985450920
21,Chelsea,24,62.8,38.0,30760,2303,8290,15195,9493,1180,29041,462,686,67.3,490,15,22554,110853,64776,2775,819,258,427,558,25670,22838,89.0,2027,Premier League,2018-2019,58172670324373785
22,Chievo,36,43.1,38.0,20785,2471,7540,9844,4617,581,18995,281,449,62.6,293,11,12933,62084,31865,1158,416,58,405,431,15300,12555,82.1,1403,Serie A,2018-2019,83748145049842906
23,Crystal Palace,26,45.0,38.0,21793,2432,7453,9960,5759,1041,19928,480,773,62.1,513,20,13828,71875,39270,1654,475,208,477,536,15527,12739,82.0,1395,Premier League,2018-2019,15352059381074619
24,Dijon,26,47.9,38.0,21346,2215,7062,10545,5115,728,19554,418,624,67.0,453,12,13934,70133,38941,1492,456,93,495,463,15969,13058,81.8,1446,Ligue 1,2018-2019,59239312409540653
25,Dortmund,23,58.0,34.0,26019,1997,6979,14179,6536,945,24411,475,755,62.9,526,30,19411,93540,48827,2040,560,171,466,459,20919,18845,90.1,1593,Bundesliga,2018-2019,6921931827204601
26,Düsseldorf,24,43.1,34.0,18315,2165,6973,8342,4082,656,16690,267,451,59.2,300,14,11594,57566,31734,1128,335,121,389,310,13090,11146,85.1,1447,Bundesliga,2018-2019,6414184432322702
27,Eibar,25,54.1,38.0,22712,1710,5109,11445,7419,1026,20625,432,686,63.0,466,37,13784,67250,32536,1482,479,115,522,411,16887,13129,77.7,1936,La Liga,2018-2019,67267904110326262
28,Eint Frankfurt,30,47.3,34.0,18741,2016,5968,9202,4714,785,17080,289,501,57.7,325,13,11432,60698,33402,1209,359,134,419,413,13466,10631,78.9,1521,Bundesliga,2018-2019,37929111009288632
29,Empoli,29,47.9,38.0,22369,2522,7249,10442,6218,926,20508,367,610,60.2,393,20,15670,82911,47267,1847,566,153,431,387,17241,14685,85.2,1594,Serie A,2018-2019,77726683749984272
30,Espanyol,25,49.5,38.0,22149,2655,7812,10516,5234,805,20327,396,594,66.7,427,17,14656,73942,39561,1555,498,111,454,438,16689,13996,83.9,1559,La Liga,2018-2019,71314269182841176
31,Everton,23,51.5,38.0,23165,2318,7304,10946,6321,931,21180,341,614,55.5,376,21,14264,74222,37902,1527,453,148,582,519,16910,13829,81.8,1511,Premier League,2018-2019,57482013681231466
32,Fiorentina,27,50.7,38.0,21846,2284,6842,10875,5638,937,19990,364,641,56.8,403,29,14354,76616,43326,1778,547,163,454,483,15839,13356,84.3,1644,Serie A,2018-2019,24325362613855847
33,Freiburg,28,44.2,34.0,18763,2342,6998,8963,4015,626,17124,273,478,57.1,305,18,12273,63961,33946,1192,337,102,411,371,13577,11490,84.6,1206,Bundesliga,2018-2019,17577284562417651
34,Frosinone,33,41.1,38.0,19686,2533,7431,9048,4402,596,17819,276,510,54.1,305,23,12328,63171,34695,1224,391,78,384,347,14229,11525,81.0,1307,Serie A,2018-2019,87953309350363757
35,Fulham,28,48.6,38.0,23963,2764,8042,11914,5339,688,22203,421,674,62.5,454,34,15447,71602,37205,1518,460,112,462,511,18150,15179,83.6,1363,Premier League,2018-2019,19227944656237519
36,Genoa,31,43.1,38.0,19706,2176,6137,9100,5797,877,17817,363,577,62.9,392,22,12252,65286,35958,1411,517,117,386,386,13999,11178,79.8,1439,Serie A,2018-2019,87033800759594150
37,Getafe,26,40.8,38.0,17374,1922,5103,8129,4992,765,15338,342,587,58.3,366,18,9352,45976,23366,975,338,94,514,425,11705,8264,70.6,1563,La Liga,2018-2019,23789167582387071
38,Girona,26,48.0,38.0,21532,2517,7904,10424,4554,710,19723,357,609,58.6,398,9,13869,67071,36770,1364,437,88,462,395,15959,13258,83.1,1469,La Liga,2018-2019,12545195302828957
39,Guingamp,30,44.2,38.0,20156,1950,6396,9533,5500,782,18225,444,729,60.9,494,15,12503,63143,34058,1313,425,111,495,477,14048,11408,81.2,1501,Ligue 1,2018-2019,16872092436156260
40,Hannover 96,32,46.3,34.0,19383,2375,7250,9218,4197,597,17674,316,538,58.7,345,14,12097,63468,34554,1201,352,84,523,449,13894,11428,82.3,1262,Bundesliga,2018-2019,10121335889457780
41,Hertha BSC,26,48.1,34.0,20031,2213,6504,10163,4547,699,18398,343,521,65.8,365,12,12880,62704,32560,1270,389,125,436,392,14827,12472,84.1,1370,Bundesliga,2018-2019,59737400018465050
42,Hoffenheim,29,53.6,34.0,22007,2118,7153,10571,5832,1065,20439,390,636,61.3,423,20,15017,81788,46806,1890,579,164,462,383,16799,14499,86.3,1688,Bundesliga,2018-2019,29322720181807625
43,Huddersfield,31,47.0,38.0,22091,2206,7059,10421,5807,681,20218,284,529,53.7,310,15,13288,64107,30831,1205,408,94,431,443,16159,13030,80.6,1287,Premier League,2018-2019,70397411865897550
44,Huesca,30,44.7,38.0,19382,2198,6336,9324,4890,802,17507,398,655,60.8,426,18,11809,62847,32716,1364,444,108,516,393,13690,10778,78.7,1368,La Liga,2018-2019,16593090704373522
45,Inter,23,59.6,38.0,27443,2274,7584,13810,7807,1135,25587,351,552,63.6,366,15,19533,99283,54007,2226,694,185,437,381,22123,19563,88.4,1900,Serie A,2018-2019,53198597771575973
46,Juventus,31,56.2,38.0,25889,2153,7122,13090,7438,1045,24208,444,774,57.4,475,20,18767,95840,51995,2268,682,189,414,350,20956,18393,87.8,1680,Serie A,2018-2019,19371054131726661
47,Lazio,30,50.8,38.0,24008,2250,7089,11424,7168,1103,22343,386,694,55.6,430,18,16380,88946,50449,2069,632,189,385,379,18599,15879,85.4,1870,Serie A,2018-2019,90751438076496109
48,Leganés,29,42.8,38.0,19246,2132,6238,9352,4707,707,17436,322,550,58.5,352,19,11092,54070,27050,1009,363,84,410,347,13854,10787,77.9,1340,La Liga,2018-2019,20237473683555152
