,PlayerID,Player,Nation,Season,Squad,Gls,G-xG,SCA,Ast,xA,TklW,Int,PressuresSucc,Clr,AerialDuelsWon
0,11975017,Allan,BRA,2017-2018,Napoli,8.666666666666668,33.333333333333336,34.97142857142857,19.04761904761905,22.222222222222225,72.41379310344827,17.49271137026239,78.4497444633731,0.44,2.220459952418716
1,11975017,Allan,BRA,2018-2019,Napoli,2.0,34.343434343434346,34.17142857142858,11.904761904761905,17.46031746031746,90.80459770114942,16.034985422740526,77.2572402044293,0.86,2.1411578112609044
2,11975017,Allan,BRA,2019-2020,Napoli,9.333333333333334,43.43434343434344,33.02857142857143,8.333333333333334,12.698412698412698,72.98850574712644,10.20408163265306,62.947189097103916,1.13,5.551149881046788
3,11975017,Allan,BRA,2020-2021,Everton,0.0,33.333333333333336,19.085714285714282,0.0,6.349206349206349,68.10344827586208,29.44606413994169,71.37989778534923,1.32,2.061855670103093
4,38053651,Arnaud Nordin,FRA,2018-2019,Saint-Étienne,17.333333333333336,22.222222222222225,29.25714285714286,10.714285714285714,14.285714285714285,14.655172413793105,19.825072886297377,33.475298126064736,0.77,8.80253766851705
5,38053651,Arnaud Nordin,FRA,2019-2020,Saint-Étienne,6.666666666666667,34.343434343434346,29.37142857142857,0.0,12.698412698412698,8.620689655172413,11.661807580174926,39.60817717206133,0.69,5.471847739888977
6,38053651,Arnaud Nordin,FRA,2020-2021,Saint-Étienne,13.333333333333334,30.303030303030308,36.0,23.80952380952381,23.809523809523807,13.218390804597702,11.953352769679299,30.238500851788753,0.56,4.440919904837432
7,107167872,Isaac Hayden,ENG,2017-2018,Newcastle Utd,4.666666666666667,35.35353535353536,19.428571428571427,0.0,9.523809523809524,46.83908045977011,53.352769679300295,39.522998296422486,3.92,24.90087232355274
8,107167872,Isaac Hayden,ENG,2018-2019,Newcastle Utd,3.3333333333333335,34.343434343434346,20.457142857142856,22.61904761904762,12.698412698412698,58.33333333333333,59.18367346938774,53.4923339011925,2.17,14.591593973037273
9,107167872,Isaac Hayden,ENG,2019-2020,Newcastle Utd,2.666666666666667,33.333333333333336,13.82857142857143,9.523809523809526,9.523809523809524,43.10344827586207,34.110787172011655,43.441226575809196,1.38,15.06740681998414
10,107167872,Isaac Hayden,ENG,2020-2021,Newcastle Utd,0.0,32.323232323232325,9.028571428571428,0.0,3.1746031746031744,45.11494252873563,62.09912536443149,39.86371379897785,2.64,20.22204599524187
11,116373138,Douglas Luiz,BRA,2018-2019,Girona,0.0,27.272727272727277,16.57142857142857,0.0,3.1746031746031744,50.287356321839084,27.98833819241982,45.14480408858603,1.81,11.022997620935765
12,116373138,Douglas Luiz,BRA,2019-2020,Aston Villa,6.666666666666667,36.36363636363637,17.37142857142857,8.333333333333334,7.936507936507938,32.758620689655174,20.991253644314867,45.48551959114139,1.52,8.72323552735924
13,116373138,Douglas Luiz,BRA,2020-2021,Aston Villa,0.0,29.292929292929298,17.02857142857143,7.142857142857142,7.936507936507938,39.94252873563218,31.195335276967928,44.12265758091993,1.59,10.229976209357654
14,310570355,André Silva,POR,2017-2018,Milan,12.666666666666668,16.161616161616166,42.857142857142854,11.904761904761905,19.047619047619047,13.793103448275861,5.53935860058309,41.73764906303237,0.67,9.119746233148295
15,310570355,André Silva,POR,2018-2019,Sevilla,25.333333333333336,32.323232323232325,28.57142857142857,0.0,26.984126984126988,9.482758620689657,6.1224489795918355,32.62350936967632,1.17,12.52973830293418
16,310570355,André Silva,POR,2019-2020,Eint Frankfurt,46.0,43.43434343434344,35.31428571428572,20.23809523809524,39.682539682539684,6.609195402298851,1.7492711370262388,47.700170357751276,0.23,21.72878667724029
17,310570355,André Silva,POR,2020-2021,Eint Frankfurt,60.66666666666667,46.46464646464647,28.34285714285714,27.380952380952383,28.57142857142857,3.7356321839080464,3.7900874635568513,28.279386712095402,0.46,20.380650277557493
18,345309233,Luiz Felipe,BRA,2017-2018,Lazio,0.0,30.303030303030308,10.514285714285714,9.523809523809526,1.5873015873015872,50.86206896551724,40.23323615160349,28.19420783645656,2.54,7.295796986518637
19,345309233,Luiz Felipe,BRA,2018-2019,Lazio,4.666666666666667,37.37373737373738,6.4,8.333333333333334,1.5873015873015872,32.18390804597702,42.857142857142854,26.831345826235093,3.57,8.326724821570183
20,345309233,Luiz Felipe,BRA,2019-2020,Lazio,2.666666666666667,36.36363636363637,7.657142857142858,4.761904761904763,1.5873015873015872,31.896551724137932,25.94752186588921,23.509369676320272,3.42,10.5471847739889
21,345309233,Luiz Felipe,BRA,2020-2021,Lazio,0.0,32.323232323232325,7.885714285714284,0.0,3.1746031746031744,73.85057471264366,60.64139941690962,37.13798977853492,2.67,10.229976209357654
22,347405516,João Mário,POR,2017-2018,West Ham,12.0,32.323232323232325,32.114285714285714,10.714285714285714,17.46031746031746,25.287356321839084,27.98833819241982,47.78534923339012,0.26,4.8374306106264875
23,347405516,João Mário,POR,2018-2019,Inter,5.333333333333334,35.35353535353536,43.77142857142857,20.23809523809524,28.57142857142857,43.10344827586207,16.909620991253643,80.23850085178876,0.25,1.9825535289452818
24,438901750,François Kamano,GUI,2017-2018,Bordeaux,24.0,32.323232323232325,35.65714285714286,21.428571428571427,34.92063492063492,29.597701149425287,23.323615160349853,32.70868824531516,0.13,0.7137192704203014
25,438901750,François Kamano,GUI,2018-2019,Bordeaux,23.333333333333332,36.36363636363637,32.457142857142856,4.761904761904763,17.46031746031746,27.29885057471264,18.36734693877551,34.41226575809199,0.32,1.110229976209358
